file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_18VR001131.vcf	1816	1683	133	0.000117994857381737	0.000127319465837928	0	1299	380.999999999999	0.000164956628949371	0	0.00163314664347848	0.00787401574803152	0.0355685226769821	0.213411136061893	*	0.000117517145408531	6	0.0355685226769821	6	*	0
temp_vcf4_18VR001132.vcf	1816	1683	133	4.17197037687207e-05	4.50166262887682e-05	0	1299.32839951865	380.671600481347	3.88087138106419e-05	6.6560568240445e-05	1.96544925607724e-05	0.0105414461294354	0.00946696839892602	0.0252032917051717	0.0253291637810649	4.17047066031983e-05	8	0.0108193924559155	7	0	1
temp_vcf4_18VR001736.vcf	1816	1683	133	1.42042967176739e-05	1.53267990726654e-05	0	1299	380.999999999999	1.98575849417212e-05	0	0.00154970035483548	0.00787401574803152	0.00429672581839491	0.0257803549103695	*	1.41962306775162e-05	6	0.00429672581839491	6	*	0
temp_vcf4_18VR001742.vcf	1816	1683	133	0	0	0	1299.33333333334	380.666666666666	0	0	0	0.010507880910683	0	*	*	0	5	0	4	0	1
temp_vcf4_18VR002048.vcf	1816	1683	133	0	0	0	1300	379.999999999999	0	0	0	0.0289473684210527	0	*	*	0	12	0	11	0	1
temp_vcf4_18VR002388.vcf	1816	1683	133	0	0	0	1299.33333333334	380.666666666666	0	0	0	0.00788091068301228	0	*	*	0	4	0	3	0	1
temp_vcf4_18VR002752.vcf	1816	1683	133	5.73398660056986e-05	6.18711804315797e-05	0	1300	379.999999999999	4.30992359118051e-05	0.000126579447318426	2.18646284468111e-05	0.0290121974644642	0.00693598707824622	0.0279917516136728	0.0480563029463477	5.72906421661307e-05	15	0.00743141472669238	14	0	1
temp_vcf4_18VR002834.vcf	1816	1683	133	9.89267963528499e-05	0.000106744540806165	0	1299.34774897896	380.652251021043	1.97009314718418e-05	0.000404707185634199	9.97217033188593e-06	0.00284328346305744	0.044884235478394	0.0255788500148721	0.0769790459493519	9.88639547982246e-05	4	0.044884235478394	4	*	0
temp_vcf4_18VR002905.vcf	1816	1683	133	0.00013144135397588	0.000141828579215804	0	1299.62065439673	380.379345603271	0	0.000627524868474734	0	0.0101529255855338	0.0475930595807144	*	0.237965297903572	0.000131038159638531	5	0.0594913244758929	4	0	1
temp_vcf4_18VR003297.vcf	1816	1683	133	6.89477366133945e-05	7.43963693938945e-05	0	1299.34916524174	380.650834758259	9.63629277174542e-05	0	4.89189189885486e-05	0.00262707948778064	0.0250120095705834	0.0312650119632292	*	6.8865665117245e-05	5	0.0250120095705834	5	*	0
temp_vcf4_18VR003323.vcf	1816	1683	133	0.00013651970519553	0.000147308249931719	0	1299.33668352811	380.663316471894	6.86777937264259e-05	0.000416862358509603	3.487759861668e-05	0.00283850603130423	0.0247730167655318	0.0297195901345213	0.0264285662086257	0.000136415290559096	10	0.0247730167655318	10	*	0
