file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_18VR001131.vcf	2275	2181	94	6.40545942750612e-05	6.68153149820102e-05	0	1711.32226832642	466.677731673581	8.51529864788555e-05	0	0.00121272523232884	0.0171424506828529	0.0120805981529073	0.072483588917444	*	6.37218364109398e-05	12	0.0120805981529073	12	*	0
temp_vcf4_18VR001132.vcf	2275	2181	94	0	0	0	1710.66666666667	467.333333333332	0	0	0.000584567420109117	0.00855920114122685	0	*	*	0	5	0	5	*	0
temp_vcf4_18VR001736.vcf	2275	2181	94	0	0	0	1711.33333333334	466.666666666665	0	0	0.00116867939228671	0.0171428571428572	0	*	*	0	10	0	10	*	0
temp_vcf4_18VR001742.vcf	2275	2181	94	1.15447688957596e-05	1.20423426124957e-05	0	1710.66666666667	467.333333333332	0	5.62004619925532e-05	0.000584567420109117	0.00858767390099976	0.00437640430654799	*	0.0262584258392879	1.15421652040826e-05	6	0.00437640430654799	6	*	0
temp_vcf4_18VR002048.vcf	2275	2181	94	7.53793829745679e-05	7.86281963627428e-05	0	1713.30645763345	464.693542366553	0.000100091898622745	0	0.00297224508284898	0.0387352058053811	0.00685825174690646	0.0857281468363308	*	7.53654038121589e-05	25	0.00685825174690646	25	*	0
temp_vcf4_18VR002388.vcf	2275	2181	94	0.000272202050285203	0.00025682725244756	0.000628930072454324	1710.68936076393	467.310639236078	0.000289214344175664	0.00013991621533246	0.000739891015325077	0.0129104583966516	0.0372680470045667	0.0987479601876491	0.0326404520651273	0.000271670394713117	15	0.0399300503620357	14	0.0590294429038409	1
temp_vcf4_18VR002752.vcf	2275	2181	94	0.000124731431489893	0.000130107293278087	0	1713.28394609945	464.661999846499	0.00013867312170816	9.93788462940296e-05	0.00297856575686055	0.0387181681753635	0.00859578938930477	0.0296874420157009	0.0230807568607249	0.000124686175756948	33	0.00859578938930477	33	*	0
temp_vcf4_18VR002834.vcf	2275	2181	94	0	0	0	1710.33333333334	467.666666666665	0	0	0.00175404404599493	0.0171062009978618	0	*	*	0	11	0	11	*	0
temp_vcf4_18VR002905.vcf	2275	2181	94	0.000297827129719644	0.00025408632064796	0.00131270696573392	1710.64632199373	467.353678006277	0.000209663910270971	0.000418315887033022	0.000695377150581513	0.0130098739269779	0.042510166117693	0.0894010595148559	0.0975139607352927	0.000296899911041712	13	0.0460526799608341	12	0.122815138089885	1
temp_vcf4_18VR003297.vcf	2275	2181	94	0	0	0	1710.33333333334	467.666666666665	0	0	0.00175404404599493	0.0171062009978618	0	*	*	0	11	0	11	*	0
