file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_18VR001131.vcf	2367	2313	54	0.000298665216565099	0.000305637945356503	0	1806.98086517456	503.019134825445	0.000277572214872967	0.000408280465714858	0.000151891884706419	0.00573386611622882	0.100679500493939	0.125010994951768	0.2047125236505	0.00029774250251693	7	0.100679500493939	7	*	0
temp_vcf4_18VR001132.vcf	2367	2313	54	0	0	0	1807.00000000001	502.999999999998	0	0	0	0.00198807157057655	0	*	*	0	1	0	1	*	0
temp_vcf4_18VR001736.vcf	2367	2313	54	7.95997217029591e-05	8.14580809645068e-05	0	1807.00000000001	502.999999999998	8.96432405032628e-05	5.25391763051847e-05	4.91602032704174e-05	0.00599082370024597	0.0376585830708466	0.161882553016053	0.0264103623381799	7.95491826591605e-05	5	0.0376585830708466	5	*	0
temp_vcf4_18VR001742.vcf	2367	2313	54	6.75490205574053e-05	6.91260404925977e-05	0	1806.97327298201	503.026727017995	4.06117488916735e-05	0.000171967377073332	2.06877965254402e-05	0.00207588833131348	0.0319674469784049	0.0366799101345409	0.0432387073114715	6.75273489193176e-05	5	0.031967446978405	5	*	0
temp_vcf4_18VR002048.vcf	2367	2313	54	0	0	0	1807.00000000001	502.999999999998	0	0	0.00166021029330381	0.0337972166998013	0	*	*	0	20	0	20	*	0
temp_vcf4_18VR002388.vcf	2367	2313	54	0.000296867678590695	0.000303798441514991	0	1806.92601666399	503.073983336019	0.000141331517890424	0.000889153908550631	7.84601350477818e-05	0.00446876677232241	0.0998423879221439	0.127276386445916	0.148114647521058	0.000295266884433886	7	0.099842387922144	7	*	0
temp_vcf4_18VR002752.vcf	2367	2313	54	0.000127061066404101	0.000110778585679348	0.000824493990781007	1807.00000000001	502.999999999998	4.00558288814306e-05	0.000365506930194012	0.00168100698275284	0.0339905886745066	0.010667487966943	0.0723347803156313	0.0918424654454998	0.000126929108073484	24	0.0111312917915926	23	0.0444214876033058	1
temp_vcf4_18VR002834.vcf	2367	2313	54	1.11437723783619e-05	1.14039382704638e-05	0	1807.33333333334	502.666666666664	0	5.24747530893557e-05	0.000553301364810031	0.00997353387722795	0.00376698811726414	*	0.026368916820849	1.1140226793768e-05	7	0.00376698811726414	7	*	0
temp_vcf4_18VR002905.vcf	2367	2313	54	0.000187043587748497	0.000191410364116166	0	1807.00000000001	502.999999999998	0.000160434008870954	0.000303832839305923	9.67835596993254e-05	0.00414121767589411	0.110220106946992	0.288604234953448	0.152276192834521	0.000186261270717351	4	0.110220106946992	4	*	0
temp_vcf4_18VR003297.vcf	2367	2313	54	4.39483124287522e-05	4.49743430691122e-05	0	1807.33716965048	502.662830349529	2.65010395755974e-05	0.000111663998749363	0.000566694129520468	0.0100035961196286	0.0103890116132123	0.0239136584575225	0.0280313996085391	4.3891050330428e-05	10	0.0103890116132123	10	*	0
temp_vcf4_18VR003323.vcf	2367	2313	54	9.78902409181556e-05	0.000100175616192509	0	1807.29386183154	502.676017686532	0.00011195395161436	5.84322897042835e-05	0.000604734319960864	0.0119657412890354	0.0165373968563183	0.0336974484638703	0.0293388652052342	9.78130781531289e-05	14	0.0165373968563183	14	*	0
temp_vcf4_18VR003908.vcf	2367	2313	54	0.000180042929459667	0.000184246266334212	0	1807.35286373226	502.647136267745	9.27898779694859e-05	0.000514192847643802	0.000603978932581493	0.0101433715237976	0.0470174175078526	0.166423868072956	0.0855776298325724	0.0001787734506002	9	0.0470174175078526	9	*	0
temp_vcf4_18VR004171.vcf	2367	2313	54	9.50553653401383e-05	9.72745567488575e-05	0	1807.35008075212	502.649919247888	0.000107909318659332	5.96163111138985e-05	0.00060802323859078	0.0119669846542033	0.0149912041271311	0.0278460910122149	0.0299454248214617	9.50012935813122e-05	15	0.0149912041271311	15	*	0
temp_vcf4_18VR004742.vcf	2367	2313	54	5.07843932231354e-05	5.19700210804849e-05	0	1807.00866385562	502.991336144387	4.77243033160903e-05	6.75328315809444e-05	2.42098610679057e-05	0.00599866092187079	0.0171608269994305	0.02872455314521	0.0339521295603833	5.07502277127221e-05	7	0.0171608269994305	7	*	0
temp_vcf4_18VR005254.vcf	2367	2313	54	0.000194868526737265	0.00019941798650545	0	1807.00000000001	502.999999999998	0	0.000917005572141367	0	0.00723548158286465	0.115277234160754	*	0.461108936643014	0.000194807324310526	4	0.115277234160754	4	*	0
temp_vcf4_18VR005361.vcf	2367	2313	54	8.56498371669448e-05	8.76494442603365e-05	0	1806.98054718228	503.019452817728	0.000112194436675199	0	5.7771194268967e-05	0.00795197875070931	0.0253052982430421	0.0506105964860843	*	8.55269902595425e-05	8	0.0253052982430421	8	*	0
temp_vcf4_18VR005582.vcf	2367	2313	54	8.10053994698104e-05	8.28965761111289e-05	0	1806.96197909098	503.005053876061	9.48883434907189e-05	4.03179877460718e-05	4.19503277906787e-05	0.00797256488085833	0.015970348794365	0.0244818661981521	0.0202711221453158	8.09650128991891e-05	12	0.0159703487943651	12	*	0
temp_vcf4_18VR005586.vcf	2367	2313	54	0	0	0	1807.00000000001	502.999999999998	0	0	0	0.0039761431411531	0	*	*	0	3	0	2	0	1
temp_vcf4_18VR005798.vcf	2367	2313	54	0	0	0	1807.00000000001	502.999999999998	0	0	0	0.0079522862823062	0	*	*	0	4	0	4	*	0
temp_vcf4_18VR005799.vcf	2367	2313	54	0	0	0	1807.00000000001	502.999999999998	0	0	0	0.0079522862823062	0	*	*	0	4	0	4	*	0
temp_vcf4_18VR006000.vcf	2367	2313	54	0	0	0	1807.00000000001	502.999999999998	0	0	0	0.0079522862823062	0	*	*	0	4	0	4	*	0
temp_vcf4_18VR006054.vcf	2367	2313	54	0.000127543671568129	0.000130521344834311	0	1806.97103390109	503.028966098917	0.000167072888794457	0	8.59466787851276e-05	0.00795182836292856	0.0274334147929024	0.043109651817418	*	0.000127489464605799	11	0.0274334147929024	11	*	0
temp_vcf4_18VR006201.vcf	2367	2313	54	0	0	0	1807.50000000001	502.499999999998	0	0	0.000553250345781464	0.00796019900497516	0	*	*	0	5	0	5	*	0
temp_vcf4_18VR006202.vcf	2367	2313	54	2.74794634743938e-05	2.81210073687376e-05	0	1807.48318318319	502.516816816815	3.59858894672204e-05	0	0.000571863485785402	0.00795993261546537	0.010834137440744	0.0650048246444641	*	2.74629592921268e-05	6	0.010834137440744	6	*	0
temp_vcf4_18VR006203.vcf	2367	2313	54	0	0	0	1807.50000000001	502.499999999998	0	0	0.000553250345781464	0.00796019900497516	0	*	*	0	5	0	5	*	0
temp_vcf4_18VR006427.vcf	2367	2313	54	0	0	0	1807.50000000001	502.499999999998	0	0	0.000553250345781464	0.00796019900497516	0	*	*	0	5	0	5	*	0
temp_vcf4_18VR007098.vcf	2367	2313	54	0	0	0	1807.00000000001	502.999999999998	0	0	0	0.0079522862823062	0	*	*	0	4	0	4	*	0
temp_vcf4_18VR007188.vcf	2367	2313	54	0	0	0	1807.00000000001	502.999999999998	0	0	0	0.00596421471172965	0	*	*	0	3	0	3	*	0
