file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_18VR002051.vcf	1433	1410	23	0.00011217400792632	0.000114003796708097	0	1096.68106995885	310.318930041152	7.50566886381025e-05	0.000252746758777537	0.000950151443369049	0.00335159123489827	0.0267699698432489	0.0411298350513278	0.039180074478419	0.000112086405484643	6	0.0267699698432489	6	*	0
temp_vcf4_18VR002899.vcf	1433	1410	23	0	0	0	1097.33333333333	309.666666666667	0	0	0.00273390036452005	0.00322927879440258	0	*	*	0	5	0	4	0	1
temp_vcf4_18VR003450.vcf	1433	1410	23	0	0	0	1097.33333333333	309.666666666667	0	0	0.00273390036452005	0.00322927879440258	0	*	*	0	5	0	4	0	1
temp_vcf4_18VR003775.vcf	1433	1410	23	0.000224319890035652	0.000227979008809283	0	1096.01146252176	310.988537478243	0.00027342780223002	7.00038566739107e-05	0.000141431630148796	0.00325092999515223	0.0401646967033131	0.0499259551341913	0.0217618428213571	0.000224227197227149	8	0.0401646967033131	8	*	0
temp_vcf4_18VR003821.vcf	1433	1410	23	0	0	0	1096	311	0	0	0	0.00321543408360129	0	*	*	0	1	0	1	*	0
temp_vcf4_18VR003996.vcf	1433	1410	23	0	0	0	1096	311	0	0	0	0.00321543408360129	0	*	*	0	1	0	1	*	0
temp_vcf4_18VR003998.vcf	1433	1410	23	0	0	0	1096	311	0	0	0	0.00321543408360129	0	*	*	0	1	0	1	*	0
temp_vcf4_18VR004000.vcf	1433	1410	23	0	0	0	1096	311	0	0	0	0.00321543408360129	0	*	*	0	1	0	1	*	0
temp_vcf4_18VR004002.vcf	1433	1410	23	0.000293654414110237	0.000298444521574447	0	1096.10894990695	310.852089054091	0.000364561734697113	6.82234283494624e-05	0.000179817381320486	0.00325143153706911	0.0382404781296936	0.0443829199816436	0.0211989795918366	0.000293541702321444	11	0.0382404781296936	11	*	0
temp_vcf4_18VR004172.vcf	1433	1410	23	9.39112875341767e-05	9.54431737847342e-05	0	1095.98039265795	310.975080440374	0.000103969733597767	6.63271332038664e-05	3.91816692029794e-05	0.00324918853702299	0.0224166752515737	0.0284709330162495	0.0206163194444444	9.3859072930525e-05	6	0.0224166752515737	6	*	0
