file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_18VR002051.vcf	1540	1497	43	0.000124967997472179	0.000128557592589951	0	1148.14096882712	345.859031172883	0.000127112709078668	0.000134469257597866	6.48527735343235e-05	0.0058515445352008	0.0274803056764057	0.0364692197409662	0.0464852607709751	0.000124910480347299	7	0.0274803056764057	7	*	0
temp_vcf4_18VR002899.vcf	1540	1497	43	6.56449284072866e-05	6.75305208732273e-05	0	1148.66666666667	345.333333333333	4.6128892465423e-05	0.00013930444575851	2.37023828423749e-05	0.0203416637987215	0.0112292426946703	0.0529697491013539	0.0480934351506785	6.56254443195015e-05	9	0.0112292426946703	9	*	0
temp_vcf4_18VR003450.vcf	1540	1497	43	2.92747206859807e-05	3.01156111265265e-05	0	1148.68195534098	345.318044659022	1.97416635731088e-05	6.48856249712998e-05	9.98231553994346e-06	0.0203039706209142	0.00500758841227484	0.0226700499590444	0.0223982457514291	2.92651270847231e-05	9	0.00500758841227484	9	*	0
temp_vcf4_18VR003775.vcf	1540	1497	43	0.000118305756620399	0.000121703984766476	0	1148.17885278188	345.821147218119	0.000107831838703396	0.00016881740405183	5.57858417013489e-05	8.6997195884306e-05	0.0607093058354384	0.0618836241779512	0.0583606691504128	0.000118264881497607	3	0.0607093058354384	3	*	0
temp_vcf4_18VR003821.vcf	1540	1497	43	0	0	0	1148.16666666667	345.833333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR003996.vcf	1540	1497	43	3.57581324289788e-05	3.67852531333516e-05	0	1148.17521881439	345.824781185608	1.738103829254e-05	0.00010152842828526	8.77528672063989e-06	5.16620147969971e-05	0.0275208605347323	0.0199480994105665	0.0350936216588982	3.57413773178342e-05	2	0.0275208605347323	2	*	0
temp_vcf4_18VR003998.vcf	1540	1497	43	0	0	0	1148.16666666667	345.833333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR004000.vcf	1540	1497	43	4.44735863378002e-05	2.89318368175479e-05	0.000585543331263791	1148.16666666667	345.833333333333	0	0.000125236510021791	0	6.40041721238126e-05	0.0216448278757123	*	0.0432896557514246	4.44487870772014e-05	2	0.0432896557514246	1	0.0251614763474655	1
temp_vcf4_18VR004002.vcf	1540	1497	43	7.21199986980057e-05	7.41915818269397e-05	0	1148.14917583773	345.850824162266	9.67337697332681e-05	0	4.92760901008681e-05	0	0.0369996047688076	0.0369996047688076	*	7.20771521470278e-05	3	0.0369996047688076	3	*	0
temp_vcf4_18VR004172.vcf	1540	1497	43	3.14831878420779e-05	3.23875145469605e-05	0	1148.15986661436	345.840133385641	4.22276641838803e-05	0	2.1374783937786e-05	0	0.0242319462529808	0.0242319462529808	*	3.14700600688061e-05	2	0.0242319462529807	2	*	0
temp_vcf4_18VR004174.vcf	1540	1497	43	4.66575537318477e-05	4.7997750666029e-05	0	1148.16666666667	345.833333333333	6.25803159358794e-05	0	3.23774607544704e-05	0	0.0715855225881346	0.0715855225881346	*	4.64841055767107e-05	1	0.0715855225881346	1	*	0
temp_vcf4_18VR004175.vcf	1540	1497	43	1.28793721481654e-05	1.32493207135436e-05	0	1148.1700043535	345.829995646495	1.72746483821816e-05	0	8.7208866942588e-06	0.00289159417224813	0.00991279913286225	0.0198255982657245	*	1.28737651076133e-05	2	0.00991279913286225	2	*	0
temp_vcf4_18VR004235.vcf	1540	1497	43	0.000190193231007298	0.00019565636322728	0	1148.15925049141	345.840749508585	0.000213043848901925	0.000139628745145892	0.000116559445400327	7.0637908909566e-05	0.0585436026058678	0.0814856117970251	0.0241305888191319	0.000190076631837233	5	0.0585436026058678	5	*	0
temp_vcf4_18VR004245.vcf	1540	1497	43	0.000184213187596674	0.000189504548362644	0	1148.13274222565	345.86725777435	0.000104756627121079	0.000472475470466934	5.47195116854921e-05	0.000245072342211279	0.0567039139152261	0.0600932804781364	0.0544443362066191	0.000184103616607877	5	0.0567039139152261	5	*	0
temp_vcf4_18VR004246.vcf	1540	1497	43	0.000226577179276744	0.000233085408207205	0	1148.1291507701	345.870849229899	0	0.00100884147034391	0	0.000650807606073879	0.348854899143396	*	0.348854899143396	0.000226529155287919	1	0.348854899143396	1	*	0
