file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_18VR002051.vcf	865	838	27	0.000138710385011901	0.000143179574027798	0	794.672997561433	225.327002438567	5.64270788444134e-05	0.00033348602845261	0.00128690962204445	0.00460798638430053	0.0239897352359109	0.0224117951673495	0.0375625429224278	0.000138668989802953	5	0.0239897352359109	5	*	0
temp_vcf4_18VR002899.vcf	865	838	27	0	0	0	794.666666666667	225.333333333333	0	0	0.00125838926174497	0.0044378698224852	0	*	*	0	1	0	1	*	0
temp_vcf4_18VR003450.vcf	865	838	27	3.9770758859633e-05	4.10521556248002e-05	0	794.666666666667	225.333333333333	0	0.000152670294734834	0.00125838926174497	0.0045155487274839	0.0171972689489862	*	0.0343945378979724	3.97624715583496e-05	2	0.0171972689489862	2	*	0
temp_vcf4_18VR003775.vcf	865	838	27	0.000335085902975577	0.000345882226818465	0	794.70173045007	225.29826954993	0.000264145870706428	0.000719102837578179	0.000137366731214503	0.000369844879270778	0.0743726060471474	0.0699606931011298	0.0539936503107826	0.000335024473987168	5	0.0579592339997801	5	*	0
temp_vcf4_18VR003821.vcf	865	838	27	0.000362312951087353	0.000373986518723819	0	794.645269510343	225.354730489657	0.000658328647958541	0.000460002145384225	0.00036856314232572	0.000243311244252711	0.313362487722966	0.174358415787757	0.103649728082661	0.000362268771934065	2	0.156681243861483	2	*	0
temp_vcf4_18VR003996.vcf	865	838	27	0	0	0	794.666666666667	225.333333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR003998.vcf	865	838	27	0	0	0	794.666666666667	225.333333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR004000.vcf	865	838	27	7.66455384069952e-05	7.91150247279843e-05	0	794.70671197961	225.293288020391	8.34249789546913e-05	0	4.31914735754778e-05	0	0.0662927578936123	0.0662927578936123	*	7.66390264666038e-05	1	0.0662927578936123	1	*	0
temp_vcf4_18VR004002.vcf	865	838	27	0	0	0	794.666666666667	225.333333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR004172.vcf	865	838	27	0	0	0	794.666666666667	225.333333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR004174.vcf	865	838	27	0.00034295372400181	0.000354003545658193	0	794.652068126521	225.347931873479	8.60498264884528e-05	0.00116391284512475	4.37495214344771e-05	0.000632265254214366	0.0825965192903433	0.0341613047427941	0.0873544892252616	0.000342667016966418	4	0.0741017424189878	4	*	0
temp_vcf4_18VR004175.vcf	865	838	27	0	0	0	794.666666666667	225.333333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR004235.vcf	865	838	27	0	0	0	794.666666666667	225.333333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR004245.vcf	865	838	27	0	0	0	794.666666666667	225.333333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR004246.vcf	865	838	27	0	0	0	794.666666666667	225.333333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR004248.vcf	865	838	27	0.000140044348874512	0.000144556517632998	0	794.666666666667	225.333333333333	9.41489513667944e-05	0.000355895797022326	4.79766042442883e-05	0.000181743715261401	0.0516568173464688	0.0373919321103762	0.040093293909327	0.000140000306783439	3	0.0403667551225582	3	*	0
temp_vcf4_18VR004313.vcf	865	838	27	0	0	0	794.666666666667	225.333333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR004375.vcf	865	838	27	0.000487043018983991	0.000502735335824764	0	795.284606601538	224.715393398463	0.000338755949747116	0.000885738237248199	0.00125440283367924	0.00447448652049724	0.0780418194163539	0.0673206928560501	0.066322715024641	0.000486834116084257	6	0.0701852517354804	6	*	0
temp_vcf4_18VR004380.vcf	865	838	27	0.000246743246102665	0.000254693207492607	0	795.27716944279	224.679085353834	0.000268375499862955	0	0.000122292032562952	0.00445079255341082	0.0533185774312668	0.0710914365750224	*	0.000246559895635916	4	0.0533185774312668	4	*	0
temp_vcf4_18VR004487.vcf	865	838	27	4.88833655689392e-05	5.04583666075566e-05	0	794.858538324421	225.141461675579	5.31970271166342e-05	0	0.00128526552690549	0.00888330379093801	0.0140916888291534	0.0422750664874603	*	4.88729092340581e-05	3	0.0140916888291534	3	*	0
temp_vcf4_18VR004556.vcf	865	838	27	6.11931016121958e-05	6.31647170579348e-05	0	794.673556769526	225.326443230474	0.000133217048544377	0	6.75446239508802e-05	0	0.0529176103183084	0.0264588051591542	*	6.11764281136513e-05	2	0.0264588051591542	2	*	0
temp_vcf4_18VR004638.vcf	865	838	27	0	0	0	794.666666666667	225.333333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR004659.vcf	865	838	27	0	0	0	794.666666666667	225.333333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR004845.vcf	865	838	27	0	0	0	794.666666666667	225.333333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR004864.vcf	865	838	27	0	0	0	794.666666666667	225.333333333333	0	0	0	0	*	*	*	0	0	*	0	*	0
