file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_18VR002051.vcf	2316	2280	36	0.000170969937653451	0.000173669462984821	0	1760.14798357794	516.852016422062	0.00014840597002882	0.000260712742577752	0.0006438368293158	0.0117412695696744	0.0219754244434957	0.037276605586124	0.0336553502200138	0.00017079345422406	18	0.0219754244434957	18	*	0
temp_vcf4_18VR002899.vcf	2316	2280	36	0.000219417677947982	0.000222882167599792	0	1761.18793218031	515.812067819689	8.94036326081656e-05	0.000679927371159414	0.002884257792315	0.0158990566130499	0.0230722960122399	0.0262117083188165	0.116773420785459	0.000219166887853747	22	0.0230722960122399	22	*	0
temp_vcf4_18VR003450.vcf	2316	2280	36	0	0	0	1761.16666666667	515.833333333332	0	0	0.00283902716002649	0.0155088852988692	0	*	*	0	13	0	13	*	0
temp_vcf4_18VR003775.vcf	2316	2280	36	0.000215075717837789	0.000218471650224702	0	1760.48816738817	516.511832611831	0.00015475790075424	0.000436903658689733	0.000656320584079497	0.00604571278645886	0.062237746824252	0.136169491156234	0.112781496140774	0.000214983581430922	8	0.062237746824252	8	*	0
temp_vcf4_18VR003821.vcf	2316	2280	36	8.97412391708012e-06	9.1158206105077e-06	0	1760.8385820782	516.1614179218	1.18035072626745e-05	0	5.96164227519768e-06	0.0058121353046471	0.00519364622003499	0.0207745848801399	*	8.97002801387735e-06	4	0.00519364622003499	4	*	0
temp_vcf4_18VR003996.vcf	2316	2280	36	0.000240673587953801	0.000244473697237282	0	1760.82120403647	516.178795963535	0.000291350819017114	8.59844110400314e-05	0.000324396955021566	0.00585539479559772	0.0795828337707873	0.256361222557914	0.0221786956398414	0.000240535335231222	7	0.0795828337707873	7	*	0
temp_vcf4_18VR003998.vcf	2316	2280	36	2.96651119198925e-05	3.01335084238908e-05	0	1760.83333333334	516.166666666665	0	0.000133105067884671	0	0.0058810601157284	0.0171696619831014	*	0.0686786479324055	2.96539930623513e-05	4	0.0171696619831014	4	*	0
temp_vcf4_18VR004000.vcf	2316	2280	36	0	0	0	1760.83333333334	516.166666666665	0	0	0	0.0058120762027769	0	*	*	0	3	0	3	*	0
temp_vcf4_18VR004002.vcf	2316	2280	36	0.000161927652229619	0.000164484404633244	0	1760.82192518621	516.178074813788	0.000149965928671177	0.000214966796814657	7.77459310978565e-05	0.00592177134438181	0.0312238257499132	0.0439689881265097	0.0369573267466334	0.000161781480569499	12	0.0312238257499132	12	*	0
temp_vcf4_18VR004172.vcf	2316	2280	36	1.1519077730134e-05	1.17009579048204e-05	0	1760.50000000001	516.499999999998	1.51537540602047e-05	0	0.000575696400746101	0.00968054211035821	0.00380882813315244	0.0266617969320671	*	1.15120021295627e-05	7	0.00380882813315244	7	*	0
temp_vcf4_18VR004174.vcf	2316	2280	36	0	0	0	1760.83333333334	516.166666666665	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR004175.vcf	2316	2280	36	0.000116730217380123	0.000118573326075598	0	1760.82950530036	516.170494699645	1.29055671796964e-05	0.000479730404047617	0.000574436136999756	0.00609234146335842	0.0450349401230244	0.0227044288229343	0.247505211915212	0.00011667082933426	6	0.0450349401230244	6	*	0
temp_vcf4_18VR004235.vcf	2316	2280	36	0.00015611346687197	0.000158578416348896	0	1760.57022824693	516.429771753077	0.000108527000395835	0.000330130818831163	0.000625235466328227	0.00597997787822768	0.0400815155508627	0.0953155658493845	0.0567008360863316	0.000155757184783145	9	0.0400815155508627	9	*	0
temp_vcf4_18VR004245.vcf	2316	2280	36	9.65544260564054e-05	9.80789696257171e-05	0	1760.81381638018	516.186183619824	8.13698812558528e-05	0.000155647016800605	4.12697340242032e-05	0.00589158475308008	0.0223465539870152	0.0286357776511996	0.040143325807077	9.64877115156097e-05	10	0.0223465539870152	10	*	0
temp_vcf4_18VR004246.vcf	2316	2280	36	0	0	0	1760.83333333334	516.166666666665	0	0	0	0.0058120762027769	0	*	*	0	3	0	3	*	0
temp_vcf4_18VR004248.vcf	2316	2280	36	2.96684312495041e-05	3.013688016397e-05	0	1760.83066048709	516.169339512912	3.90225410743609e-05	0	1.99152821923446e-05	0.00581204610647927	0.0137382489096427	0.0343456222741069	*	2.96594320156363e-05	5	0.0137382489096427	5	*	0
temp_vcf4_18VR004313.vcf	2316	2280	36	0	0	0	1760.83333333334	516.166666666665	0	0	0.000567912920018929	0.0058120762027769	0	*	*	0	4	0	4	*	0
temp_vcf4_18VR004375.vcf	2316	2280	36	0.000129891641047412	0.000131942561695529	0	1760.52356519168	516.476434808326	6.67025363339829e-05	0.000355093942785284	0.000602336063076516	0.00599056998113401	0.0300239991336194	0.0586011300345629	0.0457594328167671	0.000129637301958633	10	0.0300239991336194	10	*	0
temp_vcf4_18VR004380.vcf	2316	2280	36	0.000218227285799518	0.000221672979785826	0	1760.50000000001	516.499999999998	0.000261914013663706	8.57982049501009e-05	0.000712398204596308	0.00585210661244268	0.0560268919283042	0.115009649537101	0.0442034292063334	0.000217721082622944	9	0.0560268919283042	9	*	0
temp_vcf4_18VR004487.vcf	2316	2280	36	0.000169663571768462	0.000172342470270069	0	1760.58604472677	516.413955273238	0.000166213374361984	0.000194239299389244	0.000654326455364184	0.0175267869135688	0.0218168650382413	0.0584915334109084	0.0334153012112675	0.000169561127240218	18	0.0218168650382413	18	*	0
temp_vcf4_18VR004556.vcf	2316	2280	36	6.61700307890529e-05	6.72148207488801e-05	0	1760.83848719602	516.161512803987	7.09214812153426e-05	5.49605441529598e-05	0.000603949154254615	0.00584000476070587	0.0170205387637079	0.031206840252272	0.0283574878642832	6.61419900144089e-05	9	0.0170205387637079	9	*	0
temp_vcf4_18VR004638.vcf	2316	2280	36	3.56230494417003e-05	3.61855186434114e-05	0	1760.82910784597	516.170892154037	4.68546221432609e-05	0	2.37369549340366e-05	0.00581202862385494	0.0137359676509414	0.0274719353018828	*	3.5585408422128e-05	6	0.0137359676509414	6	*	0
temp_vcf4_18VR004659.vcf	2316	2280	36	0	0	0	1760.83333333334	516.166666666665	0	0	0.000567912920018929	0.0058120762027769	0	*	*	0	4	0	4	*	0
temp_vcf4_18VR004845.vcf	2316	2280	36	0	0	0	1760.83333333334	516.166666666665	0	0	0.000567912920018929	0.0058120762027769	0	*	*	0	4	0	4	*	0
temp_vcf4_18VR004864.vcf	2316	2280	36	2.58108697020682e-05	2.62184097499956e-05	0	1760.83333333334	516.166666666665	0	0.000115811380490778	0.000567912920018929	0.00587178931444927	0.011948770876337	*	0.0597438543816851	2.5796137470503e-05	5	0.011948770876337	5	*	0
