file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_19VR001353.vcf	2208	2151	57	0.000195415378453913	0.000200593749710014	0	2234.77097546436	609.229024535641	0.000193118988499621	0.000392587548466536	0.00367975652241885	0.0264652388359775	0.0268184441478841	0.0616295161141839	0.0597636227244535	0.000195335949158414	25	0.0179709073225741	24	0	1
temp_vcf4_19VR001544.vcf	2208	2151	57	9.5144134668443e-06	9.76653878883878e-06	0	2234.99646258504	609.003537414965	1.87989782413295e-05	0	0.00135178043472226	0.0279144519786533	0.00233325003470777	0.0209992503123699	*	9.51053003277624e-06	18	0.0012352500183747	17	0	1
temp_vcf4_19VR001555.vcf	2208	2151	57	8.62461056225669e-05	8.85315672778371e-05	0	2234.99915959098	609.000840409021	0.000104925467842294	0	0.00139635397401198	0.0279145755998996	0.0106556849056544	0.0334892954177711	*	8.62155904530981e-05	22	0.00906495351049717	21	0	1
temp_vcf4_19VR001605.vcf	2208	2151	57	0.000135088013182088	0.000138667751327778	0	2234.99388116428	609.006118835724	5.36288731351011e-05	0.000377398978848299	0.00136951579278444	0.0281093463819384	0.0139797427052692	0.0299540283405971	0.038279575711557	0.000135013491305153	25	0.0124212412000741	24	0	1
temp_vcf4_19VR001607.vcf	2208	2151	57	0.000222655007712596	0.000219156275643686	0.000354686107365679	2234.96885130824	609.031148691761	0.000119740524785912	0.000502564090658732	0.00140415223212633	0.0281810525448262	0.0229400162333071	0.0382180835931031	0.0764934551702387	0.000222576917053457	25	0.020489126789246	23	0.0100999583506872	2
temp_vcf4_19VR001934.vcf	2208	2151	57	2.8889106156483e-05	2.96546473238096e-05	0	2234.96326931097	609.003085829223	1.900610704415e-05	0.000106432126595544	0.0013468839787244	0.027968229600819	0.00536013516461419	0.0212206183570374	0.0215871555260697	2.88644890892312e-05	20	0.00335435746889592	19	0	1
temp_vcf4_19VR003003.vcf	2208	2151	57	0.000240674311489748	0.000247052012909978	0	2235.48811787612	608.511882123878	0.000234626112803774	0.000363516313462703	0.00101611705283123	0.0116903127364776	0.0531948344850363	0.0654800863687297	0.0441773983681342	0.000240380644762649	14	0.0379114616882807	14	*	0
temp_vcf4_19VR003071.vcf	2208	2151	57	0.00015291633003378	0.000156968506143461	0	2235.45983247344	608.540167526563	0.000154840739077906	0.000169673785141879	0.000973533370635045	0.0115889457066126	0.0280715590396253	0.0345944347370474	0.0258001493158825	0.000152837912956763	16	0.0210916319880333	16	*	0
temp_vcf4_19VR003123.vcf	2208	2151	57	2.96367181955881e-05	3.04220705606037e-05	0	2235.54443332221	608.455566677788	4.89783137710684e-05	0	0.000919618274428873	0.0115045376907644	0.0156332265142464	0.0364775285332417	*	2.96205020816282e-05	7	0.00934315265660501	7	*	0
temp_vcf4_19VR003217.vcf	2208	2151	57	4.66605851973743e-05	4.78970581663424e-05	0	2237.16923408918	606.830765910825	1.93224053337665e-05	0.000138248900137731	0.0017781497784818	0.0361841091800655	0.00702687437165301	0.0429899770559112	0.0278312538779476	4.64380262744134e-05	18	0.00569639788966137	18	*	0
