file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_17VR013816.vcf	1541	1497	44	0	0	0	1154.33333333333	339.666666666667	0	0	0	0	0	*	*	0	2	*	0	0	2
temp_vcf4_17VR013817.vcf	1541	1497	44	2.61556127622842e-05	2.69243816076686e-05	0	1154.33333333333	339.666666666667	0	0.000118662804514269	0	6.05566569764802e-05	0.0134306605715505	*	0.0402919817146516	2.61466461483787e-05	3	0.0402919817146516	1	0	2
temp_vcf4_17VR013818.vcf	1541	1497	44	6.18038645081009e-05	6.36204109599088e-05	0	1154.33333333333	339.666666666667	8.25062851923046e-05	0	4.23544893657513e-05	0	0.0237875003181656	0.0475750006363312	*	6.17456205533177e-05	4	0.0475750006363313	2	0	2
temp_vcf4_17VR013863.vcf	1541	1497	44	0.000167728322283413	0.00017265821285153	0	1154.28253796095	339.717462039045	0.000223922078120776	0	0.000132018039020022	0	0.0861097256271145	0.258329176881343	*	0.00016763736332339	3	0.258329176881343	1	0	2
temp_vcf4_17VR013864.vcf	1541	1497	44	0.000197431807560777	0.000203234746460359	0	1154.38738135323	339.61261864677	0.000241556329514753	7.47700037604766e-05	0.000131941048794015	3.78474465649548e-05	0.0434350496417215	0.0696672075056413	0.0253765174694853	0.000197303924394582	7	0.0608090694984101	5	0	2
temp_vcf4_17VR014028.vcf	1541	1497	44	3.81355577457239e-05	3.92564425425254e-05	0	1154.32882260885	339.671177391144	2.31318788732707e-05	9.44004146242974e-05	1.17229797677319e-05	4.79538475235195e-05	0.0293722770332842	0.0266981074298784	0.0320464466366899	3.81210603936199e-05	2	0.0293722770332842	2	*	0
temp_vcf4_17VR014029.vcf	1541	1497	44	0	0	0	1154.33333333333	339.666666666667	0	0	0	0	0	*	*	0	2	*	0	0	2
temp_vcf4_17VR014030.vcf	1541	1497	44	0	0	0	1154.33333333333	339.666666666667	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR014031.vcf	1541	1497	44	0.000235563683976716	0.000242487399471022	0	1154.3080929008	339.63571980823	0.000251675438502589	0.000213442336398408	0.000112533209331412	0.000108700451018844	0.0329834867131751	0.0414788570747647	0.0362331771607864	0.000235443448309491	11	0.040313150427214	9	0	2
temp_vcf4_17VR014077.vcf	1541	1497	44	0.000409087919603511	0.000421111879832339	0	1154.22643049288	339.65382160796	0.000340220647545303	0.00069986794020883	0.000145916111718712	0.000405118362421438	0.0786685403833008	0.0784031686132813	0.23733248	0.000408402545792606	8	0.104891387177734	6	0	2
temp_vcf4_17VR014149.vcf	1541	1497	44	0.0001496346010816	0.000154032678868902	0	1154.29831010507	339.701689894933	0.000199763716405127	0	0.000105653089406693	0	0.0461016565198309	0.0768360941997182	*	0.000149583570797634	5	0.0768360941997182	3	0	2
temp_vcf4_17VR014170.vcf	1541	1497	44	0.000118118698137529	0.000121590456800222	0	1154.32220676866	339.67779323134	0.000157686400523707	0	8.46998589453728e-05	0	0.0606121569255544	0.0909182353883315	*	0.000117999007642221	3	0.0909182353883315	2	0	1
temp_vcf4_17VR014171.vcf	1541	1497	44	3.79271272539917e-05	3.90418858372754e-05	0	1154.33564761243	339.664352387564	2.69017409005169e-05	8.06445080314057e-05	1.36634259370086e-05	4.08805767068379e-05	0.0146081403151569	0.031046835954792	0.0273857253058358	3.79185991308422e-05	4	0.0292162806303139	2	0	2
temp_vcf4_17VR014172.vcf	1541	1497	44	7.43597664250452e-05	7.65453574221741e-05	0	1154.33793103448	339.662068965517	2.35863086811141e-05	0.000257202193825669	1.19489302720174e-05	0.000131783903801178	0.0228920299049631	0.0272057074910821	0.0436272210168667	7.42765408986473e-05	5	0.0381533831749385	3	0	2
temp_vcf4_17VR014174.vcf	1541	1497	44	5.03369857043292e-05	5.18164963061933e-05	0	1154.34014046461	339.659859535386	4.06992124844852e-05	9.00564475180347e-05	2.0593822627729e-05	4.57261425330293e-05	0.0155095421995552	0.0234837427205618	0.0305802255566527	5.03229792328204e-05	5	0.0258492369992587	3	0	2
temp_vcf4_17VR014176.vcf	1541	1497	44	1.46127673506768e-05	1.50422675266486e-05	0	1154.32764073371	339.672359266287	1.95076975485746e-05	0	9.86305693394821e-06	0	0.0112555764792297	0.0225111529584594	*	1.46081459821281e-05	2	0.0225111529584594	1	0	1
temp_vcf4_17VR014177.vcf	1541	1497	44	6.94456652316471e-05	7.14868203887563e-05	0	1154.32390472479	339.67609527521	4.83143937571316e-05	0.000150865224779228	2.45042362148144e-05	7.64096041336213e-05	0.0178324824991481	0.0278805226879631	0.0256169248094811	6.94321187507388e-05	6	0.0267487237487221	4	0	2
