file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_17VR013816.vcf	865	838	27	0.000232733235042891	0.000240231799895109	0	819.82910723719	233.170892762811	3.05854438417207e-05	0.000755837956893559	1.54645502570498e-05	0.00470628391069769	0.0669369073785797	0.0250350988670411	0.175775623268698	0.000232151123856346	3	0.0669369073785797	3	*	0
temp_vcf4_17VR013817.vcf	865	838	27	7.02809898625362e-05	7.25454131635965e-05	0	819.837547538288	233.162452461713	7.41525640215383e-05	0	3.7634938147477e-05	0.00428885521421683	0.0202420170884202	0.0303630256326303	*	7.02035274742896e-05	3	0.0202420170884202	3	*	0
temp_vcf4_17VR013818.vcf	865	838	27	0.000126916171476939	0.000131005355999466	0	819.822580645162	233.177419354839	0	0.000470810975742426	0	0.00453187336467335	0.0365479388189046	*	0.0548219082283569	0.000126755857175392	3	0.0365479388189046	3	*	0
temp_vcf4_17VR013863.vcf	865	838	27	0	0	0	819.833333333334	233.166666666667	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR013864.vcf	865	838	27	0	0	0	819.833333333334	233.166666666667	0	0	0	0.00428877769835597	0	*	*	0	1	0	1	*	0
temp_vcf4_17VR014028.vcf	865	838	27	0.000156459026665916	0.00016150006929119	0	819.806076093129	233.193923906871	0.000132660103045514	0.000113988817070465	6.8621796289756e-05	0.00434601328932396	0.0338156346456733	0.054348653398051	0.0265652317865912	0.000156372876974212	4	0.0338156346456733	4	*	0
temp_vcf4_17VR014029.vcf	865	838	27	0	0	0	819.833333333334	233.166666666667	0	0	0	0.00428877769835597	0	*	*	0	1	0	1	*	0
temp_vcf4_17VR014030.vcf	865	838	27	0.000129482627054319	0.000133654501673014	0	819.81826585695	233.18173414305	0.000136618659362158	0	7.01498415595497e-05	0.00428850057091749	0.0372147603905435	0.0558221405858152	*	0.000129068533146394	3	0.0372147603905435	3	*	0
temp_vcf4_17VR014031.vcf	865	838	27	0.000115147374677808	0.000118857373623274	0	819.822740112995	233.177259887006	0.000121492701071668	0.000121983286112247	6.17776618303199e-05	0.00435044485541144	0.0319947558586595	0.0331818508039668	0.0284334710227374	0.000115081563481966	4	0.0248863881029751	4	*	0
temp_vcf4_17VR014077.vcf	865	838	27	0.000747481201756938	0.000771564724963904	0	819.845994293705	233.154005706296	0.000597002994994217	0.00103203037795362	0.000320124541901408	0.00368965773852205	0.104213562360378	0.0611334104243884	0.240427653127536	0.000746880841549886	7	0.0922931325629502	7	*	0
