file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_17VR013816.vcf	1441	1410	31	3.45707413439419e-05	3.53308072883831e-05	0	1087.5	319.5	1.91951615927508e-05	9.05843506870228e-05	9.6895703886729e-06	0.00943557642149191	0.00995117055605705	0.0208527416691742	0.0289031111111111	3.45286972798649e-05	5	0.00995117055605707	5	*	0
temp_vcf4_17VR013817.vcf	1441	1410	31	3.95988172142004e-05	4.04694295075623e-05	0	1087.49869235013	319.501307649869	5.2470771695688e-05	0	2.66241816427788e-05	0.00938963293160477	0.0114039400822685	0.0285098502056713	*	3.9569535330564e-05	5	0.0114039400822685	5	*	0
temp_vcf4_17VR013818.vcf	1441	1410	31	4.06283771782298e-05	4.15216251871128e-05	0	1087.49466537342	319.505334626576	1.94312091941901e-05	0.000117100251916358	9.81085562255678e-06	0.00944913055231503	0.0116960909782751	0.0211108403789038	0.0373696145124718	4.05832441994279e-05	5	0.0116960909782751	5	*	0
temp_vcf4_17VR013863.vcf	1441	1410	31	0.000131118712607848	0.000134001464445325	0	1087.50339922386	319.496600776134	0.000138482354560591	0.000120007641576152	7.13643609504441e-05	0.00945092818026456	0.026970263222278	0.0501588551612024	0.0383152770723389	0.000131014463952773	7	0.026970263222278	7	*	0
temp_vcf4_17VR013864.vcf	1441	1410	31	3.63095501378773e-05	3.71078452118306e-05	0	1087.5	319.5	0	0.000163762321592116	0	0.0094735826337231	0.0130454470311725	*	0.05218178812469	3.62122054994379e-05	4	0.0130454470311725	4	*	0
temp_vcf4_17VR014028.vcf	1441	1410	31	0.000638434860088696	0.000652471371197029	0	1085.96854030501	319.704793028323	0.000847155879054674	0	0.000282871493125742	0.00938365662767599	0.183794342346961	0.459485855867401	*	0.000637731930419711	5	0.183794342346961	5	*	0
temp_vcf4_17VR014029.vcf	1441	1410	31	0	0	0	1087.5	319.5	0	0	0	0.00938967136150234	0	*	*	0	3	0	3	*	0
temp_vcf4_17VR014030.vcf	1441	1410	31	0	0	0	1087.5	319.5	0	0	0	0.00938967136150234	0	*	*	0	3	0	3	*	0
temp_vcf4_17VR014031.vcf	1441	1410	31	0.000112567309702832	0.000115042193816866	0	1087.48003733354	319.519962666454	0.000124105560406286	8.52753411413494e-05	6.36828586840259e-05	0.00943228603255595	0.0231575916292009	0.0449589542194997	0.027226278745907	0.000112493505485362	7	0.0231575916292009	7	*	0
temp_vcf4_17VR014077.vcf	1441	1410	31	0.000422235026017684	0.000431518207440768	0	1087.3547008547	319.645299145299	0.00055956043783434	0	0.000332427806983865	0.00938540315788066	0.101189850783825	0.20237970156765	*	0.000421331786747363	6	0.101189850783825	6	*	0
temp_vcf4_17VR014149.vcf	1441	1410	31	0	0	0	1087.5	319.5	0	0	0	0.00938967136150234	0	*	*	0	3	0	3	*	0
temp_vcf4_17VR014170.vcf	1441	1410	31	0.000292860850432638	0.00029929963508754	0	1088.01752021563	318.982479784367	0.000320102490646855	0.000231158048037114	0.000713481455056243	0.00952275840648912	0.0701557914082277	0.347338365748578	0.0367981913503942	0.000292112941325029	6	0.0701557914082277	6	*	0
temp_vcf4_17VR014171.vcf	1441	1410	31	0.000474925851924657	0.000485367484130093	0	1087.48881303229	319.400997394253	0.000524771474277859	0.0003559320286263	0.000245304124068381	0.00958563892788455	0.0683415431511299	0.0949775140806755	0.113550347027246	0.000474264699175086	10	0.0683415431511299	10	*	0
temp_vcf4_17VR014172.vcf	1441	1410	31	0	0	0	1087.5	319.5	0	0	0	0.0125195618153365	0	*	*	0	4	0	4	*	0
temp_vcf4_17VR014174.vcf	1441	1410	31	4.13980050549875e-05	4.23081739604518e-05	0	1087.5	319.5	2.22886980450825e-05	0.000110846842441971	1.12757845479468e-05	0.00944608118399089	0.0119240643351421	0.0242240977143864	0.0353962239613239	4.13742690324152e-05	5	0.0119240643351421	5	*	0
temp_vcf4_17VR014176.vcf	1441	1410	31	5.31463768264819e-05	5.43148432673479e-05	0	1087.42048929663	319.460244648318	7.0427152845443e-05	0	0	0.00939083986272717	0.0190874318473006	0.0763497273892022	*	5.29838496802236e-05	4	0.0190874318473006	4	*	0
temp_vcf4_17VR014177.vcf	1441	1410	31	5.67798377857574e-05	5.80281888292741e-05	0	1087.52847264592	319.471527354078	7.52345785027694e-05	0	3.92715868666464e-05	0.00939050820849843	0.0204424564301883	0.0817698257207533	*	5.67451948096831e-05	4	0.0204424564301883	4	*	0
temp_vcf4_17VR014303.vcf	1441	1410	31	7.6299796208422e-05	7.79773094583944e-05	0	1087.49653823448	319.503461765521	5.27160694310431e-05	0.000164691371511226	2.67107229960517e-05	0.00947293997920949	0.0156859849194523	0.0286235061026249	0.0262774411154583	7.6198400025098e-05	7	0.0156859849194523	7	*	0
temp_vcf4_17VR014305.vcf	1441	1410	31	0.000126566476702143	0.000129349143920417	0	1087.5	319.5	0.000139365862178914	9.64692263168049e-05	7.10584726602782e-05	0.0094385758998435	0.022760773748341	0.0378311178091819	0.03076171875	0.000126360992357202	8	0.022760773748341	8	*	0
temp_vcf4_17VR014310.vcf	1441	1410	31	0	0	0	1087.5	319.5	0	0	0	0.00938967136150234	0	*	*	0	3	0	3	*	0
