file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_19VR002740.vcf	1737	1704	33	2.19317750991379e-05	2.23565101802831e-05	0	2639.33333333333	759.666666666666	0	0.000100295287443271	0.0022733013387219	5.11329563220924e-05	0.0190447871107247	*	0.0380895742214493	2.1928367427432e-05	4	0.00952239355536233	4	*	0
temp_vcf4_19VR002744.vcf	1737	1704	33	0	0	0	2639.33333333333	759.666666666666	0	0	0.0022733013387219	0	0	*	*	0	3	0	3	*	0
temp_vcf4_19VR003000.vcf	1737	1704	33	1.5598367519746e-05	1.59004485808679e-05	0	2639.3195997019	759.680400298094	2.05313251073186e-05	0	0.00228372011617543	0	0.0135450187954681	0.0270900375909362	*	1.55958765635787e-05	4	0.00677250939773405	4	*	0
temp_vcf4_19VR003002.vcf	1737	1704	33	0	0	0	2641	757.999999999999	0	0	0.00454373343430519	0.0211081794195251	0	*	*	0	14	0	14	*	0
temp_vcf4_19VR003004.vcf	1737	1704	33	0	0	0	2639.33333333333	759.666666666666	0	0	0.0022733013387219	0	0	*	*	0	3	0	3	*	0
temp_vcf4_19VR003005.vcf	1737	1704	33	7.68575740880724e-05	7.83460130228767e-05	0	2639.4087020581	759.591297941894	0.000101160237963058	0	0.00232563386617853	0	0.0533209954771818	0.0666512443464773	*	7.6742941101298e-05	5	0.0266604977385909	5	*	0
temp_vcf4_19VR003124.vcf	1737	1704	33	0	0	0	2639.33333333333	759.666666666666	0	0	0.0022733013387219	0	0	*	*	0	3	0	3	*	0
temp_vcf4_19VR003216.vcf	1737	1704	33	1.42639244239378e-05	1.45401623969366e-05	0	2639.33333333333	759.666666666666	1.87747689247638e-05	0	0.00228280658547074	0	0.0123864114458594	0.0247728228917188	*	1.42618439215422e-05	4	0.0061932057229297	4	*	0
temp_vcf4_19VR003219.vcf	1737	1704	33	0	0	0	2639.33333333333	759.666666666666	0	0	0.0022733013387219	0	0	*	*	0	3	0	3	*	0
temp_vcf4_19VR003231.vcf	1737	1704	33	0.000626938250923386	0.000639079660712395	0	2639.16268811624	759.837311883756	0.000825255484822887	0	0.00279380935265973	0	0.271008734117635	0.216806987294108	*	0.000624084592095877	8	0.135504367058817	8	*	0
temp_vcf4_19VR003237.vcf	1737	1704	33	4.01554094523073e-05	4.09330670297287e-05	0	2639.35612064843	759.643879351572	3.31748439093166e-05	6.83737031594857e-05	0.00229003731893646	3.46119101251393e-05	0.0232260136629717	0.021865484510754	0.0259470719674071	4.01140132348388e-05	6	0.0116130068314858	6	*	0
temp_vcf4_19VR003316.vcf	1737	1704	33	0	0	0	2639.33333333333	759.666666666666	0	0	0.0022733013387219	0	0	*	*	0	3	0	3	*	0
temp_vcf4_19VR003317.vcf	1737	1704	33	0.00014803526730158	0.000150902147478196	0	2639.31869824764	759.681301752358	0.000194851239051631	0	0.00238480495933483	0	0.102777448900506	0.128471811125633	*	0.000147923789436538	5	0.0513887244502532	5	*	0
temp_vcf4_19VR003373.vcf	1737	1704	33	0	0	0	2639.33333333333	759.666666666666	0	0	0.0022733013387219	0	0	*	*	0	3	0	3	*	0
