file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_19VR002740.vcf	1002	982	20	2.99371508483148e-05	3.05468687881991e-05	0	807.666666666666	239.333333333334	3.71403530540794e-05	0	1.88558482968273e-05	0.00417827298050139	0.0149973103857964	0.0299946207715929	*	2.99347512690548e-05	2	0.0149973103857964	2	*	0
temp_vcf4_19VR002744.vcf	1002	982	20	0	0	0	807.666666666666	239.333333333334	0	0	0	0.00417827298050139	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003000.vcf	1002	982	20	0	0	0	807.666666666666	239.333333333334	0	0	0	0.00417827298050139	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003002.vcf	1002	982	20	0	0	0	807.666666666666	239.333333333334	0	0	0	0.00417827298050139	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003004.vcf	1002	982	20	0	0	0	807.666666666666	239.333333333334	0	0	0	0.00417827298050139	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003005.vcf	1002	982	20	0.000209211708828707	0.000161283054552525	0.0025625086337892	807.675416819258	239.324583180742	0.000170391148727712	8.6740848866059e-05	8.68016773736675e-05	0.00422220436260812	0.0226106152700976	0.0343848140292283	0.0207350507737698	0.000208972020636281	7	0.0263790511484471	6	0.0511156577868712	1
temp_vcf4_19VR003124.vcf	1002	982	20	0	0	0	807.666666666666	239.333333333334	0	0	0	0.00417827298050139	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003216.vcf	1002	982	20	0	0	0	807.666666666666	239.333333333334	0	0	0	0.00417827298050139	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003219.vcf	1002	982	20	0	0	0	807.666666666666	239.333333333334	0	0	0	0.00417827298050139	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003231.vcf	1002	982	20	0.000529724090850666	0.000540512768872065	0	807.721719457013	239.278280542987	0.000342181560072385	0.00106318074664748	0.000204474346872523	0.00480310074945169	0.176583295869745	0.275762167031797	0.253987720577437	0.000528692502604026	3	0.176583295869745	3	*	0
temp_vcf4_19VR003237.vcf	1002	982	20	2.84072504853205e-05	2.89858095583413e-05	0	807.666666666666	239.333333333334	0	0.000118930633647456	0	0.00423857277095962	0.0142234744459457	*	0.0284469488918915	2.83901685547819e-05	2	0.0142234744459457	2	*	0
temp_vcf4_19VR003316.vcf	1002	982	20	0.000146945171168579	0.000149937944512135	0	807.64963056433	239.35036943567	9.92261943067673e-05	0.000280338244285792	5.09106590347451e-05	0.00432317708763451	0.0368057149797505	0.0400652397123729	0.0670923804942565	0.000146929001915172	4	0.0368057149797506	4	*	0
temp_vcf4_19VR003317.vcf	1002	982	20	0.000132472135212266	0.0001351701420394	0	807.629150646627	239.370849353373	0.000131559967916074	0.00011064594710292	6.96780570814762e-05	0.00423367472998049	0.0442303522648808	0.106214527200583	0.0264765295940599	0.000132426204385871	3	0.0442303522648808	3	*	0
temp_vcf4_19VR003373.vcf	1002	982	20	0	0	0	807.666666666666	239.333333333334	0	0	0	0.00417827298050139	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003464.vcf	1002	982	20	6.84711334336579e-05	6.98656575361764e-05	0	809	238	3.13347872265806e-05	0.000181757280816057	0.00496024426766071	0.0589154014913468	0.00342991955212539	0.0253456164836983	0.0216263872794048	6.84614681062952e-05	20	0.00342991955212539	20	*	0
temp_vcf4_19VR003468.vcf	1002	982	20	0.000130479390626256	0.00013313681202394	0	808.67020156438	238.32979843562	7.92825135295781e-05	0.000279557754205931	0.00375013073394481	0.0588846092534039	0.00653485579878568	0.0320492959533166	0.0332992620345401	0.000130436243488736	20	0.00653485579878568	20	*	0
temp_vcf4_19VR003542.vcf	1002	982	20	0	0	0	807.666666666666	239.333333333334	0	0	0	0.00417827298050139	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003675.vcf	1002	982	20	0.000122578108893791	0.000125074608056597	0	807.666666666666	239.333333333334	8.44400030521684e-05	0.000228233520806867	4.29778532174431e-05	0.00429398991866752	0.0245548038495214	0.0340872701804638	0.0272997394433399	0.000122528961324957	5	0.0245548038495214	5	*	0
temp_vcf4_19VR003676.vcf	1002	982	20	2.54922399352905e-05	2.60114301580052e-05	0	809	238	3.15738249878382e-05	0	0.00496036690723979	0.0588235294117646	0.00141882960437783	0.0255389328788009	*	2.54879569648712e-05	18	0.00141882960437783	18	*	0
temp_vcf4_19VR003677.vcf	1002	982	20	0	0	0	807.666666666666	239.333333333334	0	0	0	0.00417827298050139	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003678.vcf	1002	982	20	0.000134966103275904	0.000137714903749955	0	808.987509758001	238.012490241999	0.000218030104418572	0.000309689712527198	0.00505746246898724	0.0586630107512774	0.013136347913199	0.058684404555588	0.0367686983420081	0.00013470811049921	19	0.00710408035369521	19	*	0
temp_vcf4_19VR003752.vcf	1002	982	20	0	0	0	807.666666666666	239.333333333334	0	0	0	0.00835654596100278	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR003890.vcf	1002	982	20	0	0	0	808.666666666666	238.333333333334	0	0	0.00370981038746909	0.0587412587412587	0	*	*	0	16	0	16	*	0
temp_vcf4_19VR003891.vcf	1002	982	20	0	0	0	808.666666666666	238.333333333334	0	0	0.00370981038746909	0.0587412587412587	0	*	*	0	16	0	16	*	0
temp_vcf4_19VR003895.vcf	1002	982	20	0.000321056122267804	0.000327594943495254	0	807.6902646242	239.309735375799	0.000321814973134695	0.000258123279456831	0.000166001297279179	0.00430970611902393	0.0401496538710182	0.0519130386329228	0.0308160189017659	0.000320556118730684	8	0.0401496538710182	8	*	0
temp_vcf4_19VR003909.vcf	1002	982	20	0	0	0	807.666666666666	239.333333333334	0	0	0	0.00417827298050139	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003913.vcf	1002	982	20	2.02591981960832e-05	2.06718091573069e-05	0	807.65983061101	239.34016938899	2.51339930786434e-05	0	1.26960424375892e-05	0.00417815364028902	0.0101489372564648	0.0202978745129296	*	2.0257359793343e-05	2	0.0101489372564648	2	*	0
temp_vcf4_19VR003920.vcf	1002	982	20	0.000228384683470176	0.000233036102685455	0	807.665338888174	239.334661111826	4.05240436999862e-05	0.000819403200681483	2.05732664252618e-05	0.0044449809483247	0.032644993884181	0.0326804246036456	0.0326390887642702	0.000228058839510247	7	0.032644993884181	7	*	0
temp_vcf4_19VR004002.vcf	1002	982	20	1.9968334152748e-05	2.03750212027022e-05	0	809	238	0	8.40683647943425e-05	0.00494437577255872	0.0588659816258109	0.0011112826295113	*	0.0200030873312034	1.9963161009185e-05	18	0.0011112826295113	18	*	0
temp_vcf4_19VR004328.vcf	1002	982	20	0	0	0	808	239	0	0	0.00123762376237624	0.0125523012552301	0	*	*	0	4	0	4	*	0
temp_vcf4_19VR004453.vcf	1002	982	20	0	0	0	808	239	0	0	0.00123762376237624	0.00418410041841004	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR004454.vcf	1002	982	20	0.000155243607303868	0.000158405391566676	0	807.954598247281	239.045401752719	0.00015714935056193	0.000119577929174978	0.00132198347703609	0.00424395379488844	0.0388760596733651	0.126929321981741	0.0285749167117191	0.000155193850991477	4	0.0388760596733651	4	*	0
temp_vcf4_19VR004455.vcf	1002	982	20	0.00442057816966068	0.00451061031160896	0	808.012595140573	238.987404859427	0.00101703911844902	0.0157189576236578	0.0017754733360837	0.012646943783684	0.0750375625205295	0.0552144979588997	0.0834596358657009	0.00441955037420012	61	0.0725965487696479	61	*	0
temp_vcf4_19VR004458.vcf	1002	982	20	0	0	0	808	239	0	0	0.00123762376237624	0.00418410041841004	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR004462.vcf	1002	982	20	0	0	0	807.666666666666	239.333333333334	0	0	0	0.00417827298050139	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR004469.vcf	1002	982	20	0	0	0	807.666666666666	239.333333333334	0	0	0	0.00417827298050139	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR004555.vcf	1002	982	20	0.000200574521311874	0.000204659542112523	0	807.738991214947	239.261008785053	0.000248812639404969	0	0.000134309255342634	0.00417953600161562	0.0669755047867076	0.100463257180061	*	0.000200525463433256	3	0.0669755047867076	3	*	0
temp_vcf4_19VR004571.vcf	1002	982	20	0	0	0	808	239	0	0	0.00123762376237624	0.00418410041841004	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR004578.vcf	1002	982	20	0	0	0	808	239	0	0	0.00123762376237624	0.00418410041841004	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR004702.vcf	1002	982	20	3.40242635974817e-05	3.47172221228887e-05	0	808.00578174768	238.99421825232	4.21931536813221e-05	0	0.00125908163780791	0.00418420164015952	0.0113629237233162	0.0340887711699485	*	3.40207297105274e-05	3	0.0113629237233161	3	*	0
temp_vcf4_19VR004825.vcf	1002	982	20	0	0	0	808	239	0	0	0.00123762376237624	0.00418410041841004	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR005044.vcf	1002	982	20	5.82822674354813e-05	5.94692789922121e-05	0	807.666666666666	239.333333333334	0	0.000244006261714563	0	0.000123823746033652	0.0291949989495734	*	0.0291949989495734	5.82734509971526e-05	2	0.0291949989495734	2	*	0
temp_vcf4_19VR005160.vcf	1002	982	20	4.55441430273818e-05	4.64717223151085e-05	0	807.658078368223	239.341921631777	3.15151609782165e-05	8.43218639706347e-05	1.59503730725802e-05	0.00422071039984561	0.0152036879850037	0.0254329804144269	0.0201780835405843	4.55200239071967e-05	3	0.0152036879850037	3	*	0
