file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_19VR002740.vcf	1542	1497	45	0	0	0	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR002744.vcf	1542	1497	45	1.30804305307828e-05	1.34736298453354e-05	0	1154.16666666667	339.833333333333	0	5.93526941004426e-05	0	0.00297259168209137	0.0100819906654351	*	0.0201639813308703	1.30765118877239e-05	2	0.0100819906654351	2	*	0
temp_vcf4_19VR003000.vcf	1542	1497	45	0	0	0	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003002.vcf	1542	1497	45	7.8257887693427e-05	8.06103292072574e-05	0	1153.33333333333	340.666666666666	0	0.00035422797306242	0	0.0207371260041135	0.0133986888765837	*	0.120588199889254	7.82024642602163e-05	9	0.0150735249861567	8	0	1
temp_vcf4_19VR003004.vcf	1542	1497	45	2.08395616838602e-05	2.14660014138359e-05	0	1154.18843208384	339.811567916163	2.78417312314374e-05	0	1.41433256685821e-05	0.00294280740980165	0.0160575878490311	0.0321151756980622	*	2.08269621907018e-05	2	0.0160575878490311	2	*	0
temp_vcf4_19VR003005.vcf	1542	1497	45	0.000161818427098046	0.000166682708473739	0	1154.15712780976	339.842872190244	0.000122519378530401	0.000318139379715988	6.2366628942397e-05	0.00310594478716264	0.0356032475515017	0.0353100793827529	0.0539912076647501	0.000161623043359606	7	0.0356032475515017	7	*	0
temp_vcf4_19VR003124.vcf	1542	1497	45	0	0	0	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003216.vcf	1542	1497	45	0	0	0	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003219.vcf	1542	1497	45	0	0	0	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003231.vcf	1542	1497	45	0	0	0	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003237.vcf	1542	1497	45	4.16634313300043e-05	4.29158390854153e-05	0	1154.16666666667	339.833333333333	5.56635475328809e-05	0	2.86896024099266e-05	0.00294261893084846	0.0320161396429981	0.0640322792859962	*	4.15254729481168e-05	2	0.0320161396429981	2	*	0
temp_vcf4_19VR003316.vcf	1542	1497	45	0.000191109668048688	0.00019685444764935	0	1154.16666666667	339.833333333333	0.00023466868347599	7.01647943674511e-05	0.000128508288514822	0.00297812152583781	0.0736587637751657	0.135398125738326	0.0238388036240116	0.000191073317185903	4	0.0736587637751657	4	*	0
temp_vcf4_19VR003317.vcf	1542	1497	45	0.000275069012281968	0.000283337619865594	0	1154.0777838097	339.922216190295	0.000309120663411118	0.000198301621868016	0.00016421533667104	0.00304289827936637	0.0605353432277703	0.0890934601739286	0.0336867809493391	0.000274803763031383	7	0.0605353432277704	7	*	0
temp_vcf4_19VR003373.vcf	1542	1497	45	1.28472286253465e-05	1.32334178625814e-05	0	1154.16666666667	339.833333333333	0	5.82945361656235e-05	0	0.00297204512015694	0.00990000000000002	*	0.0198	1.28404669260701e-05	2	0.00990000000000002	2	*	0
