file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_19VR002740.vcf	2229	2151	78	0	0	0	2287.16666666667	622.833333333332	0	0	0	0.00481669788600483	0	*	*	0	3	0	2	0	1
temp_vcf4_19VR002744.vcf	2229	2151	78	0	0	0	2287.16666666667	622.833333333332	0	0	0	0.00481669788600483	0	*	*	0	3	0	2	0	1
temp_vcf4_19VR003000.vcf	2229	2151	78	0	0	0	2287.16666666667	622.833333333332	0	0	0	0.00481669788600483	0	*	*	0	3	0	2	0	1
temp_vcf4_19VR003002.vcf	2229	2151	78	0	0	0	2287.83333333334	622.166666666666	0	0	0.000437094776717417	0.0192874363782481	0	*	*	0	12	0	10	0	2
temp_vcf4_19VR003004.vcf	2229	2151	78	0	0	0	2287.16666666667	622.833333333332	0	0	0	0.00481669788600483	0	*	*	0	3	0	2	0	1
temp_vcf4_19VR003005.vcf	2229	2151	78	0.000142750327031986	0.000147926768458529	0	2287.20194003528	622.798059964726	0.000189798636269641	4.26484092202588e-05	0.000101423085828492	0.00479539756368756	0.0766443769863663	0.108338974216623	0.0265103650517056	0.000142499576309695	6	0.0635263111188619	5	0	1
temp_vcf4_19VR003124.vcf	2229	2151	78	0	0	0	2287.16666666667	622.833333333332	0	0	0	0.00481669788600483	0	*	*	0	3	0	2	0	1
temp_vcf4_19VR003216.vcf	2229	2151	78	0	0	0	2287.16666666667	622.833333333332	0	0	0	0.00481669788600483	0	*	*	0	3	0	2	0	1
temp_vcf4_19VR003219.vcf	2229	2151	78	9.99434470745329e-06	1.03567616703456e-05	0	2287.16666666667	622.833333333332	0	3.57678260951246e-05	0	0.0048347811834441	0.00556801397318207	*	0.0222720558927283	9.99194970512709e-06	4	0.00742401863090943	3	0	1
temp_vcf4_19VR003231.vcf	2229	2151	78	0	0	0	2287.16666666667	622.833333333332	0	0	0	0.00481669788600483	0	*	*	0	3	0	2	0	1
temp_vcf4_19VR003237.vcf	2229	2151	78	4.50142852814171e-05	4.66466024603806e-05	0	2287.16666666667	622.833333333332	1.30245021289065e-05	0.000113268881091434	6.59958010171602e-06	0.00487431680816978	0.0200349315512073	0.0297330010679957	0.0352208283440205	4.49415243409766e-05	5	0.0200349315512074	5	*	0
temp_vcf4_19VR003316.vcf	2229	2151	78	0.000107771316381294	0.000111679341800979	0	2287.15111771756	622.848882282447	3.01067696020572e-05	0.000275128586310902	1.56059715786742e-05	0.00495906621608404	0.0343080798298497	0.0688384194359604	0.0571060464576624	0.000107741838855517	7	0.0400260931348246	6	0	1
temp_vcf4_19VR003317.vcf	2229	2151	78	0.000276776761124024	0.000286813296394909	0	2287.07174269402	622.928257305988	0.000295368469186995	0	0.00016189376117698	0.00481596390084191	0.0843627109559063	0.112483614607875	*	0.000276522736650728	8	0.0880527399992105	7	0	1
temp_vcf4_19VR003373.vcf	2229	2151	78	0	0	0	2287.16666666667	622.833333333332	0	0	0	0.00481669788600483	0	*	*	0	3	0	2	0	1
temp_vcf4_19VR003464.vcf	2229	2151	78	4.86310363045067e-05	5.03945048455348e-05	0	2287.64862245669	622.319558313428	9.17652659471672e-06	0.000176117812564541	0.000874260137840667	0.0370330027880824	0.00483540434926583	0.0209878280570917	0.0273920223432714	4.86174530161372e-05	27	0.00433473211091879	25	0	2
temp_vcf4_19VR003468.vcf	2229	2151	78	0.000148766825863625	0.000140286895887248	0.000382617202519853	2287.7098050638	622.290194936204	5.71767318633052e-05	0.000481955677043688	0.000903338587789337	0.0436330003194021	0.0116373299738463	0.032689912648889	0.0299821558436758	0.000148718746359119	37	0.00887253189797545	34	0.00994266703443699	3
temp_vcf4_19VR003542.vcf	2229	2151	78	0	0	0	2287.16666666667	622.833333333332	0	0	0	0.00481669788600483	0	*	*	0	3	0	2	0	1
temp_vcf4_19VR003675.vcf	2229	2151	78	0.00016313616365392	0.000169051840439139	0	2287.18423818521	622.815761814791	0.000136184201629695	0.000220318666664188	7.0075814846991e-05	0.00492899228519043	0.0407359687625409	0.0518439538098885	0.0342579833821547	0.000162942389000909	11	0.0363198585083026	10	0	1
temp_vcf4_19VR003676.vcf	2229	2151	78	1.5030266427706e-05	1.55752970094638e-05	0	2287.66666666667	622.333333333332	0	0.000107667264704949	0.000874253242022438	0.037012440418206	0.00279123776087074	*	0.0334948531304489	1.50268520100713e-05	24	0.00152249332411131	22	0	2
temp_vcf4_19VR003677.vcf	2229	2151	78	1.46725555678401e-05	1.52046147655581e-05	0	2285.83887210474	624.161127895266	1.43077129188032e-05	0	0.000882221550612862	0.00480645119653046	0.00653608492072912	0.0326804246036456	*	1.466147357723e-05	5	0.00817010615091139	4	0	1
temp_vcf4_19VR003678.vcf	2229	2151	78	8.59222730977831e-05	8.90380040608827e-05	0	2287.63463721607	622.365362783929	7.25109268940568e-05	0.000296793340369534	0.000892686669307977	0.0368695779834234	0.0129662509039526	0.0276072165349883	0.0263493535995415	8.58035878740307e-05	27	0.00765024789484858	25	0	2
temp_vcf4_19VR003752.vcf	2229	2151	78	0	0	0	2287.16666666667	622.833333333332	0	0	0	0.0192667915440193	0	*	*	0	11	0	9	0	2
temp_vcf4_19VR003890.vcf	2229	2151	78	0	0	0	2287.66666666667	622.333333333332	0	0	0.000874253242022438	0.0433851098018212	0	*	*	0	26	0	24	0	2
temp_vcf4_19VR003891.vcf	2229	2151	78	0.000126757508158606	0.000131354014730606	0	2287.64260005957	622.35739994043	0.000158082490850253	9.89979925694709e-05	0.000956528078241599	0.0433952203761232	0.0140703528865833	0.0721243321141348	0.0307444630134128	0.000126432893998361	30	0.0100649614543695	28	0	2
temp_vcf4_19VR003895.vcf	2229	2151	78	0.00014840519547909	0.000153786694896742	0	2287.16666666667	622.833333333332	0.000144630990624306	0	9.09422138016467e-05	0.00481669788600483	0.109824	0.329472	*	0.000147811574697174	3	0.109824	3	*	0
temp_vcf4_19VR003909.vcf	2229	2151	78	6.57368019153022e-05	6.81205632120914e-05	0	2287.15796019901	622.842039800994	1.19883179693519e-05	0.000235256007311301	6.07255341807716e-06	0.00493903728045155	0.0289706627214954	0.0273919753086418	0.0488106670067769	6.56940336564965e-05	6	0.0292864002040661	5	0	1
temp_vcf4_19VR003913.vcf	2229	2151	78	0.000242039500651532	0.000250816386309747	0	2287.21932558308	622.780674416927	0.000236477959005158	0.000260689602399002	0.000123051206499761	0.0049511804201665	0.0585745136101484	0.067576100526181	0.054095119704111	0.000241925144597393	12	0.0490228315734171	11	0	1
temp_vcf4_19VR003920.vcf	2229	2151	78	0.000263976007137927	0.000157857567737054	0.0031903960475389	2287.11355407923	622.886445920769	9.47713276661503e-05	0.000608914651225047	4.864986579251e-05	0.00484215676126517	0.0742038685574769	0.0539973876608978	0.0944103494540559	0.000262495122035749	8	0.0563704755990849	6	0.123439386711588	2
