file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_19VR002740.vcf	2316	2280	36	0	0	0	1762.16666666667	514.833333333331	0	0	0	0.00388475234703789	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR002744.vcf	2316	2280	36	0	0	0	1762.16666666667	514.833333333331	0	0	0	0.00388475234703789	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR003000.vcf	2316	2280	36	0	0	0	1762.16666666667	514.833333333331	0	0	0	0.00388475234703789	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR003002.vcf	2316	2280	36	2.59318688387607e-05	2.63413193993727e-05	0	1761.00000000001	515.999999999998	0	0.000116391876415833	0.000567859170925609	0.0291288531800969	0.00333542848866799	*	0.0300188563980119	2.59230193419792e-05	18	0.00333542848866799	18	*	0
temp_vcf4_19VR003004.vcf	2316	2280	36	9.30406459697083e-06	9.45097088008089e-06	0	1762.17392676768	514.826073232321	0	4.1855326928752e-05	0	0.00390596019912091	0.00718103741008573	*	0.0215431122302572	9.30186193016283e-06	3	0.00718103741008571	3	*	0
temp_vcf4_19VR003005.vcf	2316	2280	36	0.000437199657974316	0.000444102810468647	0	1761.87993877187	514.879743405315	0.000204854452161103	0.00126558767670299	6.07863472221181e-05	0.00443198193538418	0.0481343120467052	0.0600295364095118	0.0464745238945527	0.000436451015967534	21	0.0481343120467052	21	*	0
temp_vcf4_19VR003124.vcf	2316	2280	36	1.1656343009115e-05	1.18403905303115e-05	0	1762.15754763068	514.842452369319	1.5319907374575e-05	0	7.76238991787528e-06	0.00388468353919912	0.00899430076160882	0.0269829022848265	*	1.16506486549337e-05	3	0.00899430076160882	3	*	0
temp_vcf4_19VR003216.vcf	2316	2280	36	6.58669972572734e-05	6.6907002477125e-05	0	1762.11121764142	514.888782358579	8.65711336041716e-05	0	4.7201071668366e-05	0.00388433399313633	0.0508371336463057	0.152511400938917	*	6.58512093864064e-05	3	0.0508371336463057	3	*	0
temp_vcf4_19VR003219.vcf	2316	2280	36	0	0	0	1762.16666666667	514.833333333331	0	0	0	0.00388475234703789	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR003231.vcf	2316	2280	36	0.000105646627954434	0.000107314732606346	0	1762.25247584382	514.747524156179	0.000138843663831603	0	7.51033438971205e-05	0.00388539994102659	0.0486831806958711	0.0811386344931185	*	0.000105101858151708	5	0.0486831806958711	5	*	0
temp_vcf4_19VR003237.vcf	2316	2280	36	8.3642092274717e-05	8.4962756889581e-05	0	1762.18390426	514.816095740007	6.67213367505865e-05	0.000147897124129744	3.38276762542777e-05	0.00396029484369777	0.0241739061142322	0.0293498114595294	0.03799600153787	8.35022663704048e-05	8	0.0241739061142322	8	*	0
temp_vcf4_19VR003316.vcf	2316	2280	36	6.02355947565663e-05	6.11866830948278e-05	0	1762.1741181938	514.825881806202	3.6038072075412e-05	0.000147623268878162	1.83370067058933e-05	0.00396008947892014	0.0232447502513656	0.0317442474582699	0.037990003295827	6.02195602366985e-05	6	0.0232447502513656	6	*	0
temp_vcf4_19VR003317.vcf	2316	2280	36	0	0	0	1762.16666666667	514.833333333331	0	0	0	0.00388475234703789	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR003373.vcf	2316	2280	36	2.10957245936388e-05	2.14288149819594e-05	0	1762.16666666667	514.833333333331	0	9.49000287967644e-05	0	0.00393278501831141	0.0122106006724836	*	0.0244212013449673	2.10891203324415e-05	4	0.0122106006724837	4	*	0
temp_vcf4_19VR003464.vcf	2316	2280	36	8.34377671904107e-05	8.4755205619733e-05	0	1759.17238556122	517.827614438781	0.000109848170878002	0	0.00346936910618866	0.0675900609084605	0.00439095392382083	0.0644006575493722	*	8.34205408670625e-05	44	0.00439095392382083	44	*	0
temp_vcf4_19VR003468.vcf	2316	2280	36	9.25780023992894e-05	9.40397603319098e-05	0	1758.71173332233	518.288266677678	6.41892203345928e-05	0.000195876166080814	0.00287557847254341	0.0695513962784661	0.00446541559708996	0.0282129012165165	0.0338294479314173	9.25474735148177e-05	48	0.00446541559708996	48	*	0
temp_vcf4_19VR003542.vcf	2316	2280	36	0	0	0	1762.16666666667	514.833333333331	0	0	0	0.00582712852055684	0	*	*	0	3	0	3	*	0
temp_vcf4_19VR003675.vcf	2316	2280	36	0.000229043588133354	0.000232660065840723	0	1762.1815734464	514.8184265536	0.000265639581598329	0.000121129646939254	0.000137050627951527	0.00394639870760856	0.0378470763970318	0.0467566992907809	0.0311460383253177	0.000228781981674631	14	0.0378470763970318	14	*	0
temp_vcf4_19VR003676.vcf	2316	2280	36	6.34779061692996e-05	6.44801888982885e-05	0	1759.22738202585	517.772617974149	4.94225422144772e-05	0.000116014905095001	0.00343647249989086	0.0676570862673784	0.00341811402524685	0.0869258895779348	0.0600530135076798	6.3462393387571e-05	43	0.00341811402524685	43	*	0
temp_vcf4_19VR003677.vcf	2316	2280	36	0	0	0	1761.83333333334	515.166666666665	0	0	0	0.00388223875768361	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR003678.vcf	2316	2280	36	0.000243717121847073	0.000247565286928869	0	1759.20990473765	517.790095262358	0.00020321670551873	0.000399675495793834	0.00352225759816086	0.067810631125907	0.011746241353557	0.0892742854364134	0.0689074810750278	0.000243445416654032	48	0.011746241353557	48	*	0
temp_vcf4_19VR003752.vcf	2316	2280	36	0	0	0	1761.00000000001	515.999999999998	0	0	0.000567859170925609	0.0329457364341086	0	*	*	0	18	0	18	*	0
temp_vcf4_19VR003890.vcf	2316	2280	36	0	0	0	1758.66666666667	518.333333333331	0	0	0.00284306292645943	0.069453376205788	0	*	*	0	41	0	41	*	0
