file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_18VR001131.vcf	HA	0.377923927740527	0.0471015604665146	0.204204209146043	8.0241145440844	1333.4406795225	418.559320477501	0.00028342012775241	0.000112532580597608	0.00015314082754635	0.0191707940822589	0.0302673433498796	0.075335348240462	0.0470660656960049
temp_vcf4_18VR001132.vcf	HA	0	0.0409169026857495	1	4.02089110741357	1332.83333333333	419.166666666666	0	9.76148771827027e-05	0.000750281355508315	0.00959258315883955	0.00681822301486823	*	0.0409093380892094
temp_vcf4_18VR001736.vcf	HA	0	0	0	8	1333.5	418.499999999999	0	0	0	0.0191158900836321	0	*	*
temp_vcf4_18VR001742.vcf	HA	0	0.040599738482765	1	4.0207240293809	1332.83333333333	419.166666666666	0	9.68582230205131e-05	0.000750281355508315	0.00959218456313538	0.00676484799570731	*	0.0405890879742439
temp_vcf4_18VR002048.vcf	HA	0	0	0	25	1334.33333333333	417.666666666666	0	0	0	0.059856344772546	0	*	*
temp_vcf4_18VR002388.vcf	HA	0.13136567969629	0.206299193890874	0.0668399434191981	4.11077752250998	1332.82137834037	419.178621659633	9.85621042932751e-05	0.000492151038318899	5.01492131694552e-05	0.00980674421380169	0.0306571285386695	0.0328023280499968	0.068673033908459
temp_vcf4_18VR002752.vcf	HA	0.0563572031733759	0.0942489654476797	0.0285907381110565	25.0484126558058	1334.31427284126	417.68572715874	4.22368285496715e-05	0.00022564564532477	2.14272894272322e-05	0.0599695202088776	0.00519250376387675	0.0281741583318528	0.0471171462443601
temp_vcf4_18VR002834.vcf	HA	0	0	0	7	1333.5	418.499999999999	0	0	0	0.0167264038231781	0	*	*
temp_vcf4_18VR002905.vcf	HA	0.393986080838173	0.259039532311691	0.204527186693351	4.13984617978247	1332.79240049214	419.207599507855	0.000295609489289323	0.000617926613486493	0.000153457647731055	0.00987540823363554	0.054366147975784	0.0656052143890332	0.129381244687604
temp_vcf4_18VR003297.vcf	HA	0	0	0	7	1333.5	418.499999999999	0	0	0	0.0167264038231781	0	*	*
temp_vcf4_18VR003323.vcf	HA	0	0.378055826190813	0	7.22076096529306	1333.5	418.499999999999	0	0.000903359202367535	0	0.0172539091165904	0.0419984432242357	*	0.18899299450906
temp_vcf4_18VR003908.vcf	HA	0.463808579993992	0.435026716903252	0.178086126490012	7.23327446031518	1333.28612552491	418.515276344253	0.000347868751586531	0.00103945242023954	0.000133569324003803	0.0172831790597899	0.0528348738273687	0.0772468319553761	0.108677965833253
temp_vcf4_18VR004171.vcf	HA	0.0227495216197247	0.0243658455090156	0.0115055423039147	8.0123332855299	1333.49232963846	418.507670361535	1.70601068443285e-05	5.82207859845598e-05	8.62812784760004e-06	0.0191450094059407	0.0047108680796293	0.0227463296004149	0.0243623511958782
temp_vcf4_18VR004742.vcf	HA	0.194838238890552	0.0205405159554226	0.0991990570570562	8.01037633575964	1333.46795524564	418.53204475436	0.000146113926565757	4.90775227676485e-05	7.43917817198559e-05	0.0191392186958134	0.0143562810361094	0.0324678134516589	0.0205373348316877
temp_vcf4_18VR005254.vcf	HA	0	0	0	4	1332.83333333333	419.166666666666	0	0	0	0.00954274353876742	0	*	*
