file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_18VR002051.vcf	NEP	0	0	1	0	290.333333333333	72.6666666666667	0	0	0.0034443168771527	0	0	*	*
temp_vcf4_18VR002051.vcf	NS1	0.0448410758889253	0.0751434071463692	0.0226723269407183	1.03830375925217	504.3396642281	152.6603357719	8.89104686175244e-05	0.000492226135665297	4.49544791909609e-05	0.0068013983724205	0.0239897352359109	0.0224117951673495	0.0375625429224278
temp_vcf4_18VR002899.vcf	NEP	0	0	1	0	290.333333333333	72.6666666666667	0	0	0.0034443168771527	0	0	*	*
temp_vcf4_18VR002899.vcf	NS1	0	0	0	1	504.333333333334	152.666666666667	0	0	0	0.00655021834061135	0	*	*
temp_vcf4_18VR003450.vcf	NEP	0	0.0344017064135826	1	0.0175036465930402	290.333333333333	72.6666666666667	0	0.000473417978168568	0.0034443168771527	0.000240875870546425	0.0171972689489862	*	0.0343945378979724
temp_vcf4_18VR003450.vcf	NS1	0	0	0	1	504.333333333334	152.666666666667	0	0	0	0.00655021834061135	0	*	*
temp_vcf4_18VR003775.vcf	NEP	0.0820804994025734	0.0471486627284771	0.0428713858424726	0.0241524484821626	290.347623795281	72.6523762047192	0.000282697334766022	0.00064896243167081	0.00014765537007701	0.000332438520855892	0.0646025378328976	0.0820668602368368	0.0471382154289584
temp_vcf4_18VR003775.vcf	NS1	0.127836681139066	0.114863962206331	0.0662941931599628	0.0591729628194465	504.35410665479	152.645893345211	0.000253466125193197	0.000752486422589598	0.000131443746140325	0.000387648573588717	0.0606644886424855	0.0639076095332763	0.0574213677516947
temp_vcf4_18VR003821.vcf	NEP	0.209737043192834	0.103663659497726	0.119022808845664	0.0548313398736729	290.333333333333	72.6666666666667	0.000722400837633183	0.00142656412152834	0.00040995226927324	0.000754559723032196	0.156681243861483	0.209712759640305	0.103649728082661
temp_vcf4_18VR003821.vcf	NS1	0.31340070269056	0	0.173854148719337	0	504.31193617701	152.688063822991	0.000621442167453595	0	0.0003447353438375	0	0.156681243861483	0.156681243861483	*
temp_vcf4_18VR003996.vcf	NEP	0	0	0	0	290.333333333333	72.6666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR003996.vcf	NS1	0	0	0	0	504.333333333334	152.666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR003998.vcf	NEP	0	0	0	0	290.333333333333	72.6666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR003998.vcf	NS1	0	0	0	0	504.333333333334	152.666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR004000.vcf	NEP	0	0	0	0	290.333333333333	72.6666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR004000.vcf	NS1	0.0662983907220508	0	0.0343245539507222	0	504.373378646276	152.626621353724	0.000131447046035605	0	6.80538573285694e-05	0	0.0662927578936123	0.0662927578936123	*
temp_vcf4_18VR004002.vcf	NEP	0	0	0	0	290.333333333333	72.6666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR004002.vcf	NS1	0	0	0	0	504.333333333334	152.666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR004172.vcf	NEP	0	0	0	0	290.333333333333	72.6666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR004172.vcf	NS1	0	0	0	0	504.333333333334	152.666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR004174.vcf	NEP	0.0340100538492519	0.0428887683704224	0.0172884440400364	0.0218978102189781	290.318734793187	72.6812652068127	0.00011714729286582	0.000590093860479499	5.95498738734587e-05	0.000301285484734869	0.0384078498693027	0.0339791074854219	0.0428365922531835
temp_vcf4_18VR004174.vcf	NS1	0.0343696187317254	0.219396584159418	0.0174772036474164	0.120581857213689	504.333333333334	152.666666666667	6.81486161237118e-05	0.0014370955294285	3.46540720041303e-05	0.000789837492666085	0.0845234591409226	0.0343435020001663	0.109613437711301
temp_vcf4_18VR004175.vcf	NEP	0	0	0	0	290.333333333333	72.6666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR004175.vcf	NS1	0	0	0	0	504.333333333334	152.666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR004235.vcf	NEP	0	0	0	0	290.333333333333	72.6666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR004235.vcf	NS1	0	0	0	0	504.333333333334	152.666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR004245.vcf	NEP	0	0	0	0	290.333333333333	72.6666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR004245.vcf	NS1	0	0	0	0	504.333333333334	152.666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR004246.vcf	NEP	0	0	0	0	290.333333333333	72.6666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR004246.vcf	NS1	0	0	0	0	504.333333333334	152.666666666667	0	0	0	0	*	*	*
temp_vcf4_18VR004248.vcf	NEP	0.0409431755140882	0.0338738578387244	0.0208933717579251	0.0172320364148694	290.333333333333	72.6666666666667	0.000141021270427399	0.000466154006954923	7.19633929664469e-05	0.000237138115800955	0.0373919321103762	0.0409136775490204	0.0338701866717319
temp_vcf4_18VR004248.vcf	NS1	0.0338738578387244	0.0463213284236399	0.0172320364148694	0.0237208807573662	504.333333333334	152.666666666667	6.71656136921171e-05	0.000303414815002008	3.4167950591281e-05	0.000155376948192355	0.040093293909327	0.0338701866717319	0.0463164011469221
temp_vcf4_18VR004313.vcf	NEP	0	0	0	0	290.333333333333	72.6666666666667	0	0	0	0	*	*	*
