file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_19VR002740.vcf	PA	0	0	0	2	1691.33333333334	459.666666666666	0	0	0	0.00435097897026832	0	*	*
temp_vcf4_19VR002740.vcf	PA-X	0	0	0	1	595.833333333334	163.166666666667	0	0	0	0.00612870275791624	0	*	*
temp_vcf4_19VR002744.vcf	PA	0	0	0	2	1691.33333333334	459.666666666666	0	0	0	0.00435097897026832	0	*	*
temp_vcf4_19VR002744.vcf	PA-X	0	0	0	1	595.833333333334	163.166666666667	0	0	0	0.00612870275791624	0	*	*
temp_vcf4_19VR003000.vcf	PA	0	0	0	2	1691.33333333334	459.666666666666	0	0	0	0.00435097897026832	0	*	*
temp_vcf4_19VR003000.vcf	PA-X	0	0	0	1	595.833333333334	163.166666666667	0	0	0	0.00612870275791624	0	*	*
temp_vcf4_19VR003002.vcf	PA	0	0	1	9	1692	458.999999999999	0	0	0.000591016548463356	0.019607843137255	0	*	*
temp_vcf4_19VR003002.vcf	PA-X	0	0	0	3	595.833333333334	163.166666666667	0	0	0	0.0183861082737487	0	*	*
temp_vcf4_19VR003004.vcf	PA	0	0	0	2	1691.33333333334	459.666666666666	0	0	0	0.00435097897026832	0	*	*
temp_vcf4_19VR003004.vcf	PA-X	0	0	0	1	595.833333333334	163.166666666667	0	0	0	0.00612870275791624	0	*	*
temp_vcf4_19VR003005.vcf	PA	0.291629132431337	0.0265613465229589	0.154920284150743	1.98656429942418	1691.36860670194	459.631393298059	0.000172421984939164	5.77883645683326e-05	9.15946314344971e-05	0.00432208140782053	0.0635263111188619	0.0970403968475346	0.0265103650517056
temp_vcf4_19VR003005.vcf	PA-X	0.142478676660636	0	0.0770547945205479	1	595.833333333334	163.166666666667	0.00023912505173813	0	0.000129322732062458	0.00612870275791624	0.0711173531619441	0.142234706323888	*
temp_vcf4_19VR003124.vcf	PA	0	0	0	2	1691.33333333334	459.666666666666	0	0	0	0.00435097897026832	0	*	*
temp_vcf4_19VR003124.vcf	PA-X	0	0	0	1	595.833333333334	163.166666666667	0	0	0	0.00612870275791624	0	*	*
temp_vcf4_19VR003216.vcf	PA	0	0	0	2	1691.33333333334	459.666666666666	0	0	0	0.00435097897026832	0	*	*
temp_vcf4_19VR003216.vcf	PA-X	0	0	0	1	595.833333333334	163.166666666667	0	0	0	0.00612870275791624	0	*	*
temp_vcf4_19VR003219.vcf	PA	0	0.0222773943529134	0	2.01126288042176	1691.33333333334	459.666666666666	0	4.84642371709502e-05	0	0.00437548124819818	0.00742401863090943	*	0.0222720558927283
