file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_17VR013816.vcf	NP	0	0	0	0	1154.33333333333	339.666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR013817.vcf	NP	0	0.0403057992666799	0	0.0205690778196778	1154.33333333333	339.666666666667	0	0.000118662804514269	0	6.05566569764802e-05	0.0402919817146516	*	0.0402919817146516
temp_vcf4_17VR013818.vcf	NP	0.0952397552069836	0	0.0488911988911989	0	1154.33333333333	339.666666666667	8.25062851923046e-05	0	4.23544893657513e-05	0	0.0475750006363312	0.0475750006363312	*
temp_vcf4_17VR013863.vcf	NP	0.25846934463874	0	0.152386117136659	0	1154.28253796095	339.717462039045	0.000223922078120776	0	0.000132018039020022	0	0.258329176881343	0.258329176881343	*
temp_vcf4_17VR013864.vcf	NP	0.278849578677833	0.0253928367733243	0.152311081810321	0.012853470437018	1154.38738135323	339.61261864677	0.000241556329514753	7.47700037604766e-05	0.000131941048794015	3.78474465649548e-05	0.0608090694984101	0.0696672075056413	0.0253765174694853
temp_vcf4_17VR014028.vcf	NP	0.0267017945045132	0.0320650999816473	0.0135321734327534	0.0162885398487493	1154.32882260885	339.671177391144	2.31318788732707e-05	9.44004146242974e-05	1.17229797677319e-05	4.79538475235195e-05	0.0293722770332842	0.0266981074298784	0.0320464466366899
temp_vcf4_17VR014029.vcf	NP	0	0	0	0	1154.33333333333	339.666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014030.vcf	NP	0	0	0	0	1154.33333333333	339.666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014031.vcf	NP	0.290510995447896	0.0724926415602237	0.129897994251349	0.0369185559252642	1154.3080929008	339.63571980823	0.000251675438502589	0.000213442336398408	0.000112533209331412	0.000108700451018844	0.040313150427214	0.0414788570747647	0.0362331771607864
temp_vcf4_17VR014077.vcf	NP	0.392691663596191	0.23771282051282	0.168420232780489	0.1376	1154.22643049288	339.65382160796	0.000340220647545303	0.00069986794020883	0.000145916111718712	0.000405118362421438	0.104891387177734	0.0784031686132813	0.23733248
temp_vcf4_17VR014149.vcf	NP	0.230586920266746	0	0.121955182559525	0	1154.29831010507	339.701689894933	0.000199763716405127	0	0.000105653089406693	0	0.0768360941997182	0.0768360941997182	*
temp_vcf4_17VR014170.vcf	NP	0.182020913829933	0	0.0977709280908168	0	1154.32220676866	339.67779323134	0.000157686400523707	0	8.46998589453728e-05	0	0.0909182353883315	0.0909182353883315	*
temp_vcf4_17VR014171.vcf	NP	0.0310536385043	0.0273920645941012	0.0157721796276013	0.0138856746123582	1154.33564761243	339.664352387564	2.69017409005169e-05	8.06445080314057e-05	1.36634259370086e-05	4.08805767068379e-05	0.0292162806303139	0.031046835954792	0.0273857253058358
temp_vcf4_17VR014172.vcf	NP	0.0272265707636979	0.0873618292972968	0.0137931034482759	0.0447619934214609	1154.33793103448	339.662068965517	2.35863086811141e-05	0.000257202193825669	1.19489302720174e-05	0.000131783903801178	0.0381533831749385	0.0272057074910821	0.0436272210168667
temp_vcf4_17VR014174.vcf	NP	0.0469807346561398	0.0305885603142315	0.023772276104796	0.0155313351498638	1154.34014046461	339.659859535386	4.06992124844852e-05	9.00564475180347e-05	2.0593822627729e-05	4.57261425330293e-05	0.0258492369992587	0.0234837427205618	0.0305802255566527
temp_vcf4_17VR014176.vcf	NP	0.0225182744873929	0	0.0113851992409867	0	1154.32764073371	339.672359266287	1.95076975485746e-05	0	9.86305693394821e-06	0	0.0225111529584594	0.0225111529584594	*
temp_vcf4_17VR014177.vcf	NP	0.0557704596561431	0.0512453104658251	0.0282858256297831	0.025954515973633	1154.32390472479	339.67609527521	4.83143937571316e-05	0.000150865224779228	2.45042362148144e-05	7.64096041336213e-05	0.0267487237487221	0.0278805226879631	0.0256169248094811
temp_vcf4_17VR014303.vcf	NP	0	0.43550394179384	0	0.320195195195195	1154.33333333333	339.666666666667	0	0.00128215095719482	0	0.000942674765049643	0.435340464338212	*	0.435340464338212
temp_vcf4_17VR014305.vcf	NP	0	0	0	0	1154.33333333333	339.666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014310.vcf	NP	0	0	0	0	1154.33333333333	339.666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014358.vcf	NP	0.0741409561857718	0.0235476408711972	0.0374991669707884	0.0119047619047619	1154.34095869762	339.659041302382	6.42279524322009e-05	6.93272900403495e-05	3.24853473215546e-05	3.50491535838838e-05	0.024392997970299	0.0246819715945635	0.0235260770975056
temp_vcf4_17VR014360.vcf	NP	0.218370258836339	0	0.113080550360713	0	1154.36729002625	339.632709973753	0.000189168785986109	0	9.79589003757567e-05	0	0.0545773800272303	0.0545773800272303	*
temp_vcf4_17VR014361.vcf	NP	0.043415146685018	0	0.0219266055045872	0	1154.325382263	339.674617737003	3.76108395016878e-05	0	1.89951688159201e-05	0	0.0216843615857251	0.0216843615857251	*
