file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_17VR013816.vcf	1737	1704	33	2.1314901315613e-05	2.17276898974294e-05	0	2649.04401701498	749.955982985019	2.79527130145157e-05	0	1.42424473663027e-05	0.00266682318079453	0.0370171361682445	0.0370171361682445	*	2.13109592217873e-05	2	0.0185085680841223	2	*	0
temp_vcf4_17VR013817.vcf	1737	1704	33	0	0	0	2649	749.999999999999	0	0	0	0.00266666666666667	0	*	*	0	1	0	1	*	0
temp_vcf4_17VR013818.vcf	1737	1704	33	7.61980785460751e-05	7.76737455601716e-05	0	2648.97883074082	750.021169259181	3.12394662856649e-05	0.000242605738947907	1.59479160651975e-05	0.00279062928979637	0.0661000024300543	0.0413533428026998	0.0454233310287044	7.61082353829065e-05	4	0.0330500012150272	4	*	0
temp_vcf4_17VR013863.vcf	1737	1704	33	0.000287432421654287	0.00029299889460886	0	2649	749.999999999999	0.000376949880266891	0	0.00039473519571854	0.00266666666666667	0.498957877441381	0.498957877441381	*	0.000287252664042246	2	0.24947893872069	2	*	0
temp_vcf4_17VR013864.vcf	1737	1704	33	0.000164098938513126	0.000167276910913908	0	2648.87268669	750.127313309996	0.000215215972915242	0	0.000123028498995759	0.00266694474374092	0.189934253934791	0.142450690451093	*	0.000164019217560269	3	0.0949671269673955	3	*	0
temp_vcf4_17VR014028.vcf	1737	1704	33	6.02513210593654e-05	6.14181600235432e-05	0	2648.77845117845	749.889225589225	7.90224978110613e-05	0	0.000755065037285468	0.00266706058942039	0.0697592838221346	0.104638925733202	*	6.02411777393218e-05	3	0.0348796419110673	3	*	0
temp_vcf4_17VR014029.vcf	1737	1704	33	0	0	0	2649	749.999999999999	0	0	0	0.00266666666666667	0	*	*	0	1	0	1	*	0
temp_vcf4_17VR014030.vcf	1737	1704	33	0.000254382456043264	0.000259308876846918	0	2649	749.999999999999	0.000333606890258323	0	0.000247401748447874	0.00266666666666667	0.440614127485716	0.440614127485716	*	0.000253663861534667	2	0.220307063742858	2	*	0
temp_vcf4_17VR014031.vcf	1737	1704	33	6.92980838367289e-05	7.06401241927218e-05	0	2648.957351955	750.042648045002	3.55607161576572e-05	0.000195379186935771	1.79837578848341e-05	0.0027680181822384	0.0601479142604853	0.0235310790896949	0.0732336703415808	6.92549386994649e-05	4	0.0300739571302426	4	*	0
temp_vcf4_17VR014077.vcf	1737	1704	33	9.90161829912492e-05	0.000100933749915376	0	2648.96461382936	750.03538617064	6.90011348829698e-05	0.000214924066337147	3.50313372227523e-05	0.00277861963010279	0.0687320252657924	0.0304334379461587	0.0805297493260049	9.89234675673465e-05	5	0.0343660126328962	5	*	0
