file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_18VR001131.vcf	1155	1076	79	0.000291216372813441	0.000312597500557178	0	836.833333333333	234.166666666667	0.000342422022646572	0.000212689315223276	0.000206375562470493	0.0255154732837168	0.0479094626337786	0.285751972750056	0.0248071328431971	0.000290360379598658	7	0.0479094626337786	7	*	0
temp_vcf4_18VR001132.vcf	1155	1076	79	6.8761130895986e-05	7.3809578238721e-05	0	836.842285298399	234.157714701601	4.20415206353179e-05	0.000188919609312714	2.13946288871149e-05	0.00863787661493966	0.0198484582735221	0.035166758833737	0.0442270742603512	6.8739249432111e-05	4	0.0198484582735221	4	*	0
temp_vcf4_18VR001736.vcf	1155	1076	79	0	0	0	836.833333333333	234.166666666667	0	0	0	0.0298932384341637	0	*	*	0	7	0	7	*	0
temp_vcf4_18VR001742.vcf	1155	1076	79	0	0	0	836.833333333333	234.166666666667	0	0	0	0.00854092526690391	0	*	*	0	2	0	2	*	0
temp_vcf4_18VR002048.vcf	1155	1076	79	2.12522790530768e-05	2.28126229612488e-05	0	838.166666666667	232.833333333333	2.92858011210623e-05	0	0.00240097500720984	0.0300644237652112	0.00245260624534012	0.0245260624534012	*	2.12346861068408e-05	10	0.00245260624534011	10	*	0
temp_vcf4_18VR002388.vcf	1155	1076	79	0.000216213354185814	0.000232087754725478	0	836.833333333333	234.166666666667	0.000254362463700357	0.000157441006596582	0.00014422185441834	0.00862103495555452	0.0622653901404976	0.212247324613555	0.0368142359484351	0.000215637714772286	4	0.0622653901404976	4	*	0
temp_vcf4_18VR002752.vcf	1155	1076	79	9.98149596777057e-05	0.000107143381438429	0	838.150891227872	232.849108772128	9.4787606039625e-05	0.00015391925757103	0.00243457502496024	0.030140725379428	0.0096029602101323	0.0397094545413591	0.0358166134388694	9.97710151702057e-05	12	0.0096029602101323	12	*	0
temp_vcf4_18VR002834.vcf	1155	1076	79	0	0	0	836.833333333333	234.166666666667	0	0	0	0.00854092526690391	0	*	*	0	2	0	2	*	0
temp_vcf4_18VR002905.vcf	1155	1076	79	0.000116597340434601	0.000125157925838257	0	836.807949231797	234.192050768203	0.000113529687459302	0.000169379716912258	5.85314457646471e-05	0.00862632026491256	0.0268871450377	0.0474109010057699	0.0396139231769603	0.000116394567262771	5	0.0268871450377	5	*	0
temp_vcf4_18VR003297.vcf	1155	1076	79	2.74899603579519e-05	2.95082752912959e-05	0	836.833333333333	234.166666666667	0	0.000135591050021784	0	0.00860980369647572	0.0105792577176552	*	0.0317377731529656	2.74785914744291e-05	3	0.0105792577176552	3	*	0
temp_vcf4_18VR003323.vcf	1155	1076	79	3.59852739014644e-05	3.8627315386795e-05	0	836.842175436965	234.157824563035	2.52817571884568e-05	8.7146994595693e-05	1.27715029855262e-05	0.00858524243711414	0.010384536136778	0.0211470094387862	0.0203911351083259	3.59637615126512e-05	4	0.010384536136778	4	*	0
temp_vcf4_18VR003908.vcf	1155	1076	79	6.39699256262594e-05	6.86666023218676e-05	0	836.839728682171	234.16027131783	0	0.000315532877044048	0	0.00443445033258377	0.0368996755002704	*	0.0737993510005408	6.38955419918102e-05	2	0.0368996755002704	2	*	0
temp_vcf4_18VR004171.vcf	1155	1076	79	0.000142680110789309	0.000153155695131647	0	836.79004532766	234.20995467234	0.000164109111698504	0.000117290731656604	8.62595706800119e-05	0.00859880794324678	0.0329504440775644	0.0686436367056149	0.0274649469765924	0.000142642615054391	5	0.0329504440775644	5	*	0
temp_vcf4_18VR004742.vcf	1155	1076	79	0.000234252521039747	0.000197820288314187	0.000730468754111927	836.830240555259	234.169759444741	0.000254358195856822	0	0.000129726612335531	0.0298928436216455	0.0152009074091929	0.0354687839547834	*	0.000234181692501669	14	0.0163702079791308	13	0.0576671511107267	1
temp_vcf4_18VR005254.vcf	1155	1076	79	0	0	0	836.833333333333	234.166666666667	0	0	0	0.0170818505338078	0	*	*	0	4	0	4	*	0
temp_vcf4_18VR005361.vcf	1155	1076	79	1.73143877265842e-05	1.85856113607851e-05	0	837.5	233.5	2.38783496408415e-05	0	0.00120608139427088	0.0214132762312634	0.00249782391690134	0.0199825913352107	*	1.73009448789703e-05	8	0.00285465590503011	7	0	1
temp_vcf4_18VR005582.vcf	1155	1076	79	0	0	0	836.833333333333	234.166666666667	0	0	0	0.0170818505338078	0	*	*	0	4	0	4	*	0
temp_vcf4_18VR005586.vcf	1155	1076	79	0	0	0	836.833333333333	234.166666666667	0	0	0	0.00854092526690391	0	*	*	0	2	0	2	*	0
temp_vcf4_18VR005798.vcf	1155	1076	79	0.00038367557986286	0.000411845069462456	0	836.785477802859	234.214522197141	0.000529580527502898	0	0.000314716141956114	0.0298871305431182	0.0492220650805709	0.221499292862569	*	0.000383548559069383	9	0.0492220650805709	9	*	0
temp_vcf4_18VR005799.vcf	1155	1076	79	0	0	0	836.833333333333	234.166666666667	0	0	0.00119498107946624	0.0384341637010676	0	*	*	0	10	0	10	*	0
