file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_18VR001131.vcf	1530	1408	122	0.000288401857809181	0.000282716264144845	0.000354019201082825	1295.64606072025	402.353939279752	0.000307232439463181	0	0.00295751870270777	0.00248537395157628	0.0568181500667112	0.132575683488993	*	0.000288136847523942	7	0.0662878417444964	6	0.0431223262446525	1
temp_vcf4_18VR001132.vcf	1530	1408	122	0	0	0	1297	401	0	0	0.00385505011565151	0.0149625935162095	0	*	*	0	8	0	8	*	0
temp_vcf4_18VR001736.vcf	1530	1408	122	2.04948330821993e-05	2.22706637896057e-05	0	1295.69321533923	402.306784660767	4.8402035674093e-05	0	0.00233995082415081	0.00248566526374448	0.0156754640144099	0.0313509280288198	*	2.04908026332155e-05	4	0.00783773200720495	4	*	0
temp_vcf4_18VR001742.vcf	1530	1408	122	0	0	0	1297	401	0	0	0.00385505011565151	0.0149625935162095	0	*	*	0	8	0	8	*	0
temp_vcf4_18VR002048.vcf	1530	1408	122	4.73948717275718e-05	5.15015296471483e-05	0	1296.16666666667	401.833333333333	0	0.000180458283890132	0.0115725858300116	0.0299568729064693	0.00302092167484435	*	0.0725021201962643	4.73870066642251e-05	24	0.00302092167484435	24	*	0
temp_vcf4_18VR002388.vcf	1530	1408	122	0.000510093153439179	0.000554291565882063	0	1297.13274269551	400.867257304491	0.000375918849182922	0.00137018937456154	0.00398918347155871	0.0157644435006023	0.0689048619495816	0.0607458974782339	0.136901437354463	0.000508753100856962	15	0.0518928162874101	15	*	0
temp_vcf4_18VR002752.vcf	1530	1408	122	0.000107156223228586	0.000116441066434472	0	1296.1802743305	401.819725669497	0.000110501097631478	0.000151102444401806	0.0116303282537304	0.0299409884202441	0.00784298820190415	0.0716053069035877	0.0303535397211663	0.000107142457554611	26	0.00630492154071364	26	*	0
temp_vcf4_18VR002834.vcf	1530	1408	122	0	0	0	1296	402	0	0	0.00385802469135803	0.00497512437810945	0	*	*	0	5	0	4	0	1
temp_vcf4_18VR002905.vcf	1530	1408	122	0.000351280786900179	0.000381718468719654	0	1297.05535425734	400.944645742661	0.00041436905695132	0.000465255020905831	0.00408105554697362	0.0152239767444969	0.0602634196005386	0.134209361998401	0.186323587212857	0.000350874149015429	12	0.0447364539994672	12	*	0
temp_vcf4_18VR003297.vcf	1530	1408	122	3.64063928437861e-05	3.95609240418982e-05	0	1296.00955476753	401.990445232466	8.59589049264132e-05	0	0.00390223095701489	0.00497524263006655	0.0185617735712675	0.0556853207138026	*	3.63956344534658e-05	6	0.0111370641427605	5	0	1
temp_vcf4_18VR003323.vcf	1530	1408	122	6.31748998466174e-05	6.86488613390089e-05	0	1295.97382514099	401.994076737927	5.85446375236993e-05	5.17054358136579e-05	0.00387950020425515	0.00500131948228967	0.0107373940350594	0.0252851549112137	0.0207810815818936	6.31611413827024e-05	9	0.0120795682894418	8	0	1
temp_vcf4_18VR003908.vcf	1530	1408	122	3.57712068399212e-05	3.88707006144031e-05	0	1296.00661196047	401.993388039532	6.03523466931541e-05	0	0.00385192581925282	0.00497520620862381	0.0130154007624435	0.026030801524887	*	3.57157642560819e-05	6	0.0109290238623611	5	0	1
temp_vcf4_18VR004171.vcf	1530	1408	122	4.61068709014451e-05	5.01019264767123e-05	0	1295.9721203414	401.991988569492	5.44328935568674e-05	0	0.00387641524109257	0.00497522352899892	0.00881629006689735	0.0235101068450596	*	4.60982487158031e-05	8	0.0100757600764541	7	0	1
temp_vcf4_18VR004742.vcf	1530	1408	122	0.000102241353431273	0.00011110033433938	0	1296.32894319982	401.671056800181	5.70036632116216e-05	0.00020547602537682	0.00311477062343572	0.0025939322830441	0.0173788887681292	0.0369429076669993	0.0275080611930547	0.000102228757459583	9	0.0173788887681292	9	*	0
temp_vcf4_18VR005254.vcf	1530	1408	122	0.000168380965754348	0.000182970793752949	0	1296.24439805149	401.755601948504	0.000178408829624193	6.56155919494751e-05	0.00164583386123995	0.00501139636229669	0.064392373670448	0.231213165911934	0.0263563287698581	0.00016834607495542	4	0.064392373670448	4	*	0
temp_vcf4_18VR005361.vcf	1530	1408	122	0.000210783983472988	0.000229047936586414	0	1296.28893967994	401.711060320055	0.000170394648766979	0.000428251178253697	0.00163152150664429	0.00520793712907641	0.0654634687466266	0.0552004779089453	0.085989450421989	0.000210714061620761	6	0.0537320857132941	6	*	0
temp_vcf4_18VR005582.vcf	1530	1408	122	4.58430246646825e-05	1.41220684799028e-05	0.00041193405997755	1296.33333333333	401.666666666667	1.5338549050941e-05	4.95034168125389e-05	0.00155055868403229	0.00749387777776063	0.00795207006327585	0.0198801751581896	0.0198801751581896	4.58308728161243e-05	5	0.00497004378954741	4	0.0502410602504806	1
temp_vcf4_18VR005586.vcf	1530	1408	122	0	0	0	1297	401	0	0	0.00385505011565151	0.0124688279301746	0	*	*	0	7	0	7	*	0
temp_vcf4_18VR005798.vcf	1530	1408	122	0	0	0	1296	402	0	0	0.00308641975308642	0.00497512437810946	0	*	*	0	4	0	4	*	0
temp_vcf4_18VR005799.vcf	1530	1408	122	0	0	0	1295.66666666667	402.333333333333	0	0	0.0023154103421662	0.00248550124275062	0	*	*	0	3	0	3	*	0
temp_vcf4_18VR006000.vcf	1530	1408	122	4.20317654562641e-05	4.56737224063097e-05	0	1296	402	0	0.000159971644646975	0.00308641975308642	0.00505633446769587	0.0106930683045033	*	0.0320792049135099	4.19336011941306e-05	6	0.0106930683045033	6	*	0
temp_vcf4_18VR006054.vcf	1530	1408	122	0.000171176430475135	0.000186008479138463	0	1295.71046497752	402.28953502248	0.000179906922175201	0.000169237654934371	0.00240756589742735	0.00257347041357258	0.0376396534532682	0.0466092365555246	0.0680710448485224	0.000171140951230224	8	0.0327307069227804	8	*	0
temp_vcf4_18VR006201.vcf	1530	1408	122	0	0	0	1296.66666666667	401.333333333333	0	0	0.00308483290488432	0.0174418604651163	0	*	*	0	8	0	8	*	0
temp_vcf4_18VR006202.vcf	1530	1408	122	0	0	0	1296.66666666667	401.333333333333	0	0	0.00308483290488432	0.0174418604651163	0	*	*	0	8	0	8	*	0
