file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_19VR002740.vcf	865	838	27	2.82215506375094e-05	2.91308368752334e-05	0	821.5	231.5	2.97159358508163e-05	0	1.50282154745535e-05	0.00431965442764579	0.0121932632220698	0.0243865264441396	*	2.81925161203926e-05	2	0.0121932632220698	2	*	0
temp_vcf4_19VR002744.vcf	865	838	27	9.43504444981233e-05	9.73903752874423e-05	0	821.436660268714	231.5	9.93541418813457e-05	0	2.49462974686144e-05	0.00431965442764579	0.0271595759846125	0.0407393639769188	*	9.41950612183094e-05	3	0.0271595759846125	3	*	0
temp_vcf4_19VR003000.vcf	865	838	27	0.000118434407296245	0.000122250313020587	0	821.485919614619	231.514080385382	0.00018110983782983	0	9.27613711307125e-05	0.0043193917118794	0.0494993224625315	0.0494993224625315	*	0.000118199937986914	3	0.0340809821195603	3	*	0
temp_vcf4_19VR003002.vcf	865	838	27	0	0	0	820.166666666667	232.833333333333	0	0	0.00243852875431823	0.0171796707229778	0	*	*	0	5	0	5	*	0
temp_vcf4_19VR003004.vcf	865	838	27	0	0	0	821.5	231.5	0	0	0	0.00431965442764579	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003005.vcf	865	838	27	0	0	0	821.5	231.5	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_19VR003124.vcf	865	838	27	0	0	0	821.5	231.5	0	0	0	0.00863930885529157	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR003216.vcf	865	838	27	0	0	0	821.5	231.5	0	0	0	0.00431965442764579	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003219.vcf	865	838	27	0.000608832418755432	0.000628448737736812	0	821.5	231.5	3.14642890829979e-05	0.00216324893624953	1.59216884516375e-05	0.0065156798629294	0.175225577896769	0.0258171787450816	0.499859554945226	0.000607718767272032	3	0.175225577896769	3	*	0
temp_vcf4_19VR003231.vcf	865	838	27	0	0	0	821.5	231.5	0	0	0	0.00431965442764579	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003237.vcf	865	838	27	0	0	0	821.5	231.5	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_19VR003316.vcf	865	838	27	0.000545980904427461	0.000563572174617845	0	821.515962761005	231.484037238996	0.000645921099660367	0	0.000382060493616403	0.00431995230395757	0.132564185218635	0.132564185218635	*	0.00054558829318066	4	0.117983468400318	4	*	0
temp_vcf4_19VR003317.vcf	865	838	27	0	0	0	821.5	231.5	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_19VR003373.vcf	865	838	27	0.000288759947875477	0.000298063669346405	0	821.513621794872	231.486378205128	0.000183596262037779	0.00107901534789641	9.94880268110478e-05	0.00876944313976382	0.132766968446505	0.150101701183432	0.124099602078042	0.000286935496134201	3	0.0827330680520279	3	*	0
temp_vcf4_19VR003464.vcf	865	838	27	9.03614851923908e-05	9.32728934265132e-05	0	819.181606905711	230.81839309429	9.54155757801514e-05	0	0.0122554150954393	0.0476585005111751	0.00372020031952222	0.0390621033549833	*	9.031700197684e-05	21	0.00372020031952222	21	*	0
temp_vcf4_19VR003468.vcf	865	838	27	0.000130307988968114	9.53105048698567e-05	0.00121652619912884	818.510977145832	231.489022854169	9.75798801861514e-05	0.000133678179630389	0.0122658631952979	0.0475908213133558	0.00503399612726782	0.0399107907621825	0.030926333275527	0.00013017266971346	22	0.00380102769163643	21	0.0327777777777778	1
temp_vcf4_19VR003542.vcf	865	838	27	0	0	0	821.5	231.5	0	0	0	0.00431965442764579	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003675.vcf	865	838	27	0	0	0	821.5	231.5	0	0	0	0.00431965442764579	0	*	*	0	1	0	1	*	0
temp_vcf4_19VR003676.vcf	865	838	27	0	0	0	819.166666666667	230.833333333333	0	0	0.0122070761795829	0.047655032907834	0	*	*	0	19	0	19	*	0
