file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_19VR001353.vcf	1002	982	20	0.000124318090823911	0.00012685002750057	0	801.432077294686	245.505422705314	0.000155430173728567	0	0.00254893002882207	0.032585838275363	0.0103769522816791	0.0415078091267164	*	0.000124274877624899	12	0.0113203115800136	11	0	1
temp_vcf4_19VR001544.vcf	1002	982	20	0	0	0	802.666666666666	244.333333333334	0	0	0	0.00818553888130968	0	*	*	0	3	0	2	0	1
temp_vcf4_19VR001555.vcf	1002	982	20	0	0	0	802.666666666666	244.333333333334	0	0	0	0.00818553888130968	0	*	*	0	3	0	2	0	1
temp_vcf4_19VR001605.vcf	1002	982	20	0	0	0	802.666666666666	244.333333333334	0	0	0	0.00818553888130968	0	*	*	0	3	0	2	0	1
temp_vcf4_19VR001607.vcf	1002	982	20	7.82815726341598e-05	7.98759020157109e-05	0	802.666215882044	244.333784117956	9.7721984839281e-05	0	4.95556997744538e-05	0.00818552377936596	0.0130715006439974	0.0261430012879948	*	7.82724589460921e-05	6	0.0156858007727969	5	0	1
temp_vcf4_19VR001934.vcf	1002	982	20	0.000490159955599322	0.000500142846752058	0	802.666666666666	244.333333333334	0	0.00201012391068426	0	0.010832679375581	0.0981970445784495	*	0.245492611446124	0.000490005212467313	5	0.122746305723062	4	0	1
temp_vcf4_19VR003003.vcf	1002	982	20	3.91233501061749e-05	3.99201596806387e-05	0	802.666666666666	244.333333333334	0	0.000320886194868108	0	0.00016338400960698	0.0391233501061747	*	0.0391233501061747	3.90452595870007e-05	2	0.0391233501061747	1	0	1
temp_vcf4_19VR003071.vcf	1002	982	20	5.0033316932872e-05	5.10523254243765e-05	0	802.639540449976	244.327908089995	5.34958268553742e-05	0.000117319592547672	1.35185050441916e-05	5.95158659454177e-05	0.0238636282121785	0.0214655072302588	0.0286598701760181	5.00253267527713e-05	3	0.0250626887031384	2	0	1
temp_vcf4_19VR003123.vcf	1002	982	20	0	0	0	802.666666666666	244.333333333334	0	0	0	0	0	*	*	0	1	*	0	0	1
temp_vcf4_19VR003217.vcf	1002	982	20	2.01598622591033e-05	2.05704500851543e-05	0	803.166666666666	243.833333333334	0	8.28442186614687e-05	0.00249014318323304	0.028666338689805	0.00252180615846484	*	0.0201744492677187	2.01341809059069e-05	8	0.00288206418110268	7	0	1
temp_vcf4_19VR003218.vcf	1002	982	20	0.000132831503630702	0.000135536829570228	0	803.200099105105	243.799900894894	0.000183094707976143	0.00012037203350734	0.00257186215234139	0.0286200996950347	0.0146947475063029	0.0367525339781273	0.029326834163125	0.00013277673680481	12	0.0120947536616745	11	0	1
