file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_18VR001131.vcf	PA	0.145724201975764	0	2.07536369544568	8	1711.32226832642	466.677731673581	8.51529864788555e-05	0	0.00121272523232884	0.0171424506828529	0.0120805981529073	0.072483588917444	*
temp_vcf4_18VR001132.vcf	PA	0	0	1	4	1710.66666666667	467.333333333332	0	0	0.000584567420109117	0.00855920114122685	0	*	*
temp_vcf4_18VR001736.vcf	PA	0	0	2	8	1711.33333333334	466.666666666665	0	0	0.00116867939228671	0.0171428571428572	0	*	*
temp_vcf4_18VR001742.vcf	PA	0	0.0262643492378531	1	4.01330626973387	1710.66666666667	467.333333333332	0	5.62004619925532e-05	0.000584567420109117	0.00858767390099976	0.00437640430654799	*	0.0262584258392879
temp_vcf4_18VR002048.vcf	PA	0.171488096267142	0	5.09236669411443	18	1713.30645763345	464.693542366553	0.000100091898622745	0	0.00297224508284898	0.0387352058053811	0.00685825174690646	0.0857281468363308	*
temp_vcf4_18VR002388.vcf	PA	0.494755901561625	0.0653843360265046	1.26572368804143	6.03319456617003	1710.68936076393	467.310639236078	0.000289214344175664	0.00013991621533246	0.000739891015325077	0.0129104583966516	0.0399300503620357	0.0987479601876491	0.0326404520651273
temp_vcf4_18VR002752.vcf	PA	0.237586433178086	0.0461775734614217	5.10312889363074	17.9908614547575	1713.28394609945	464.661999846499	0.00013867312170816	9.93788462940296e-05	0.00297856575686055	0.0387181681753635	0.00859578938930477	0.0296874420157009	0.0230807568607249
temp_vcf4_18VR002834.vcf	PA	0	0	3	8	1710.33333333334	467.666666666665	0	0	0.00175404404599493	0.0171062009978618	0	*	*
temp_vcf4_18VR002905.vcf	PA	0.35866079695986	0.195501468373341	1.18954436504074	6.0802124301711	1710.64632199373	467.353678006277	0.000209663910270971	0.000418315887033022	0.000695377150581513	0.0130098739269779	0.0460526799608341	0.0894010595148559	0.0975139607352927
temp_vcf4_18VR003297.vcf	PA	0	0	3	8	1710.33333333334	467.666666666665	0	0	0.00175404404599493	0.0171062009978618	0	*	*
temp_vcf4_18VR003323.vcf	PA	0.0776991503971457	0.0670294241352815	3.03973870696578	8.03388643558676	1710.31687807108	467.683121928921	4.54296811271463e-05	0.000143322307332418	0.00177729562629004	0.0171780550951928	0.00904235990570242	0.0388357857888129	0.022335395637871
temp_vcf4_18VR003908.vcf	PA	0.293180968405021	0.0292831695994817	2.15188252253061	8.98516949152542	1710.34032900632	467.659670993689	0.000171416742874417	6.26164097863314e-05	0.00125816042926429	0.0192130518170054	0.0201119895264362	0.0585141406874113	0.0292211289859234
temp_vcf4_18VR004171.vcf	PA	0.116252162477099	0.107034832473333	3.06194398682043	9.05671641791045	1709.64601867107	468.353981328938	6.79977967412598e-05	0.000228534050611945	0.00179098126359545	0.0193373319731634	0.015943799309582	0.116213858634438	0.10699933169971
temp_vcf4_18VR004742.vcf	PA	0.192488426746429	0.0555516578942608	2.09762299885451	8.02816878649096	1711.32007268698	466.679927313025	0.000112479500368508	0.000119035884431771	0.00122573388364515	0.0172027300010829	0.0130502362349245	0.0274891002613167	0.027765393317174
temp_vcf4_18VR005254.vcf	PA	0	0	0	6	1710.66666666667	467.333333333332	0	0	0	0.0128388017118403	0	*	*
temp_vcf4_18VR005361.vcf	PA	0.0569723222093425	0.0777704012788772	2.02927927927928	6.04048140043764	1709.8430930931	468.156906906905	3.33202049003689e-05	0.00016612037573621	0.00118682192972942	0.0129026856409037	0.013452931948082	0.0568440061683306	0.0776853133124891
temp_vcf4_18VR005582.vcf	PA	0.020685668757896	0	0.0104493207941484	6	1710.6805990944	467.319400905606	1.209206953586e-05	0	6.10828274996516e-06	0.0128391844814762	0.00295432356831125	0.0206802649781788	*
temp_vcf4_18VR005586.vcf	PA	0	0	2	6	1711.00000000001	466.999999999998	0	0	0.00116890707188778	0.0128479657387581	0	*	*
temp_vcf4_18VR005798.vcf	PA	0	0	2	9	1711.33333333334	466.666666666665	0	0	0.00116867939228671	0.0192857142857144	0	*	*
temp_vcf4_18VR005799.vcf	PA	0	0	2	8	1711.33333333334	466.666666666665	0	0	0.00116867939228671	0.0171428571428572	0	*	*
temp_vcf4_18VR006000.vcf	PA	0.158372107732752	0.0218565964422317	2.04922265951953	8.98901098901099	1711.37187090034	466.62812909966	9.25410253759948e-05	4.68394318285165e-05	0.00119741518156509	0.0192637572157403	0.0149538865801874	0.0788550668546297	0.0217365052529888
temp_vcf4_18VR006054.vcf	PA	0.238201089936382	0.15077140295503	2.12462087488092	8.07853503488379	1711.25554188812	466.744458111882	0.000139196679926343	0.000323027730345091	0.00124155675343305	0.0173082612861947	0.0228733844372452	0.0595310239922838	0.0502411464880112
temp_vcf4_18VR006201.vcf	PA	0	0	0	5	1710.83333333334	467.166666666665	0	0	0	0.0107028184088477	0	*	*
temp_vcf4_18VR006202.vcf	PA	0	0	0	5	1710.83333333334	467.166666666665	0	0	0	0.0107028184088477	0	*	*
temp_vcf4_18VR006203.vcf	PA	0	0	0	5	1710.83333333334	467.166666666665	0	0	0	0.0107028184088477	0	*	*
temp_vcf4_18VR006427.vcf	PA	0	0	0	5	1710.83333333334	467.166666666665	0	0	0	0.0107028184088477	0	*	*
temp_vcf4_18VR007098.vcf	PA	0	0	1	7	1711.33333333334	466.666666666665	0	0	0.000584339696143356	0.0150000000000001	0	*	*
temp_vcf4_18VR007188.vcf	PA	0	0	1	7	1711.33333333334	466.666666666665	0	0	0.000584339696143356	0.0150000000000001	0	*	*
