file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_18VR001131.vcf	NEP	0	0.0547204424320596	0	0.0281173594132029	258.666666666667	74.3333333333333	0	0.000736149449758649	0	0.000378260440536362	0.0546535470256635	*	0.0546535470256635
temp_vcf4_18VR001131.vcf	NS1	0.247162748293714	0	3.01006446964991	1	609.616801595973	167.298846325787	0.000405439527989786	0	0.00493763370984786	0.00597732753071509	0.0411103482366982	0.0616655223550472	*
temp_vcf4_18VR001132.vcf	NEP	0	0	1	0	258.5	74.5	0	0	0.00386847195357834	0	0	*	*
temp_vcf4_18VR001132.vcf	NS1	0	0	1	0	608	169	0	0	0.00164473684210526	0	0	*	*
temp_vcf4_18VR001736.vcf	NEP	0	0	0	0	258.666666666667	74.3333333333333	0	0	0	0	*	*	*
temp_vcf4_18VR001736.vcf	NS1	0	0	3	1	609.666666666666	167.333333333333	0	0	0.00492072170585019	0.00597609561752988	0	*	*
temp_vcf4_18VR001742.vcf	NEP	0	0	1	0	258.5	74.5	0	0	0.00386847195357834	0	0	*	*
temp_vcf4_18VR001742.vcf	NS1	0	0	1	0	608	169	0	0	0.00164473684210526	0	0	*	*
temp_vcf4_18VR002048.vcf	NEP	0	0	0	1	258.666666666667	74.3333333333333	0	0	0	0.0134529147982063	0	*	*
temp_vcf4_18VR002048.vcf	NS1	0	0	6	3	610.166666666666	166.833333333333	0	0	0.00983337885823546	0.017982017982018	0	*	*
temp_vcf4_18VR002388.vcf	NEP	0	0	0	0	258.666666666667	74.3333333333333	0	0	0	0	*	*	*
temp_vcf4_18VR002388.vcf	NS1	0.448645680462033	0	0.311108142800362	0	608.51279465009	168.48720534991	0.000737282246826076	0	0.00051125982154452	0	0.224190006308301	0.224190006308301	*
temp_vcf4_18VR002752.vcf	NEP	0.0440468724118674	0	0.0222693441632933	1	258.667474331346	74.3325256686543	0.00017028376886475	0	8.60925565568671e-05	0.0134530609716884	0.0146804323040326	0.0220206484560489	*
temp_vcf4_18VR002752.vcf	NS1	0.218747428837888	0.169042385453401	6.11601058473454	3.06914372691312	610.105377945275	166.931059301688	0.000358540404240641	0.00101264789285196	0.0100245151179164	0.0183856961056383	0.024234186281909	0.0546808853577072	0.0725134897704792
temp_vcf4_18VR002834.vcf	NEP	0.0203686341666264	0	1.01028806584362	0	259.003429355281	73.9965706447188	7.86423338769245e-05	0	0.00390067447507726	0	0.0101822215448187	0.0203644430896375	*
temp_vcf4_18VR002834.vcf	NS1	0	0.0203686341666264	3	0.0102880658436214	608.333333333333	171.666666666667	0	0.000118652237863843	0.00493150684931507	5.99304806424547e-05	0.00407288861792749	*	0.0203644430896375
temp_vcf4_18VR002905.vcf	NEP	0.0266451202274775	0.0546220900527559	0.0134961439588689	0.0280830280830281	258.671347171347	74.3286528286528	0.000103007621519934	0.000734872595884043	5.21748701835495e-05	0.000377822374202945	0.0406083696738264	0.0266279961142208	0.054588743233432
temp_vcf4_18VR002905.vcf	NS1	0.0546220900527559	0.0266451202274775	0.0280830280830281	0.0134961439588689	608.333333333333	168.666666666667	8.97897370730234e-05	0.000157975021111527	4.61638817803202e-05	8.00166637877602e-05	0.0406083696738264	0.054588743233432	0.0266279961142208
temp_vcf4_18VR003297.vcf	NEP	0	0	1	0	259	74	0	0	0.00386100386100386	0	0	*	*
temp_vcf4_18VR003297.vcf	NS1	0	0	3	0	608.333333333333	171.666666666667	0	0	0.00493150684931507	0	0	*	*
temp_vcf4_18VR003323.vcf	NEP	0	0	1	0	259	74	0	0	0.00386100386100386	0	0	*	*
temp_vcf4_18VR003323.vcf	NS1	0	0	3	0	608.333333333333	171.666666666667	0	0	0.00493150684931507	0	0	*	*
temp_vcf4_18VR003908.vcf	NEP	0	0	1	0	259	74	0	0	0.00386100386100386	0	0	*	*
temp_vcf4_18VR003908.vcf	NS1	0.113692368491439	0	3	0	608.212372272852	171.606186136426	0.000186928733571429	0	0.00493248762564494	0	0.0227290542808486	0.113645271404243	*
temp_vcf4_18VR004171.vcf	NEP	0	0	1	0	259	74	0	0	0.00386100386100386	0	0	*	*
temp_vcf4_18VR004171.vcf	NS1	0	0	3	0	608.333333333333	171.666666666667	0	0	0.00493150684931507	0	0	*	*
temp_vcf4_18VR004742.vcf	NEP	0	0	1	1	258.833333333333	74.1666666666667	0	0	0.00386349001931745	0.0134831460674157	0	*	*
temp_vcf4_18VR004742.vcf	NS1	0.0441765212089999	0	4	1	608.932216595247	168	7.25475184348207e-05	0	0.00656887563342501	0.00595238095238095	0.00736131941844553	0.0441679165106732	*
temp_vcf4_18VR005254.vcf	NEP	0	0	0	0	258.666666666667	74.3333333333333	0	0	0	0	*	*	*
temp_vcf4_18VR005254.vcf	NS1	0	0.466832584479643	0	0.370953370953371	608.333333333333	168.666666666667	0	0.00276778212142081	0	0.00219932828628481	0.466693935063404	*	0.466693935063404
temp_vcf4_18VR005361.vcf	NEP	0.0517531085471043	0	0	0	258.706489675516	74.3731563421829	0.000200045652554043	0	0	0	0.0516876811026705	*	*
