file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_18VR001131.vcf	PB2	0.501567680979573	0.205372886630018	0.274465729239799	2.88424437299035	1806.98086517456	503.019134825445	0.000277572214872967	0.000408280465714858	0.000151891884706419	0.00573386611622882	0.100679500493939	0.125010994951768	0.2047125236505
temp_vcf4_18VR001132.vcf	PB2	0	0	0	1	1807.00000000001	502.999999999998	0	0	0	0.00198807157057655	0	*	*
temp_vcf4_18VR001736.vcf	PB2	0.161985335589397	0.0264272056815078	0.0888324873096447	3.01338432122371	1807.00000000001	502.999999999998	8.96432405032628e-05	5.25391763051847e-05	4.91602032704174e-05	0.00599082370024597	0.0376585830708466	0.161882553016053	0.0264103623381799
temp_vcf4_18VR001742.vcf	PB2	0.0733843448163108	0.0865041868430676	0.0373822953983605	1.04422731295547	1806.97327298201	503.026727017995	4.06117488916735e-05	0.000171967377073332	2.06877965254402e-05	0.00207588833131348	0.0319674469784049	0.0366799101345409	0.0432387073114715
temp_vcf4_18VR002048.vcf	PB2	0	0	3	17	1807.00000000001	502.999999999998	0	0	0.00166021029330381	0.0337972166998013	0	*	*
temp_vcf4_18VR002388.vcf	PB2	0.255375596650819	0.447310198573357	0.141771659288807	2.24812030075188	1806.92601666399	503.073983336019	0.000141331517890424	0.000889153908550631	7.84601350477818e-05	0.00446876677232241	0.0998423879221439	0.127276386445916	0.148114647521058
temp_vcf4_18VR002752.vcf	PB2	0.0723808827887453	0.183849985887587	3.03757961783439	17.0972661032767	1807.00000000001	502.999999999998	4.00558288814306e-05	0.000365506930194012	0.00168100698275284	0.0339905886745066	0.0111312917915926	0.0723347803156313	0.0918424654454998
temp_vcf4_18VR002834.vcf	PB2	0	0.0263773092195827	1	5.01336302895323	1807.33333333334	502.666666666664	0	5.24747530893557e-05	0.000553301364810031	0.00997353387722795	0.00376698811726414	*	0.026368916820849
temp_vcf4_18VR002905.vcf	PB2	0.289904254029815	0.152827918170878	0.174887892376682	2.08303249097473	1807.00000000001	502.999999999998	0.000160434008870954	0.000303832839305923	9.67835596993254e-05	0.00414121767589411	0.110220106946992	0.288604234953448	0.152276192834521
temp_vcf4_18VR003297.vcf	PB2	0.0478963138593555	0.0561293416595009	1.02420736410506	5.02843593916606	1807.33716965048	502.662830349529	2.65010395755974e-05	0.000111663998749363	0.000566694129520468	0.0100035961196286	0.0103890116132123	0.0239136584575225	0.0280313996085391
temp_vcf4_18VR003323.vcf	PB2	0.202333689560419	0.029372510692855	1.09293262450414	6.01489117983963	1807.29386183154	502.676017686532	0.00011195395161436	5.84322897042835e-05	0.000604734319960864	0.0119657412890354	0.0165373968563183	0.0336974484638703	0.0293388652052342
temp_vcf4_18VR003908.vcf	PB2	0.167704051673517	0.258457562357514	1.09160305343511	5.09853664853665	1807.35286373226	502.647136267745	9.27898779694859e-05	0.000514192847643802	0.000603978932581493	0.0101433715237976	0.0470174175078526	0.166423868072956	0.0855776298325724
temp_vcf4_18VR004171.vcf	PB2	0.195029915792849	0.0299661339672581	1.09891084936621	6.01520387007602	1807.35008075212	502.649919247888	0.000107909318659332	5.96163111138985e-05	0.00060802323859078	0.0119669846542033	0.0149912041271311	0.0278460910122149	0.0299454248214617
temp_vcf4_18VR004742.vcf	PB2	0.0862382295686485	0.0339684291905131	0.0437474287004465	3.01727447216891	1807.00866385562	502.991336144387	4.77243033160903e-05	6.75328315809444e-05	2.42098610679057e-05	0.00599866092187079	0.0171608269994305	0.02872455314521	0.0339521295603833
temp_vcf4_18VR005254.vcf	PB2	0	0.461253802787105	0	3.6394472361809	1807.00000000001	502.999999999998	0	0.000917005572141367	0	0.00723548158286465	0.115277234160754	*	0.461108936643014
temp_vcf4_18VR005361.vcf	PB2	0.202733164574158	0	0.104391424231512	4	1806.98054718228	503.019452817728	0.000112194436675199	0	5.7771194268967e-05	0.00795197875070931	0.0253052982430421	0.0506105964860843	*
temp_vcf4_18VR005582.vcf	PB2	0.171459628946654	0.0202801515983872	0.0758026473281599	4.01024042742654	1806.96197909098	503.005053876061	9.48883434907189e-05	4.03179877460718e-05	4.19503277906787e-05	0.00797256488085833	0.015970348794365	0.0244818661981521	0.0202711221453158
temp_vcf4_18VR005586.vcf	PB2	0	0	0	2	1807.00000000001	502.999999999998	0	0	0	0.0039761431411531	0	*	*
temp_vcf4_18VR005798.vcf	PB2	0	0	0	4	1807.00000000001	502.999999999998	0	0	0	0.0079522862823062	0	*	*
temp_vcf4_18VR005799.vcf	PB2	0	0	0	4	1807.00000000001	502.999999999998	0	0	0	0.0079522862823062	0	*	*
temp_vcf4_18VR006000.vcf	PB2	0	0	0	4	1807.00000000001	502.999999999998	0	0	0	0.0079522862823062	0	*	*
temp_vcf4_18VR006054.vcf	PB2	0.301895870601761	0	0.155303159024727	4	1806.97103390109	503.028966098917	0.000167072888794457	0	8.59466787851276e-05	0.00795182836292856	0.0274334147929024	0.043109651817418	*
temp_vcf4_18VR006201.vcf	PB2	0	0	1	4	1807.50000000001	502.499999999998	0	0	0.000553250345781464	0.00796019900497516	0	*	*
temp_vcf4_18VR006202.vcf	PB2	0.06504389004389	0	1.03363363363363	4	1807.48318318319	502.516816816815	3.59858894672204e-05	0	0.000571863485785402	0.00795993261546537	0.010834137440744	0.0650048246444641	*
temp_vcf4_18VR006203.vcf	PB2	0	0	1	4	1807.50000000001	502.499999999998	0	0	0.000553250345781464	0.00796019900497516	0	*	*
temp_vcf4_18VR006427.vcf	PB2	0	0	1	4	1807.50000000001	502.499999999998	0	0	0.000553250345781464	0.00796019900497516	0	*	*
temp_vcf4_18VR007098.vcf	PB2	0	0	0	4	1807.00000000001	502.999999999998	0	0	0	0.0079522862823062	0	*	*
temp_vcf4_18VR007188.vcf	PB2	0	0	0	3	1807.00000000001	502.999999999998	0	0	0	0.00596421471172965	0	*	*
