file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_18VR001131.vcf	1064	1024	40	0.000232295816065521	0.00024136987138058	0	868.28346826264	241.63217965912	0.000284656747857086	0.000226461734150045	0.00346668407227975	0.00425488592150105	0.0502192727409754	0.0616655223550472	0.0546535470256635	0.000231825272011456	6	0.0411103482366981	6	*	0
temp_vcf4_18VR001132.vcf	1064	1024	40	0	0	0	866.5	243.5	0	0	0.00230813618003462	0	0	*	*	0	1	0	1	*	0
temp_vcf4_18VR001736.vcf	1064	1024	40	0	0	0	868.333333333333	241.666666666667	0	0	0.00345489443378119	0.00413793103448276	0	*	*	0	4	0	4	*	0
temp_vcf4_18VR001742.vcf	1064	1024	40	0	0	0	866.5	243.5	0	0	0.00230813618003462	0	0	*	*	0	1	0	1	*	0
temp_vcf4_18VR002048.vcf	1064	1024	40	6.43096508292292e-05	0	0.0017106367120575	868.833333333333	241.166666666667	0	0	0.00690581239209669	0.0165860400829302	0	*	*	6.42123617824841e-05	12	0	10	0.0341609764682815	2
temp_vcf4_18VR002388.vcf	1064	1024	40	0.000421659474118452	0.000438130547326204	0	867.179461316757	242.820538683243	0.000517361976932426	0	0.000358758661474713	0	0.224190006308301	0.224190006308301	*	0.0004214097862938	2	0.224190006308301	2	*	0
temp_vcf4_18VR002752.vcf	1064	1024	40	0.000443749842072615	0.000399051295173514	0.0015880326426896	868.772852276621	241.263584970342	0.000302489080501425	0.000700654371334905	0.00706546010595572	0.0168659672673492	0.022725698811718	0.0437941397238211	0.0725134897704792	0.000443660517744042	19	0.0226990617328978	18	0.0634716796875001	1
temp_vcf4_18VR002834.vcf	1064	1024	40	1.91434531641226e-05	1.98912443033461e-05	0	867.336762688614	245.663237311386	2.34841125648666e-05	8.29128297320636e-05	0.00462368048762551	4.18787359322346e-05	0.00678814769654582	0.0203644430896375	0.0203644430896375	1.91395141819901e-05	6	0.00339407384827291	6	*	0
temp_vcf4_18VR002905.vcf	1064	1024	40	0.000147216020995804	7.93625100392904e-05	0.00188426590148254	867.00468050468	242.99531949532	9.37333005318127e-05	0.000334439405866	4.79572636420993e-05	0.000171110999702601	0.0541444928984352	0.0406083696738264	0.0406083696738264	0.000146823039255302	3	0.0406083696738264	2	0.0750029744199882	1
temp_vcf4_18VR003297.vcf	1064	1024	40	0	0	0	867.333333333333	245.666666666667	0	0	0.00461183704842429	0	0	*	*	0	5	0	5	*	0
temp_vcf4_18VR003323.vcf	1064	1024	40	0	0	0	867.333333333333	245.666666666667	0	0	0.00461183704842429	0	0	*	*	0	5	0	5	*	0
temp_vcf4_18VR003908.vcf	1064	1024	40	0.000106853729785187	0.000111027703604921	0	867.212372272852	245.606186136426	0.000131100953038142	0	0.00461248031957445	0	0.0189408785673738	0.113645271404243	*	0.000106809465605492	6	0.0189408785673738	6	*	0
temp_vcf4_18VR004171.vcf	1064	1024	40	0	0	0	867.333333333333	245.666666666667	0	0	0.00461183704842429	0	0	*	*	0	5	0	5	*	0
temp_vcf4_18VR004742.vcf	1064	1024	40	6.24024193093688e-05	4.3141133993164e-05	0.000555491323404211	867.76554992858	242.166666666667	5.09083602277548e-05	0	0.00576192498124812	0.00825877494838266	0.00552098956383415	0.0441679165106732	*	6.23747969834585e-05	8	0.0063097023586676	7	0.0221988674797267	1
temp_vcf4_18VR005254.vcf	1064	1024	40	0.000438752429022221	0.000455891195780902	0	867	243	0	0.00192112174682981	0	0.00152655708211264	0.466693935063404	*	0.466693935063404	0.000438622119420492	1	0.466693935063404	1	*	0
temp_vcf4_18VR005361.vcf	1064	1024	40	0.000341377168478417	0.000354712214122106	0	867.681353152104	242.477938883294	0.000404651954968434	0.000263403179108289	0.00130185467706853	0.000136162391822572	0.0691239375685872	0.082505224381867	0.0638525900605813	0.000341217992771478	6	0.0605093240514755	6	*	0
temp_vcf4_18VR005582.vcf	1064	1024	40	0	0	0	867	243	0	0	0	0.00411522633744856	0	*	*	0	1	0	1	*	0
temp_vcf4_18VR005586.vcf	1064	1024	40	0	0	0	867	243	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_18VR005798.vcf	1064	1024	40	0	0	0	867.666666666666	242.333333333333	0	0	0.00576258163657319	0.00412654745529574	0	*	*	0	5	0	5	*	0
temp_vcf4_18VR005799.vcf	1064	1024	40	1.89071300041492e-05	1.96456897699362e-05	0	868.338413295704	241.661586704296	2.31674494832742e-05	0	0.00461819938325783	0.00413801801783098	0.00335223355684981	0.0201134013410988	*	1.89035726890027e-05	6	0.00335223355684981	6	*	0
