file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_18VR001131.vcf	BM2	0.286550162618073	0.0276461638774179	0.172701949860724	2.98604651162791	261.166666666667	65.8333333333333	0.00109719270945018	0.000419941729783563	0.000661271026907687	0.0453576685310568	0.0783173874546855	0.285751972750056	0.0275175770686857
temp_vcf4_18VR001131.vcf	M1	0	0.0221585841040326	0	2.98882681564246	575.666666666667	168.333333333333	0	0.000131635153093263	0	0.0177554068255988	0.00736556287256951	*	0.0220966886177085
temp_vcf4_18VR001132.vcf	BM2	0	0	0	1	261.166666666667	65.8333333333333	0	0	0	0.0151898734177215	0	*	*
temp_vcf4_18VR001132.vcf	M1	0.0351821222058793	0.0442369839789845	0.0179039301310044	1.02262544802867	575.675618631732	168.324381368268	6.11144906388432e-05	0.000262807940355359	3.11007267835287e-05	0.00607532574732193	0.0264646110313627	0.035166758833737	0.0442270742603512
temp_vcf4_18VR001736.vcf	BM2	0	0	0	3	261.166666666667	65.8333333333333	0	0	0	0.0455696202531646	0	*	*
temp_vcf4_18VR001736.vcf	M1	0	0	0	4	575.666666666667	168.333333333333	0	0	0	0.0237623762376237	0	*	*
temp_vcf4_18VR001742.vcf	BM2	0	0	0	1	261.166666666667	65.8333333333333	0	0	0	0.0151898734177215	0	*	*
temp_vcf4_18VR001742.vcf	M1	0	0	0	1	575.666666666667	168.333333333333	0	0	0	0.00594059405940594	0	*	*
temp_vcf4_18VR002048.vcf	BM2	0	0	2	3	262.5	64.5	0	0	0.00761904761904762	0.0465116279069767	0	*	*
temp_vcf4_18VR002048.vcf	M1	0.0245463823063037	0	0.0124172185430464	4	575.666666666667	168.333333333333	4.26399229408866e-05	0	2.15701538095768e-05	0.0237623762376237	0.00490521249068023	0.0245260624534012	*
temp_vcf4_18VR002388.vcf	BM2	0	0.0368674357113663	0	1.01875901875902	261.166666666667	65.8333333333333	0	0.000560011681691641	0	0.0154748205381117	0.0184071179742176	*	0.0368142359484351
temp_vcf4_18VR002388.vcf	M1	0.212858988373249	0	0.120689655172414	1	575.666666666667	168.333333333333	0.000369760836780397	0	0.00020965197771699	0.00594059405940594	0.106123662306778	0.212247324613555	*
temp_vcf4_18VR002752.vcf	BM2	0	0.0358399619482819	2	3.01824104234528	262.5	64.5	0	0.000555658324779565	0.00761904761904762	0.046794434765043	0.00596943557314491	*	0.0358166134388694
temp_vcf4_18VR002752.vcf	M1	0.0794463164794682	0	0.0405412269315424	4	575.650891227872	168.349108772128	0.000138011280257046	0	7.04267596026254e-05	0.0237601495438522	0.0132364848471197	0.0397094545413591	*
temp_vcf4_18VR002834.vcf	BM2	0	0	0	0	261.166666666667	65.8333333333333	0	0	0	0	*	*	*
temp_vcf4_18VR002834.vcf	M1	0	0	0	2	575.666666666667	168.333333333333	0	0	0	0.0118811881188119	0	*	*
temp_vcf4_18VR002905.vcf	BM2	0.0950025449397451	0	0.0489795790958865	1	261.14128256513	65.8587174348697	0.000363797496920277	0	0.000187559694180757	0.0151840187441995	0.03160726733718	0.0474109010057699	*
temp_vcf4_18VR002905.vcf	M1	0	0.0396673832622194	0	1.02021563342318	575.666666666667	168.333333333333	0	0.000235647821359719	0	0.00606068693122681	0.0198069615884802	*	0.0396139231769603
temp_vcf4_18VR003297.vcf	BM2	0	0	0	0	261.166666666667	65.8333333333333	0	0	0	0	*	*	*
temp_vcf4_18VR003297.vcf	M1	0	0.0317509042134344	0	2.01612903225806	575.666666666667	168.333333333333	0	0.000188619232951095	0	0.0119770041520281	0.0105792577176552	*	0.0317377731529656
temp_vcf4_18VR003323.vcf	BM2	0	0	0	0	261.166666666667	65.8333333333333	0	0	0	0	*	*	*
temp_vcf4_18VR003323.vcf	M1	0.0211568406844573	0.0204061506717341	0.0106877323420074	2.0103016924209	575.675508770298	168.324491229702	3.67513301541184e-05	0.000121231025400143	1.85655498265638e-05	0.0119430136264459	0.010384536136778	0.0211470094387862	0.0203911351083259
temp_vcf4_18VR003908.vcf	BM2	0	0	0	0	261.166666666667	65.8333333333333	0	0	0	0	*	*	*
temp_vcf4_18VR003908.vcf	M1	0	0.0738852640983296	0	1.03837209302326	575.673062015504	168.326937984496	0	0.000438939037227273	0	0.00616878145266859	0.0368996755002704	*	0.0737993510005408
