file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_18VR002051.vcf	PB1	0.0909061700447049	0	1.04666395252901	0	1713.96044084321	473.03955915679	5.30386628993502e-05	0	0.000610669842539707	0	0.0302725029917826	0.0454087544876739	*
temp_vcf4_18VR002051.vcf	PB1-F2	0	0	0	0	208.5	52.5	0	0	0	0	*	*	*
temp_vcf4_18VR002899.vcf	PB1	0.111238328816382	0.19430266819064	4.05708860759494	5.09969130259568	1715.67483502802	471.325164971984	6.48364868128202e-05	0.000412247600236218	0.00236471884110177	0.0108199003184963	0.0203021862255748	0.0554047446100162	0.0484308260408974
temp_vcf4_18VR002899.vcf	PB1-F2	0.0655081169992133	0	1.0337552742616	0	207.833333333333	53.1666666666667	0.000315195430629735	0	0.00497396282724108	0	0.0326158557211274	0.0652317114422547	*
temp_vcf4_18VR003450.vcf	PB1	0	0.174020996950314	4	5.09621353196772	1715.66666666667	471.333333333331	0	0.000369210035962479	0.00233145521663104	0.0108123342262399	0.0173912976468036	*	0.173912976468036
temp_vcf4_18VR003450.vcf	PB1-F2	0	0	1	0	207.833333333333	53.1666666666667	0	0	0.00481154771451484	0	0	*	*
temp_vcf4_18VR003775.vcf	PB1	0.118429099026252	0.0384473789515806	0.0608587097774943	2.01959183673469	1714.30784547989	472.69215452011	6.90827492497998e-05	8.13370363436929e-05	3.55004557308421e-05	0.00427253090076149	0.0261161301355718	0.0394269291591069	0.0384159933361099
temp_vcf4_18VR003775.vcf	PB1-F2	0	0	1	0	208.833333333333	52.1666666666667	0	0	0.00478850758180367	0	0	*	*
temp_vcf4_18VR003821.vcf	PB1	0.257809253804885	0.0393942958941867	0.151761517615176	2.02006688963211	1714.33333333334	472.666666666665	0.000150384554037459	8.33447726957408e-05	8.85250929118271e-05	0.00427376633913706	0.0741970844794573	0.25745991877263	0.0393284191451997
temp_vcf4_18VR003821.vcf	PB1-F2	0	0	1	0	208.833333333333	52.1666666666667	0	0	0.00478850758180367	0	0	*	*
temp_vcf4_18VR003996.vcf	PB1	0.0916417900068664	0.027299844887245	0.0306711523608802	1.98620689655172	1714.36205593349	472.685563114133	5.34553303310055e-05	5.77547676882472e-05	1.78907088235684e-05	0.00420196225894071	0.0237492989093972	0.0301493302878409	0.0272057074910821
temp_vcf4_18VR003996.vcf	PB1-F2	0	0	1	0	208.833333333333	52.1666666666667	0	0	0.00478850758180367	0	0	*	*
temp_vcf4_18VR003998.vcf	PB1	0.348587130512982	0.168728995765354	0.165450099867035	2.09023711943794	1714.33365303784	472.633687553147	0.000203336806633457	0.00035699739609945	9.65098594278039e-05	0.00442253096739512	0.028701994369781	0.0248637590737409	0.0842716358118428
temp_vcf4_18VR003998.vcf	PB1-F2	0.0283060109289617	0.0204221894943544	1.01434426229508	0.0103092783505155	208.81689763957	52.1831023604304	0.000135554216392103	0.000391356369602131	0.0048575774937807	0.000197559705808768	0.0162276677097993	0.0282770088685838	0.0204059942608141
temp_vcf4_18VR004000.vcf	PB1	0.0724222829835152	0.0635600983321542	0.0370033199985922	2.03209617817636	1714.35183499334	472.648165006665	4.22447023447767e-05	0.000134476557909112	2.15844374785156e-05	0.00429938446528764	0.0194087145050978	0.0361784132994738	0.0211680583122457
temp_vcf4_18VR004000.vcf	PB1-F2	0	0	1	0	208.833333333333	52.1666666666667	0	0	0.00478850758180367	0	0	*	*
temp_vcf4_18VR004002.vcf	PB1	0.110608889622804	0.0690201891695929	0.0562895015413428	2.03506183775681	1714.35143467144	472.648565328559	6.45193788075325e-05	0.000146028559552728	3.28342838014019e-05	0.004305655379155	0.0256206050321814	0.036817563542048	0.0344457722995629
temp_vcf4_18VR004002.vcf	PB1-F2	0	0.0410087944427335	1	0.0209150326797386	208.833333333333	52.1666666666667	0	0.000786111075579555	0.00478850758180367	0.000400927144020547	0.0204775940877441	*	0.0409551881754882
temp_vcf4_18VR004172.vcf	PB1	0.121119982456879	0.149186763230281	0.0619040578914853	2.07739311217572	1714.33725490197	472.662745098037	7.06511989461518e-05	0.000315630467553217	3.61096147881504e-05	0.00439508536206897	0.0337147276196043	0.0403383690854996	0.0495675712334453
temp_vcf4_18VR004172.vcf	PB1-F2	0	0	1	0	208.833333333333	52.1666666666667	0	0	0.00478850758180367	0	0	*	*
