file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_17VR013816.vcf	1002	982	20	0	0	0	807	240	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR013817.vcf	1002	982	20	0	0	0	807	240	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR013818.vcf	1002	982	20	7.59167441114728e-05	7.74629099793236e-05	0	806.98167470827	240.01832529173	6.6795354194839e-05	9.23510768682807e-05	3.38499641028789e-05	4.66874623635654e-05	0.0253489514611973	0.0269431516595954	0.0221605510644012	7.58950642550817e-05	3	0.0253489514611973	3	*	0
temp_vcf4_17VR013863.vcf	1002	982	20	0.000118036756976552	0.00012044076424695	0	806.993609943977	240.006390056023	0.00011958452317235	9.07012702334292e-05	6.17417029656971e-05	4.58321130426251e-05	0.0394015181411701	0.0482232772117551	0.0217579999999999	0.000117968617189132	3	0.0394015181411701	3	*	0
temp_vcf4_17VR013864.vcf	1002	982	20	0.000357764454654616	0.000365050899759598	0	807.000160282265	239.999839717735	0.000129820800572282	0.00105714477556534	6.68025977294224e-05	0.000568598854344057	0.0896046700976179	0.0523715416842094	0.126837798511026	0.000357703273842786	4	0.0896046700976179	4	*	0
temp_vcf4_17VR014028.vcf	1002	982	20	6.25548193363677e-05	6.38288482434221e-05	0	807.677928357829	239.322071642171	4.11271955592957e-05	0.000123107746244954	0.00125903222192935	6.24817883508679e-05	0.0208912331064114	0.0332143578920352	0.0294593414271989	6.25486021150041e-05	3	0.0208912331064114	3	*	0
temp_vcf4_17VR014029.vcf	1002	982	20	0	0	0	807	240	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR014030.vcf	1002	982	20	7.97205920082409e-05	8.13442293200177e-05	0	807.008680555555	239.991319444445	6.29236010372439e-05	0.000121254972932983	3.22693761469074e-05	6.1470435476186e-05	0.0398982367329779	0.0507269965277777	0.0290694769381781	7.96371990678201e-05	2	0.0398982367329779	2	*	0
temp_vcf4_17VR014031.vcf	1002	982	20	4.78146539497214e-05	4.87884758224245e-05	0	807.023947459926	239.976052540074	5.93666190556259e-05	0	3.00435307382435e-05	0	0.0239515175191076	0.0239515175191076	*	4.78074201978197e-05	2	0.0239515175191076	2	*	0
temp_vcf4_17VR014077.vcf	1002	982	20	4.04747949092877e-05	4.12991288178271e-05	0	807	240	0	0.000168982268746276	0	8.62418831168831e-05	0.0405392851872155	*	0.0405392851872155	4.04583684503149e-05	1	0.0405392851872155	1	*	0
temp_vcf4_17VR014149.vcf	1002	982	20	2.30196123774986e-05	2.34884435868163e-05	0	807	240	2.85819722456674e-05	0	1.44574701177409e-05	0	0.0230621106670981	0.0230621106670981	*	2.30160785100779e-05	1	0.0230621106670981	1	*	0
temp_vcf4_17VR014170.vcf	1002	982	20	0.000147014645614554	0.000150008833916276	0	806.946630705733	240.053369294267	0.000182550703231701	0	9.9205992507846e-05	0	0.147290615732692	0.147290615732692	*	0.000146996622487716	1	0.147290615732692	1	*	0
temp_vcf4_17VR014171.vcf	1002	982	20	4.55490333875499e-05	4.647671227528e-05	0	807	240	5.65553053956939e-05	0	2.89454265126917e-05	0	0.0456266364420677	0.0456266364420677	*	4.55355653114447e-05	1	0.0456266364420676	1	*	0
temp_vcf4_17VR014172.vcf	1002	982	20	0.000146627537452685	0.000149613841677791	0	807	240	0.000182057983305565	0	9.34791470807604e-05	0	0.0489557218763648	0.0489557218763648	*	0.000146574017593907	3	0.0489557218763648	3	*	0
temp_vcf4_17VR014174.vcf	1002	982	20	7.15911635403466e-05	7.30492320442233e-05	0	807	240	0	0.000398853048655395	0	0.000201827892047349	0.0318996717160832	*	0.0239247537870624	7.15748728525869e-05	3	0.023906007532764	3	*	0
temp_vcf4_17VR014176.vcf	1002	982	20	0	0	0	807	240	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR014177.vcf	1002	982	20	7.94818074252009e-05	8.11005815071805e-05	0	807.010553294135	239.989446705865	0.000104662220112611	0.000109796753698448	5.30875699619072e-05	5.56336906512644e-05	0.0369261642484999	0.0281440068340117	0.0263464722434645	7.94608626909521e-05	3	0.026539928138778	3	*	0
temp_vcf4_17VR014303.vcf	1002	982	20	0	0	0	807	240	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR014305.vcf	1002	982	20	0	0	0	807	240	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR014310.vcf	1002	982	20	0.000346824909113926	0.000353888552884067	0	807	240	0.000430630184550377	0	0.000277398617026933	0	0.347494156252642	0.347494156252642	*	0.000346800555142357	1	0.347494156252642	1	*	0
temp_vcf4_17VR014358.vcf	1002	982	20	0.000122658359996696	0.000125156493601517	0	807.013700231196	239.986299768804	0.000118157061812936	0.000114795340738729	5.97786565461616e-05	5.81879608740567e-05	0.024571631743736	0.0238298839937052	0.0275386227438594	0.000122612932852974	5	0.024571631743736	5	*	0
temp_vcf4_17VR014360.vcf	1002	982	20	5.97216371574687e-05	6.09379637798204e-05	0	807	240	7.41525160245151e-05	0	3.76505731823304e-05	0	0.0299143396267055	0.0299143396267055	*	5.97092607319472e-05	2	0.0299143396267055	2	*	0
temp_vcf4_17VR014361.vcf	1002	982	20	0.000116069325763933	0.0001184332631522	0	807.028828292323	239.971171707677	0.000171587862253216	0	8.79701348330235e-05	0	0.0461287422004029	0.0345965566503021	*	0.000116001917110383	3	0.0387446403148678	3	*	0
temp_vcf4_17VR014363.vcf	1002	982	20	2.01103053743854e-05	2.05198838952486e-05	0	807	240	0	8.39605249380588e-05	0.00123915737298637	4.24057381021614e-05	0.0100737981389769	*	0.0201475962779538	2.0107381514924e-05	2	0.0100737981389769	2	*	0
temp_vcf4_17VR014364.vcf	1002	982	20	0.000218334346677571	0.000222781074715811	0	807	240	0.000243331992153828	0.000186684147523228	0.000136653161622731	9.43396226415093e-05	0.120502811676675	0.196235242434873	0.0223851904592383	0.000218184064764582	2	0.109310216447055	2	*	0
temp_vcf4_17VR014365.vcf	1002	982	20	0	0	0	807	240	0	0	0.00123915737298637	0	0	*	*	0	1	0	1	*	0
temp_vcf4_17VR014366.vcf	1002	982	20	7.84806918252138e-05	8.00790765874381e-05	0	806.994301994302	240.005698005698	9.74451158013498e-05	0	4.97235811373073e-05	0	0.0393039392077669	0.0393039392077669	*	7.84509764626085e-05	2	0.0393039392077669	2	*	0
temp_vcf4_17VR014367.vcf	1002	982	20	9.06541997993521e-05	9.25005175142065e-05	0	806.989012581898	240.010987418102	0.000112561022247787	0	5.78552314463504e-05	0	0.0454136150768668	0.0454136150768668	*	9.06459382771792e-05	2	0.0454136150768668	2	*	0
temp_vcf4_17VR014370.vcf	1002	982	20	0	0	0	807	240	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR014371.vcf	1002	982	20	2.02720375098425e-05	2.06849099642181e-05	0	807	240	0	8.46357566035925e-05	0	4.27479380406357e-05	0.0203084953684904	*	0.0203084953684904	2.02679594495913e-05	1	0.0203084953684904	1	*	0
temp_vcf4_17VR014380.vcf	1002	982	20	8.40889462314658e-05	8.58015520610273e-05	0	807	240	0	0.00035107135051637	0	0.000183602617171852	0.0842458733395617	*	0.0842458733395617	8.40777179037542e-05	1	0.0842458733395617	1	*	0
temp_vcf4_17VR014484.vcf	1002	982	20	2.2808548143803e-05	2.32730806925567e-05	0	807.007704902244	239.992295097756	2.83196369765256e-05	0	1.43212429024815e-05	0	0.0228475618985016	0.0228475618985016	*	2.28019579825365e-05	1	0.0228475618985016	1	*	0
temp_vcf4_17VR014490.vcf	1002	982	20	0	0	0	807	240	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR014505.vcf	1002	982	20	0	0	0	807	240	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR014509.vcf	1002	982	20	0	0	0	807	240	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR014538.vcf	1002	982	20	0	0	0	807	240	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR014540.vcf	1002	982	20	0	0	0	807	240	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR014542.vcf	1002	982	20	6.38657298570913e-05	3.76072443716937e-05	0.00135315736719011	807.012541497602	239.987458502398	0	0.000153884349638355	0	7.83884563007411e-05	0.0184583457887937	*	0.0369166915775874	6.3811024866567e-05	2	0.0369166915775873	1	0.0270219553387128	1
