file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_19VR002740.vcf	PB2	0	0	0	2	1762.16666666667	514.833333333331	0	0	0	0.00388475234703789	0	*	*
temp_vcf4_19VR002744.vcf	PB2	0	0	0	2	1762.16666666667	514.833333333331	0	0	0	0.00388475234703789	0	*	*
temp_vcf4_19VR003000.vcf	PB2	0	0	0	2	1762.16666666667	514.833333333331	0	0	0	0.00388475234703789	0	*	*
temp_vcf4_19VR003002.vcf	PB2	0	0.0600582082305698	1	15.0304882409299	1761.00000000001	515.999999999998	0	0.000116391876415833	0.000567859170925609	0.0291288531800969	0.00333542848866799	*	0.0300188563980119
temp_vcf4_19VR003004.vcf	PB2	0	0.0215482136065844	0	2.01089015151515	1762.17392676768	514.826073232321	0	4.1855326928752e-05	0	0.00390596019912091	0.00718103741008573	*	0.0215431122302572
temp_vcf4_19VR003005.vcf	PB2	0.360928949630749	0.651625458237766	0.107098245721871	2.2819377216676	1761.87993877187	514.879743405315	0.000204854452161103	0.00126558767670299	6.07863472221181e-05	0.00443198193538418	0.0481343120467052	0.0600295364095118	0.0464745238945527
temp_vcf4_19VR003124.vcf	PB2	0.0269960904091102	0	0.0136785539814362	2	1762.15754763068	514.842452369319	1.5319907374575e-05	0	7.76238991787528e-06	0.00388468353919912	0.00899430076160882	0.0269829022848265	*
temp_vcf4_19VR003216.vcf	PB2	0.152547965647845	0	0.0831735378715245	2	1762.11121764142	514.888782358579	8.65711336041716e-05	0	4.7201071668366e-05	0.00388433399313633	0.0508371336463057	0.152511400938917	*
temp_vcf4_19VR003219.vcf	PB2	0	0	0	2	1762.16666666667	514.833333333331	0	0	0	0.00388475234703789	0	*	*
temp_vcf4_19VR003231.vcf	PB2	0.24467759034247	0	0.132351053726851	2	1762.25247584382	514.747524156179	0.000138843663831603	0	7.51033438971205e-05	0.00388539994102659	0.0486831806958711	0.0811386344931185	*
temp_vcf4_19VR003237.vcf	PB2	0.117575265692595	0.07613982001565	0.0596105866138063	2.03882352941176	1762.18390426	514.816095740007	6.67213367505865e-05	0.000147897124129744	3.38276762542777e-05	0.00396029484369777	0.0241739061142322	0.0293498114595294	0.03799600153787
temp_vcf4_19VR003316.vcf	PB2	0.0635053578808938	0.0760002795753136	0.0323129986222713	2.03875655801652	1762.1741181938	514.825881806202	3.6038072075412e-05	0.000147623268878162	1.83370067058933e-05	0.00396008947892014	0.0232447502513656	0.0317442474582699	0.037990003295827
temp_vcf4_19VR003317.vcf	PB2	0	0	0	2	1762.16666666667	514.833333333331	0	0	0	0.00388475234703789	0	*	*
temp_vcf4_19VR003373.vcf	PB2	0	0.0488576981588674	0	2.02472882026065	1762.16666666667	514.833333333331	0	9.49000287967644e-05	0	0.00393278501831141	0.0122106006724836	*	0.0244212013449673
temp_vcf4_19VR003464.vcf	PB2	0.193241868812991	0	6.10321832692631	35	1759.17238556122	517.827614438781	0.000109848170878002	0	0.00346936910618866	0.0675900609084605	0.00439095392382083	0.0644006575493722	*
temp_vcf4_19VR003468.vcf	PB2	0.11289033495526	0.101520318601494	5.05731359975118	36.0476726221785	1758.71173332233	518.288266677678	6.41892203345928e-05	0.000195876166080814	0.00287557847254341	0.0695513962784661	0.00446541559708996	0.0282129012165165	0.0338294479314173
temp_vcf4_19VR003542.vcf	PB2	0	0	0	3	1762.16666666667	514.833333333331	0	0	0	0.00582712852055684	0	*	*
temp_vcf4_19VR003675.vcf	PB2	0.468105175870588	0.06235977424626	0.241508091205439	2.0316787732042	1762.1815734464	514.8184265536	0.000265639581598329	0.000121129646939254	0.000137050627951527	0.00394639870760856	0.0378470763970318	0.0467566992907809	0.0311460383253177
temp_vcf4_19VR003676.vcf	PB2	0.0869454895530369	0.0600693411350609	6.04553651938684	35.0309866811634	1759.22738202585	517.772617974149	4.94225422144772e-05	0.000116014905095001	0.00343647249989086	0.0676570862673784	0.00341811402524685	0.0869258895779348	0.0600530135076798
temp_vcf4_19VR003677.vcf	PB2	0	0	0	2	1761.83333333334	515.166666666665	0	0	0	0.00388223875768361	0	*	*
temp_vcf4_19VR003678.vcf	PB2	0.357500841156703	0.206948013041119	6.19639045372202	35.111673150484	1759.20990473765	517.790095262358	0.00020321670551873	0.000399675495793834	0.00352225759816086	0.067810631125907	0.011746241353557	0.0892742854364134	0.0689074810750278
temp_vcf4_19VR003752.vcf	PB2	0	0	1	17	1761.00000000001	515.999999999998	0	0	0.000567859170925609	0.0329457364341086	0	*	*
temp_vcf4_19VR003890.vcf	PB2	0	0	5	36	1758.66666666667	518.333333333331	0	0	0.00284306292645943	0.069453376205788	0	*	*
temp_vcf4_19VR003891.vcf	PB2	0.183897713252126	0.217648646430913	5.09490998235619	36.0302217120859	1758.6766743649	518.323325635102	0.000104565959128636	0.000419909032965529	0.00289701345143278	0.0695130238793287	0.00852478431941386	0.0611788265258775	0.0434256766869638
temp_vcf4_19VR003895.vcf	PB2	0.0751707014276847	0.410830999066293	0.0388888888888889	1.28571428571429	1761.79444444445	515.205555555554	4.26671236617439e-05	0.000797411818712413	2.20734541487056e-05	0.00249553653265226	0.160972117241958	0.074753086419753	0.408163265306122
temp_vcf4_19VR003909.vcf	PB2	0	0	0	3	1762.16666666667	514.833333333331	0	0	0	0.00582712852055684	0	*	*
temp_vcf4_19VR003913.vcf	PB2	0.500519177269479	0.137009559843674	0.258721877611315	2.06978231302823	1762.2590498765	514.7409501235	0.000284021340281699	0.000266171867248569	0.000146812625322847	0.00402101739240221	0.0354079557245298	0.0416979232940747	0.0342420308781602
temp_vcf4_19VR003920.vcf	PB2	0	0.441936181979965	0	2.2294774358212	1761.83333333334	515.166666666665	0	0.00085785088705267	0	0.00432768185536307	0.0550903389802478	*	0.073453785306997
temp_vcf4_19VR004002.vcf	PB2	0.0268048276371152	0.0301703887956654	6.01358234295416	35.0153139356815	1759.16921898929	517.830781010718	1.52372081933742e-05	5.82630270390221e-05	0.0034184217629781	0.0676192208337587	0.00132452474276507	0.0267957258280704	0.0301588381108278
temp_vcf4_19VR004328.vcf	PB2	0	0	2	16	1761.33333333334	515.666666666665	0	0	0.00113550340651022	0.0310277957336782	0	*	*
temp_vcf4_19VR004453.vcf	PB2	0.143865300938676	0.200447393449459	1.06508875739645	1.10579647740086	1762.85434891137	514.112085698283	8.16092951907904e-05	0.000389890451956999	0.000604184207307986	0.00215088598024093	0.0491712433829926	0.0719154927936605	0.0667892393645424
temp_vcf4_19VR004454.vcf	PB2	0.233582248734636	0.170566769597976	1.12250469547597	1.08910332418759	1762.82834469089	514.171655309114	0.000132504250591452	0.000331731179338218	0.000636763470962228	0.00211817067888123	0.0505056708332796	0.0778418900782664	0.0568398988104793
temp_vcf4_19VR004455.vcf	PB2	0.87545779256545	3.71809917196205	1.42122141442797	2.94226899561068	1762.7042719776	514.193939003278	0.000496656079231749	0.00723092765186863	0.000806273313692875	0.00572209972236162	0.0559965651716885	0.0548204060375713	0.0564743651191763
temp_vcf4_19VR004458.vcf	PB2	0	0	1	1	1762.83333333334	514.166666666665	0	0	0.000567268601682895	0.00194489465153972	0	*	*
