file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_18VR001131.vcf	1853	1755	98	0.000273966023689432	0.000242179765360138	0.000843199527443638	1333.4406795225	418.559320477501	0.00028342012775241	0.000112532580597608	0.00015314082754635	0.0191707940822589	0.0282495204598876	0.075335348240462	0.0470660656960049	0.000273196917940366	15	0.0302673433498796	14	0.0824910820451843	1
temp_vcf4_18VR001132.vcf	1853	1755	98	2.20814369593899e-05	2.33144744648145e-05	0	1332.83333333333	419.166666666666	0	9.76148771827027e-05	0.000750281355508315	0.00959258315883955	0.00584419115560134	*	0.0409093380892094	2.20773546083159e-05	7	0.00681822301486823	6	0	1
temp_vcf4_18VR001736.vcf	1853	1755	98	0	0	0	1333.5	418.499999999999	0	0	0	0.0191158900836321	0	*	*	0	8	0	8	*	0
temp_vcf4_18VR001742.vcf	1853	1755	98	2.19102744105586e-05	2.31337541212336e-05	0	1332.83333333333	419.166666666666	0	9.68582230205131e-05	0.000750281355508315	0.00959218456313538	0.0057984411391777	*	0.0405890879742439	2.1904526699538e-05	7	0.00676484799570731	6	0	1
temp_vcf4_18VR002048.vcf	1853	1755	98	0	0	0	1334.33333333333	417.666666666666	0	0	0	0.059856344772546	0	*	*	0	25	0	25	*	0
temp_vcf4_18VR002388.vcf	1853	1755	98	0.000182226051585086	0.000192401637371603	0	1332.82137834037	419.178621659633	9.85621042932751e-05	0.000492151038318899	5.01492131694552e-05	0.00980674421380169	0.0281023678271137	0.0328023280499968	0.068673033908459	0.000181990509403866	12	0.0306571285386695	11	0	1
temp_vcf4_18VR002752.vcf	1853	1755	98	8.12769393529712e-05	8.58154806957582e-05	0	1334.31427284126	417.68572715874	4.22368285496715e-05	0.00022564564532477	2.14272894272322e-05	0.0599695202088776	0.00519250376387675	0.0281741583318528	0.0471171462443601	8.12642251227339e-05	29	0.00519250376387675	29	*	0
temp_vcf4_18VR002834.vcf	1853	1755	98	0	0	0	1333.5	418.499999999999	0	0	0	0.0167264038231781	0	*	*	0	8	0	7	0	1
temp_vcf4_18VR002905.vcf	1853	1755	98	0.00036887597391609	0.000372094366467159	0.000311240474659695	1332.79240049214	419.207599507855	0.000295609489289323	0.000617926613486493	0.000153457647731055	0.00987540823363554	0.0465995554078149	0.0656052143890332	0.129381244687604	0.000368520839503317	14	0.054366147975784	12	0.0152376699451192	2
temp_vcf4_18VR003297.vcf	1853	1755	98	0	0	0	1333.5	418.499999999999	0	0	0	0.0167264038231781	0	*	*	0	8	0	7	0	1
