file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_17VR013816.vcf	2209	2151	58	2.90608100399634e-05	0	0.00110681602376343	2283.66666666667	620.333333333332	0	0	0	0	0	*	*	2.89407240480627e-05	2	*	0	0.0319650297110853	2
temp_vcf4_17VR013817.vcf	2209	2151	58	0	0	0	2283.66666666667	620.333333333332	0	0	0	0	0	*	*	0	1	*	0	0	1
temp_vcf4_17VR013818.vcf	2209	2151	58	8.34676699230869e-05	8.57183090934909e-05	0	2283.71054637478	620.340037282811	5.88459031734588e-05	0.000328780469287168	2.25192449359634e-05	0.000166684823717343	0.0482666442927006	0.0336891109815456	0.0290921914483013	8.33542933332271e-05	7	0.0306882723288498	6	0	1
temp_vcf4_17VR013863.vcf	2209	2151	58	0	0	0	2283.66666666667	620.333333333332	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR013864.vcf	2209	2151	58	0.000121304744422615	0.000124575630139264	0	2283.64121041306	620.35878958694	8.89451592747304e-05	0.000409916388923087	4.50332127371783e-05	0.000211631341103265	0.0571478076619778	0.0253722598163666	0.0508408765529778	0.000121248018639117	8	0.0382624104534014	7	0	1
temp_vcf4_17VR014028.vcf	2209	2151	58	0	0	0	2283.66666666667	620.333333333332	0	0	0	0	*	*	*	0	0	*	0	*	0
temp_vcf4_17VR014029.vcf	2209	2151	58	0	0	0	2283.66666666667	620.333333333332	0	0	0	0	0	*	*	0	1	*	0	0	1
temp_vcf4_17VR014030.vcf	2209	2151	58	0.000238666168573142	0.000198260956154185	0.00173714223604172	2283.68486916951	620.315130830488	0.000163402970918481	8.5921528872611e-05	0.000108199264527103	4.40159411066709e-05	0.141730880255532	0.372076122228231	0.0531165185383637	0.000237851425617389	3	0.212596320383298	2	0.100221158422217	1
temp_vcf4_17VR014031.vcf	2209	2151	58	0.000162775480543597	0.000167164591594982	0	2283.70278982278	620.297210177221	0.000167585934864123	0.000118961373931323	8.60200262464525e-05	6.0696808090756e-05	0.050688182382202	0.0478035052754052	0.0368827996182884	0.000162682204974381	9	0.044920623848551	8	0	1
temp_vcf4_17VR014077.vcf	2209	2151	58	0.000228726160737445	0.000234893579297544	0	2283.58503971142	620.414960288583	0.000122451116358136	0.000363673615401964	6.31390892535561e-05	0.000208650413793196	0.0630983804440585	0.0465669813984514	0.22538515516176	0.000228513826868478	8	0.0721124347932097	7	0	1
temp_vcf4_17VR014149.vcf	2209	2151	58	0.000124239526328928	0.000127589546099769	0	2283.62268518519	620.377314814814	5.59212187000015e-05	0.000339460561868229	2.88892830896328e-05	0.000185393974129844	0.0845196483754497	0.0637960551697532	0.105243241581146	0.000124165929530125	4	0.0914275127773486	3	0	1
temp_vcf4_17VR014170.vcf	2209	2151	58	0.000174419542830059	0.000179122626737146	0	2283.67778753293	620.322212467075	0.000169890480205639	4.86078825589183e-05	0.000102984291557793	2.4670874673554e-05	0.104482320146183	0.129263305218853	0.0301393649281725	0.000174342785564623	4	0.128374404437417	3	0	1
temp_vcf4_17VR014171.vcf	2209	2151	58	0.000428974691861951	0.000440541652404951	0	2283.5915102768	620.408489723203	2.9983656112082e-05	0.00145379649135404	1.51629433646872e-05	0.00117042441686095	0.161705542895677	0.0228175439745206	0.300593541816834	0.000428894146316516	6	0.189485433842637	5	0	1
temp_vcf4_17VR014172.vcf	2209	2151	58	9.75687308936722e-05	0.000100199593930322	0	2283.68096650148	620.319033498522	0.000129859123715586	4.23233027351662e-05	6.65390570592738e-05	2.14229063227385e-05	0.0537012892328823	0.0493304765486956	0.0262248761051203	9.74034432266117e-05	6	0.0430328412175171	5	0	1
temp_vcf4_17VR014174.vcf	2209	2151	58	0.000575266129698912	0.000590777722224499	0	2283.39511085892	620.604889141081	8.37772145261602e-05	0.00186428624478834	4.26364599602625e-05	0.00159259711563181	0.149770866623474	0.0318712387076642	0.231342073473057	0.000575124398022816	9	0.15880622440405	8	0	1
temp_vcf4_17VR014176.vcf	2209	2151	58	8.09994061586091e-05	8.31834905645595e-05	0	2283.68321672049	620.316783279511	0	0.000288445666838815	0	0.000160080019764894	0.178879537588597	*	0.178879537588597	8.09776086865535e-05	1	0.178879537588597	1	*	0
temp_vcf4_17VR014177.vcf	2209	2151	58	0.000267942592135114	0.00027516745050045	0	2283.37089342914	620.629106570865	0.000259215525488976	6.04523236987043e-05	0.000257599408204032	3.08064041766433e-05	0.125855905373478	0.1479429809597	0.0375076030285899	0.000267891319075962	5	0.1479429809597	4	0	1
temp_vcf4_17VR014303.vcf	2209	2151	58	0	0	0	2283.66666666667	620.333333333332	0	0	0	0	0	*	*	0	1	*	0	0	1
temp_vcf4_17VR014305.vcf	2209	2151	58	1.00928792140507e-05	1.03650256549688e-05	0	2283.66666666667	620.333333333332	0	7.18812579812077e-05	0	3.63389576842933e-05	0.0222881898550389	*	0.0222881898550389	1.00897192643906e-05	2	0.0222881898550389	1	0	1
temp_vcf4_17VR014310.vcf	2209	2151	58	0	0	0	2283.66666666667	620.333333333332	0	0	0	0	0	*	*	0	1	*	0	0	1
temp_vcf4_17VR014358.vcf	2209	2151	58	0.000204960333512766	0.00021048692549033	0	2283.71850569274	620.281494307267	0.000162959837210646	0.000523604534714676	8.37075043410852e-05	0.000268074190780474	0.0535474337273972	0.0413006324549752	0.0405513682951734	0.000204732489552841	13	0.0376878391185188	12	0	1
temp_vcf4_17VR014360.vcf	2209	2151	58	0.000434416105010798	0.000446129788920898	0	2283.65865384616	620.341346153845	0.000408571448809118	4.28593891835367e-05	0.000436023864219944	2.17068027114895e-05	0.136981022712915	0.186459710158699	0.0265686081969099	0.00043407295563169	7	0.159811193165067	6	0	1
temp_vcf4_17VR014361.vcf	2209	2151	58	3.43819069878979e-05	3.53089876970091e-05	0	2283.69514020416	620.304859795846	3.32573429785715e-05	4.63827848875877e-05	1.68291605762942e-05	2.3500153585797e-05	0.0261475485279397	0.025286889382979	0.0287295259628217	3.43416333856664e-05	4	0.025286889382979	3	0	1
temp_vcf4_17VR014363.vcf	2209	2151	58	0	0	0	2283.66666666667	620.333333333332	0	0	0	0	0	*	*	0	1	*	0	0	1
temp_vcf4_17VR014364.vcf	2209	2151	58	0	0	0	2283.66666666667	620.333333333332	0	0	0	0	0	*	*	0	1	*	0	0	1
temp_vcf4_17VR014365.vcf	2209	2151	58	1.24856792691857e-05	1.28223456558025e-05	0	2283.67598937212	620.324010627883	1.2077398735192e-05	0	6.12348609818629e-06	0	0.013788504290677	0.027577008581354	*	1.24839332645333e-05	2	0.027577008581354	1	0	1
temp_vcf4_17VR014366.vcf	2209	2151	58	9.43523600087831e-05	9.68964961689455e-05	0	2283.68989333535	620.31010666465	8.46384424308958e-05	6.2894280398792e-05	4.40683025682279e-05	3.20698558469088e-05	0.0464237888095062	0.0482809789725197	0.038995028157452	9.42858344777902e-05	5	0.0520693520903596	4	0	1
temp_vcf4_17VR014367.vcf	2209	2151	58	4.91214050279121e-05	5.04459245498177e-05	0	2283.67421308539	620.325786914612	2.17046010661723e-05	9.50193385312997e-05	1.11334684490207e-05	4.89880314836765e-05	0.0361625660784576	0.0495575465032831	0.0589301517320897	4.9111678694148e-05	3	0.0542438491176864	2	0	1
temp_vcf4_17VR014370.vcf	2209	2151	58	0	0	0	2283.66666666667	620.333333333332	0	0	0	0	0	*	*	0	1	*	0	0	1
temp_vcf4_17VR014371.vcf	2209	2151	58	1.00354151542064e-05	1.03060121225672e-05	0	2283.66666666667	620.333333333332	1.94145953078167e-05	0	9.81271212323784e-06	0	0.0221578827609474	0.0221578827609474	*	1.00307300864407e-05	2	0.0221578827609474	1	0	1
temp_vcf4_17VR014380.vcf	2209	2151	58	0.000192903296319115	0.000198104779901872	0	2283.66666666667	620.333333333332	0	0.000686926461422236	0	0.00210804778241641	0.142011834319527	*	0.42603550295858	0.000192863514241095	3	0.21301775147929	2	0	1
