file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_19VR002740.vcf	HA	0	0.0380954933472025	3	0.0194220012430081	1318.66666666667	379.333333333332	0	0.000100427486855543	0.00227502527805864	5.12003547706717e-05	0.00952239355536233	*	0.0380895742214493
temp_vcf4_19VR002740.vcf	HA_antigenic	0	0	1	0	316	86	0	0	0.00316455696202532	0	0	*	*
temp_vcf4_19VR002740.vcf	HA_nonantigenic	0	0.0380954933472025	2	0.0194220012430081	1004.66666666666	294.333333333334	0	0.000129429762221526	0.00199071001990711	6.59864141891553e-05	0.0126965247404831	*	0.0380895742214493
temp_vcf4_19VR002744.vcf	HA	0	0	3	0	1318.66666666667	379.333333333332	0	0	0.00227502527805864	0	0	*	*
temp_vcf4_19VR002744.vcf	HA_antigenic	0	0	1	0	316	86	0	0	0.00316455696202532	0	0	*	*
temp_vcf4_19VR002744.vcf	HA_nonantigenic	0	0	2	0	1004.66666666666	294.333333333334	0	0	0.00199071001990711	0	0	*	*
temp_vcf4_19VR003000.vcf	HA	0.0270943643817989	0	3.01373363142766	0	1318.65979985095	379.340200149046	2.05468949496006e-05	0	0.00228545196552462	0	0.00677250939773405	0.0270900375909362	*
temp_vcf4_19VR003000.vcf	HA_antigenic	0	0	1	0	316	86	0	0	0.00316455696202532	0	0	*	*
temp_vcf4_19VR003000.vcf	HA_nonantigenic	0.0270943643817989	0	2.01373363142766	0	1004.65979985095	294.340200149048	2.69686956577924e-05	0	0.00200439355862195	0	0.00903001253031207	0.0270900375909362	*
temp_vcf4_19VR003002.vcf	HA	0	0	6	8	1319.5	378.499999999999	0	0	0.00454717696097006	0.0211360634081903	0	*	*
temp_vcf4_19VR003002.vcf	HA_antigenic	0	0	2	1	316.666666666667	85.3333333333333	0	0	0.00631578947368421	0.01171875	0	*	*
temp_vcf4_19VR003002.vcf	HA_nonantigenic	0	0	4	7	1004.83333333333	294.166666666667	0	0	0.00398075966163544	0.0237960339943342	0	*	*
temp_vcf4_19VR003004.vcf	HA	0	0	3	0	1318.66666666667	379.333333333332	0	0	0.00227502527805864	0	0	*	*
temp_vcf4_19VR003004.vcf	HA_antigenic	0	0	1	0	316	86	0	0	0.00316455696202532	0	0	*	*
temp_vcf4_19VR003004.vcf	HA_nonantigenic	0	0	2	0	1004.66666666666	294.333333333334	0	0	0.00199071001990711	0	0	*	*
temp_vcf4_19VR003005.vcf	HA	0.133501606190982	0	3.06914913209632	0	1318.70435102905	379.295648970946	0.000101236949803649	0	0.00232739744105743	0	0.0266604977385909	0.0666512443464773	*
temp_vcf4_19VR003005.vcf	HA_antigenic	0	0	1	0	316	86	0	0	0.00316455696202532	0	0	*	*
temp_vcf4_19VR003005.vcf	HA_nonantigenic	0.133501606190982	0	2.06914913209632	0	1004.70435102905	294.295648970948	0.00013287650845171	0	0.00205946070600474	0	0.0333256221732386	0.0666512443464773	*
temp_vcf4_19VR003124.vcf	HA	0	0	3	0	1318.66666666667	379.333333333332	0	0	0.00227502527805864	0	0	*	*
temp_vcf4_19VR003124.vcf	HA_antigenic	0	0	1	0	316	86	0	0	0.00316455696202532	0	0	*	*
temp_vcf4_19VR003124.vcf	HA_nonantigenic	0	0	2	0	1004.66666666666	294.333333333334	0	0	0.00199071001990711	0	0	*	*
