file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_18VR001131.vcf	NA	0.398064499915942	0	2.83189745666978	1	1064.97939405358	333.020605946419	0.0003737767154356	0	0.00265911009403747	0.00300281718951918	0.0662878417444964	0.132575683488993	*
temp_vcf4_18VR001131.vcf	NB	0	0	1	0	230.666666666667	69.3333333333333	0	0	0.00433526011560694	0	0	*	*
temp_vcf4_18VR001132.vcf	NA	0	0	3	5	1066.33333333333	331.666666666667	0	0	0.00281337918099406	0.0150753768844221	0	*	*
temp_vcf4_18VR001132.vcf	NB	0	0	2	1	230.666666666667	69.3333333333333	0	0	0.00867052023121388	0.0144230769230769	0	*	*
temp_vcf4_18VR001736.vcf	NA	0.0313570946157649	0	2.01592920353982	1	1065.01592920354	332.98407079646	2.9442840952825e-05	0	0.00189286295938073	0.00300314665986308	0.00783773200720495	0.0313509280288198	*
temp_vcf4_18VR001736.vcf	NB	0.0313570946157649	0	1.01592920353982	0	230.677286135693	69.3227138643068	0.000135934903436134	0	0.00440411459905166	0	0.0156754640144099	0.0313509280288198	*
temp_vcf4_18VR001742.vcf	NA	0	0	3	5	1066.33333333333	331.666666666667	0	0	0.00281337918099406	0.0150753768844221	0	*	*
temp_vcf4_18VR001742.vcf	NB	0	0	2	1	230.666666666667	69.3333333333333	0	0	0.00867052023121388	0.0144230769230769	0	*	*
temp_vcf4_18VR002048.vcf	NA	0	0.0725141537431848	13	10.0376700962496	1065.5	332.5	0	0.000218087680430631	0.0122008446738621	0.03018848149248	0.00302092167484435	*	0.0725021201962643
temp_vcf4_18VR002048.vcf	NB	0	0	2	2	230.666666666667	69.3333333333333	0	0	0.00867052023121388	0.0288461538461539	0	*	*
temp_vcf4_18VR002388.vcf	NA	0.427844686771468	0.352597837990476	3.17278621186424	5.20962263942268	1066.47674269551	331.523257304491	0.000401175824697401	0.00106356893587899	0.00297501678643743	0.0157141996063276	0.0518928162874101	0.0710526524199581	0.117358776597134
temp_vcf4_18VR002388.vcf	NB	0.0597719611001142	0.196666218577766	2.00171428571429	1.10982658959538	230.656	69.344	0.000259138982294474	0.00283609567630604	0.00867835341683844	0.0160046520188535	0.0510361369865143	0.0298256326530612	0.195529419626449
temp_vcf4_18VR002752.vcf	NA	0.143229343041791	0.0207196784979459	13.075002066474	10.0104682575416	1065.51360766384	332.486392336164	0.000134422819203431	6.2317372907692e-05	0.0122710793859698	0.030107903626385	0.00630492154071364	0.0716053069035877	0.0207173462513792
temp_vcf4_18VR002752.vcf	NB	0	0.0399962642595783	2	2.02041149575441	230.666666666667	69.3333333333333	0	0.00057686919605161	0.00867052023121388	0.0291405504195348	0.00799794663819067	*	0.0399897331909533
temp_vcf4_18VR002834.vcf	NA	0	0	2	2	1065	333	0	0	0.00187793427230047	0.00600600600600601	0	*	*
temp_vcf4_18VR002834.vcf	NB	0	0	3	0	231	69	0	0	0.012987012987013	0	0	*	*
temp_vcf4_18VR002905.vcf	NA	0.537459603957273	0	3.29335494822374	5	1066.38868759067	331.611312409327	0.00050399972375136	0	0.00308832509810708	0.0150778933434822	0.0447364539994672	0.134209361998401	*
temp_vcf4_18VR002905.vcf	NB	0	0.186541509537083	2	1.10397196261682	230.666666666667	69.3333333333333	0	0.00269050254140023	0.00867052023121388	0.0159226725377426	0.0465808968032143	*	0.186323587212857
temp_vcf4_18VR003297.vcf	NA	0.0557017810509927	0	2.02866430260047	2	1065	333	5.23021418319181e-05	0	0.00190484911042298	0.00600600600600601	0.0111370641427605	0.0556853207138026	*
temp_vcf4_18VR003297.vcf	NB	0.0557017810509927	0	3.02866430260047	0	231.009554767533	68.9904452324665	0.000241123277810071	0	0.0131105585898741	0	0.0139213301784507	0.0556853207138026	*
temp_vcf4_18VR003323.vcf	NA	0.075872317833081	0.0207852789322436	2.02773071934379	2.01050080775444	1064.97382514099	332.994076737927	7.12433639606464e-05	6.24193653408495e-05	0.00190401930214139	0.00603764735832447	0.0120795682894418	0.0252851549112137	0.0207810815818936
temp_vcf4_18VR003323.vcf	NB	0	0	3	0	231	69	0	0	0.012987012987013	0	0	*	*
temp_vcf4_18VR003908.vcf	NA	0.0547299464650796	0	2.00398573731256	2	1065.01056676273	332.989433237272	5.13891112192813e-05	0	0.00188165807913437	0.00600619659475771	0.0109290238623611	0.0273225596559027	*
temp_vcf4_18VR003908.vcf	NB	0.0234870938965786	0	2.98813559322034	0	230.99604519774	69.0039548022599	0.000101677471908547	0	0.0129358733854616	0	0.00781576175428519	0.0234472852628556	*
temp_vcf4_18VR004171.vcf	NA	0.070543512479211	0	2.02372607932245	2	1064.9721203414	332.991988569492	6.62397739168955e-05	0	0.00190026202627136	0.00600615050407623	0.0100757600764541	0.0235101068450596	*
temp_vcf4_18VR004171.vcf	NB	0	0	3	0	231	69	0	0	0.012987012987013	0	0	*	*
temp_vcf4_18VR004742.vcf	NA	0.0738954984896398	0.0825337722602079	3.03776731058826	1.04190752139843	1065.66227653315	332.337723466848	6.93423236581473e-05	0.000248343075228536	0.00285059101507359	0.00313508653345026	0.0173788887681292	0.0369429076669993	0.0275080611930547
temp_vcf4_18VR004742.vcf	NB	0	0	1	0	230.666666666667	69.3333333333333	0	0	0.00433526011560694	0	0	*	*
temp_vcf4_18VR005254.vcf	NA	0.231261445963283	0.0263614316408688	1.13340292275574	1.01335656213705	1065.57773138483	332.42226861517	0.000217029165636499	7.93010400617479e-05	0.00106365109683999	0.00304840155973475	0.064392373670448	0.231213165911934	0.0263563287698581
temp_vcf4_18VR005254.vcf	NB	0	0	1	1	230.666666666667	69.3333333333333	0	0	0.00433526011560694	0.0144230769230769	0	*	*
temp_vcf4_18VR005361.vcf	NA	0.181143504628276	0.141355990085395	1.09465065196608	1.07651086632926	1065.62227301328	332.377726986722	0.000169988474542723	0.000425287191674677	0.00102724077723218	0.00323881770324601	0.0537320857132941	0.0603595356513815	0.14131390732562
temp_vcf4_18VR005361.vcf	NB	0.039737193949008	0.0306772448142102	1.02027263194687	1.0155750798722	230.666666666667	69.3333333333333	0.000172271072033272	0.000442460261743416	0.00442314724832459	0.0146477174981568	0.0175970745499987	0.0397233046816368	0.0306649935183581
temp_vcf4_18VR005582.vcf	NA	0.0198838724197031	0	1.01004090740052	2	1065.66666666667	332.333333333333	1.86586228523958e-05	0	0.000947801914983286	0.00601805416248746	0.00497004378954741	0.0198801751581896	*
temp_vcf4_18VR005582.vcf	NB	0	0.0198838724197031	1	1.01004090740052	230.666666666667	69.3333333333333	0	0.000286786621438026	0.00433526011560694	0.0145678977028921	0.00662672505272988	*	0.0198801751581896
temp_vcf4_18VR005586.vcf	NA	0	0	3	4	1066.33333333333	331.666666666667	0	0	0.00281337918099406	0.0120603015075377	0	*	*
temp_vcf4_18VR005586.vcf	NB	0	0	2	1	230.666666666667	69.3333333333333	0	0	0.00867052023121388	0.0144230769230769	0	*	*
temp_vcf4_18VR005798.vcf	NA	0	0	3	1	1065.33333333333	332.666666666667	0	0	0.00281602002503129	0.0030060120240481	0	*	*
temp_vcf4_18VR005798.vcf	NB	0	0	1	1	230.666666666667	69.3333333333333	0	0	0.00433526011560694	0.0144230769230769	0	*	*
temp_vcf4_18VR005799.vcf	NA	0	0	2	1	1065	333	0	0	0.00187793427230047	0.003003003003003	0	*	*
temp_vcf4_18VR005799.vcf	NB	0	0	1	0	230.666666666667	69.3333333333333	0	0	0.00433526011560694	0	0	*	*
temp_vcf4_18VR006000.vcf	NA	0	0.064308601148084	3	1.03264645601374	1065.33333333333	332.666666666667	0	0.000193312428300854	0.00281602002503129	0.00310414766336795	0.0106930683045033	*	0.0320792049135099
temp_vcf4_18VR006000.vcf	NB	0	0	1	1	230.666666666667	69.3333333333333	0	0	0.00433526011560694	0.0144230769230769	0	*	*
temp_vcf4_18VR006054.vcf	NA	0.193817401115113	0.0680825375118431	2.09947104976164	1.03528021607022	1065.04379831085	332.956201689147	0.000181980686073667	0.00020447895899355	0.00197125325089107	0.00310935856072979	0.0327307069227804	0.0484436526334301	0.0680710448485224
temp_vcf4_18VR006054.vcf	NB	0.039289880669191	0	1.02003727865797	0	230.666666666667	69.3333333333333	0.0001703318526121	0	0.00442212693059813	0	0.0196357861219513	0.0392715722439025	*
temp_vcf4_18VR006201.vcf	NA	0	0	2	6	1066.66666666667	331.333333333333	0	0	0.001875	0.0181086519114688	0	*	*
temp_vcf4_18VR006201.vcf	NB	0	0	2	1	230	70	0	0	0.00869565217391305	0.0142857142857143	0	*	*
temp_vcf4_18VR006202.vcf	NA	0	0	2	6	1066.66666666667	331.333333333333	0	0	0.001875	0.0181086519114688	0	*	*
temp_vcf4_18VR006202.vcf	NB	0	0	2	1	230	70	0	0	0.00869565217391305	0.0142857142857143	0	*	*
temp_vcf4_18VR006203.vcf	NA	0.0481080852850824	0	2.02465799695997	6	1066.65022800203	331.349771997973	4.51020250332624e-05	0	0.00189814612495084	0.0181077535192531	0.00534444003242108	0.0480999602917898	*
temp_vcf4_18VR006203.vcf	NB	0	0.0481080852850824	2	1.02465799695997	230	70	0	0.000687258361215463	0.00869565217391305	0.0146379713851425	0.0120249900729474	*	0.0480999602917898
temp_vcf4_18VR006427.vcf	NA	0	0	2	6	1066.66666666667	331.333333333333	0	0	0.001875	0.0181086519114688	0	*	*
temp_vcf4_18VR006427.vcf	NB	0	0	2	1	230	70	0	0	0.00869565217391305	0.0142857142857143	0	*	*
temp_vcf4_18VR007098.vcf	NA	0	0	1	2	1065.66666666667	332.333333333333	0	0	0.000938379730997812	0.00601805416248746	0	*	*
temp_vcf4_18VR007098.vcf	NB	0	0	2	1	230.666666666667	69.3333333333333	0	0	0.00867052023121388	0.0144230769230769	0	*	*
temp_vcf4_18VR007188.vcf	NA	0.043157269971916	0	1.0220621341738	2	1065.68137475611	332.318625243884	4.04973484516351e-05	0	0.000959069153674285	0.00601832051553604	0.0107876982047465	0.043150792818986	*
temp_vcf4_18VR007188.vcf	NB	0	0	2	1	230.666666666667	69.3333333333333	0	0	0.00867052023121388	0.0144230769230769	0	*	*
