file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_19VR002740.vcf	1441	1410	31	0	0	0	1087.83333333333	319.166666666667	0	0	0	0.00626631853785901	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR002744.vcf	1441	1410	31	0	0	0	1087.83333333333	319.166666666667	0	0	0	0.00626631853785901	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR003000.vcf	1441	1410	31	2.79237784390044e-05	2.85377054826988e-05	0	1087.83333333333	319.166666666667	0	0.000126072578790408	0.000919258464838365	0.00633060582307462	0.0100486777472489	*	0.0401947109889955	2.78936231707117e-05	4	0.0100486777472489	4	*	0
temp_vcf4_19VR003002.vcf	1441	1410	31	0	0	0	1087.5	319.5	0	0	0.00459770114942529	0.0187793427230047	0	*	*	0	11	0	11	*	0
temp_vcf4_19VR003004.vcf	1441	1410	31	0	0	0	1087.83333333333	319.166666666667	0	0	0	0.00626631853785901	0	*	*	0	2	0	2	*	0
temp_vcf4_19VR003005.vcf	1441	1410	31	0.000207111119487091	0.000211664626369432	0	1087.81932765118	319.180672348817	0.000253392108761017	7.1440070692797e-05	0.00105179841912748	0.00630213829216105	0.0331184416756608	0.0550579910407386	0.0227760198772538	0.00020684661698886	9	0.0331184416756608	9	*	0
temp_vcf4_19VR003124.vcf	1441	1410	31	3.81706704428022e-05	3.90098837645943e-05	0	1088.16666666667	318.833333333333	0	0.000172516265890469	0.000918976872415379	0.00636151739286134	0.0137324766460948	*	0.0549299065843794	3.8119296727536e-05	4	0.0137324766460948	4	*	0
temp_vcf4_19VR003216.vcf	1441	1410	31	0.000345260538809423	0.000352851373350623	0	1088.24395919984	318.756040800159	0	0.00156081884809297	0.000918911602077972	0.00772928159373754	0.124343157202023	*	0.497372628808091	0.000345157965862658	4	0.124343157202023	4	*	0
temp_vcf4_19VR003219.vcf	1441	1410	31	8.54223073924753e-05	8.73003864911751e-05	0	1088.16032087191	318.83967912809	6.01793817793606e-05	0.000180682434893905	0.000887851975018788	0.0063658157509211	0.0307606402382881	0.0654544280015719	0.0575881329515804	8.53869264074616e-05	4	0.0307606402382881	4	*	0
temp_vcf4_19VR003231.vcf	1441	1410	31	0.000670627917423048	0.000685372219153626	0	1087.83333333333	319.166666666667	0.000444464560544271	0.0015129132048915	0.000371758937986103	0.00752859853109679	0.240715073848417	0.481725778546713	0.481134516846954	0.000668188962799214	4	0.240715073848417	4	*	0
temp_vcf4_19VR003237.vcf	1441	1410	31	1.7791343259768e-05	1.8182500452004e-05	0	1087.83333333333	319.166666666667	0	8.03258244511508e-05	0	0.0063069335654192	0.00852994970278923	*	0.0255898491083677	1.77583963278055e-05	3	0.00852994970278922	3	*	0
temp_vcf4_19VR003316.vcf	1441	1410	31	0.000212699226012284	0.000217375591974257	0	1087.76913426368	319.230865736317	0.000172336375294798	0.000372888112346452	9.38036700617197e-05	0.00645686329835345	0.0437731458582347	0.093703833230914	0.0396681181819383	0.000212638460102459	7	0.0437731458582347	7	*	0
temp_vcf4_19VR003317.vcf	1441	1410	31	1.698726009047e-05	1.73607388584165e-05	0	1087.81682539682	319.183174603175	2.25025401509465e-05	0	1.13814679934151e-05	0.00626599444813	0.00815177626606197	0.0244553287981859	*	1.69710817475267e-05	3	0.00815177626606197	3	*	0
temp_vcf4_19VR003373.vcf	1441	1410	31	0.000108419673993176	0.00011080336895331	0	1088.3191048191	318.680895180895	0	0.000490248247029314	0.000918848153608602	0.00914591667936185	0.0390414315768241	*	0.156165726307296	0.000108373161906521	4	0.0390414315768241	4	*	0
temp_vcf4_19VR003464.vcf	1441	1410	31	7.54210743905431e-05	7.70792682246614e-05	0	1086.84803733686	320.151962663136	7.92068299252417e-05	7.05789224619698e-05	0.0092415054041997	0.037517889164485	0.00434427967565531	0.0430081950286281	0.0225906018341266	7.5369182436768e-05	25	0.00434427967565531	25	*	0
temp_vcf4_19VR003468.vcf	1441	1410	31	0.000504290785339598	0.000515378029556285	0	1086.78975396848	320.117109629645	0.000592032626163769	0.000260117397788765	0.00951033860826884	0.0375454086234323	0.0220112453810253	0.0714587447943687	0.0416211972122583	0.000504074321702869	33	0.0220112453810253	33	*	0
temp_vcf4_19VR003542.vcf	1441	1410	31	0	0	0	1088.16666666667	318.833333333333	0	0	0.00183795374483076	0.00627286983795086	0	*	*	0	4	0	4	*	0
temp_vcf4_19VR003675.vcf	1441	1410	31	9.74537752218647e-05	9.95963759536929e-05	0	1087.8537414966	319.146258503401	0.000103095696969693	8.86046746925132e-05	5.30164105412903e-05	0.00631157306330724	0.028045863299038	0.0560046469980602	0.0282200224990694	9.7313890697564e-05	5	0.028045863299038	5	*	0
temp_vcf4_19VR003676.vcf	1441	1410	31	0	0	0	1086.83333333333	320.166666666667	0	0	0.00920104278484896	0.0374804789172306	0	*	*	0	22	0	22	*	0
temp_vcf4_19VR003677.vcf	1441	1410	31	8.63165632502011e-05	8.82143032932907e-05	0	1088.16269545793	318.83730454207	4.45389520425727e-05	0.000238104326107817	0.00186050200328592	0.0063933107455179	0.0138095905805535	0.0242148105010765	0.0252855647409428	8.62500452636928e-05	9	0.0138095905805535	9	*	0
temp_vcf4_19VR003678.vcf	1441	1410	31	0	0	0	1086.83333333333	320.166666666667	0	0	0.00920104278484896	0.0374804789172306	0	*	*	0	22	0	22	*	0
temp_vcf4_19VR003752.vcf	1441	1410	31	1.62213993917381e-05	1.65780400875848e-05	0	1087.82742316785	319.172576832151	2.14878169327856e-05	0	0.00368791983501069	0.0187986075105548	0.00212374740818984	0.0233612214900882	*	1.62118122762583e-05	11	0.00212374740818984	11	*	0
temp_vcf4_19VR003890.vcf	1441	1410	31	0	0	0	1086.83333333333	320.166666666667	0	0	0.00920104278484896	0.0374804789172306	0	*	*	0	22	0	22	*	0
temp_vcf4_19VR003891.vcf	1441	1410	31	9.10339456584288e-05	9.30354012012737e-05	0	1086.85309118642	320.146908813576	0.000120697007495832	0	0.00926370146060118	0.0374827920234198	0.00545261619133109	0.0654313942959731	*	9.08138713337587e-05	24	0.00545261619133109	24	*	0
temp_vcf4_19VR003895.vcf	1441	1410	31	0	0	0	1087.83333333333	319.166666666667	0	0	0	0.00626631853785901	0	*	*	0	2	0	2	*	0
