file	sites	sites_coding	sites_noncoding	pi	pi_coding	pi_noncoding	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv	mean_gdiv	sites_polymorphic	mean_gdiv_coding_poly	sites_coding_poly	mean_gdiv_noncoding_poly	sites_noncoding_poly
temp_vcf4_19VR001353.vcf	1753	1701	52	0.000201426180362896	0.000207583829615612	0	2613.24992376758	782.650941692684	0.000161561575827822	0.000362868550342845	0.00540068171973235	0.0385193554003793	0.0235339251089712	0.0422092949386681	0.0473208006470761	0.000201374145256457	30	0.0117669625544856	30	*	0
temp_vcf4_19VR001544.vcf	1753	1701	52	1.20081575600131e-05	1.23752499721946e-05	0	2610.68084785396	785.319152146034	1.61262915151094e-05	0	0.0038385663989467	0.0305608235001215	0.00233839295706775	0.0210455366136097	*	1.20054401674899e-05	18	0.00116919647853388	18	*	0
temp_vcf4_19VR001555.vcf	1753	1701	52	2.79165871683757e-05	2.87700042952161e-05	0	2610.66666666667	785.333333333331	0	0.000124629314022486	0.00383043922369765	0.0306233548446588	0.00515026359463857	*	0.0244637520745332	2.79107268391708e-05	19	0.00257513179731929	19	*	0
temp_vcf4_19VR001605.vcf	1753	1701	52	6.46616582086375e-05	6.66383814460562e-05	0	2610.66666666667	785.333333333331	4.94599144333484e-05	0.000124253510694595	0.00385543729634172	0.0306239790311696	0.0107933144677371	0.0215166155179528	0.0487799553573816	6.46490598466856e-05	21	0.00539665723386856	21	*	0
temp_vcf4_19VR001607.vcf	1753	1701	52	7.24172511380391e-05	7.46310648118651e-05	0	2610.71206024966	785.287939750333	9.72512006803558e-05	0	0.00388253492345103	0.0305620381838926	0.01410090564398	0.12690815079582	*	7.23948378755389e-05	18	0.00705045282198998	18	*	0
temp_vcf4_19VR001934.vcf	1753	1701	52	8.13692223123205e-05	8.38567000079352e-05	0	2610.69622123707	785.303778762928	0.000109273722122988	0	0.00388718472272596	0.0305614217695561	0.0150054813239178	0.0712760362886095	*	8.13189233184363e-05	19	0.00750274066195889	19	*	0
temp_vcf4_19VR003003.vcf	1753	1701	52	0.00013448844560006	0.000138599791379721	0	2612.70918754746	783.290812452542	3.86257631968915e-05	0.000473130283161229	0.00155077501822328	0.0130109654588096	0.042813785647892	0.0503864447086801	0.0616964587849086	0.000134327336602057	11	0.021406892823946	11	*	0
temp_vcf4_19VR003071.vcf	1753	1701	52	0	0	0	2612.66666666667	783.333333333331	0	0	0.00153100280683848	0.0127659574468085	0	*	*	0	7	0	7	*	0
temp_vcf4_19VR003123.vcf	1753	1701	52	0.000137042147083103	0.000141231560162657	0	2612.69182947581	783.308170524192	3.79569331687231e-05	0.000486781592302695	0.0015502014447356	0.0130323549379087	0.0436649022071433	0.0247843181732685	0.0952941628963756	0.000136997696599708	11	0.0218324511035717	11	*	0
temp_vcf4_19VR003217.vcf	1753	1701	52	1.75873000072742e-05	1.81249482144337e-05	0	2612.6875	783.312499999998	2.36006310840862e-05	0	0.00613592325909624	0.0178728157663768	0.00384521484375	0.03076171875	*	1.75480426411865e-05	16	0.001922607421875	16	*	0
temp_vcf4_19VR003218.vcf	1753	1701	52	0.000180921610609973	0.000186452429981942	0	2612.67904578505	783.320954214953	0.000140609656448631	0.000340784020041599	0.0061956808422019	0.0180470052132429	0.027568770415258	0.0367245668067995	0.0444726752471568	0.000180856166443507	23	0.013784385207629	23	*	0
temp_vcf4_19VR003470.vcf	1753	1701	52	0	0	0	2612.66666666667	783.333333333331	0	0	0.00076550140341924	0.017872340425532	0	*	*	0	8	0	8	*	0
temp_vcf4_19VR003537.vcf	1753	1701	52	0	0	0	2618	777.999999999998	0	0	0.00611153552330023	0.0257069408740361	0	*	*	0	18	0	18	*	0
temp_vcf4_19VR003544.vcf	1753	1701	52	5.15753616067493e-05	5.31520334489309e-05	0	2618.0602018129	777.939798187102	3.37308454945106e-05	0.000118921584737248	0.00612864110174435	0.0257697283826013	0.00903108171630109	0.0441320370315281	0.0461787801314828	5.15178648961842e-05	20	0.00451554085815055	20	*	0
temp_vcf4_19VR003571.vcf	1753	1701	52	8.31862840974375e-05	8.57293098311628e-05	0	2612.62315189684	783.376848103162	3.80750161487984e-05	0.000245316725675191	0.00155028955638851	0.012894335108274	0.0291388586506804	0.024841844265888	0.096010604721626	8.31114051645191e-05	10	0.0145694293253402	10	*	0
temp_vcf4_19VR003795.vcf	1753	1701	52	7.74976772744811e-05	7.98668008595916e-05	0	2611.36271720507	784.637282794933	0.000104047919017216	0	0.00158452000936558	0.0331363300853946	0.0135801263714442	0.0271602527428884	*	7.74679199740115e-05	20	0.00679006318572211	20	*	0
temp_vcf4_19VR003797.vcf	1753	1701	52	0	0	0	2618	777.999999999998	0	0	0.00611153552330023	0.0257069408740361	0	*	*	0	18	0	18	*	0
