file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_17VR013816.vcf	HA	0.0370239835852197	0	0.0188644349916775	1	1323.52200850749	374.477991492509	2.79738329602625e-05	0	1.42532083867275e-05	0.0026703839016398	0.0185085680841223	0.0370171361682445	*
temp_vcf4_17VR013816.vcf	HA_antigenic	0	0	0	0	319.333333333333	82.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR013816.vcf	HA_nonantigenic	0.0370239835852197	0	0.0188644349916775	1	1006.18867517415	292.811324825844	3.67962634630245e-05	0	1.87484071895486e-05	0.00341516845564212	0.0185085680841223	0.0370171361682445	*
temp_vcf4_17VR013817.vcf	HA	0	0	0	1	1323.5	374.499999999999	0	0	0	0.0026702269692924	0	*	*
temp_vcf4_17VR013817.vcf	HA_antigenic	0	0	0	0	319.333333333333	82.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR013817.vcf	HA_nonantigenic	0	0	0	1	1006.16666666666	292.833333333334	0	0	0	0.00341491178144564	0	*	*
temp_vcf4_17VR013818.vcf	HA	0.0413763424371839	0.0909797199973485	0.0211228460255698	1.04651552145099	1323.48941537041	374.51058462959	3.12630701512666e-05	0.00024292963598701	1.5959965965922e-05	0.00279435499129097	0.0330500012150272	0.0413533428026998	0.0454233310287044
temp_vcf4_17VR013818.vcf	HA_antigenic	0.0413763424371839	0	0.0211228460255698	0	319.319251435983	82.680748564017	0.000129576723768185	0	6.61496165063022e-05	0	0.0413533428026998	0.0413533428026998	*
temp_vcf4_17VR013818.vcf	HA_nonantigenic	0	0.0909797199973485	0	1.04651552145099	1006.17016393442	292.829836065574	0	0.000310691428236073	0	0.00357380086507525	0.030282220685803	*	0.0454233310287044
temp_vcf4_17VR013863.vcf	HA	0.499270116413497	0	0.522826766729206	1	1323.5	374.499999999999	0.000377234693172268	0	0.000395033446716438	0.0026702269692924	0.24947893872069	0.498957877441381	*
temp_vcf4_17VR013863.vcf	HA_antigenic	0	0	0	0	319.333333333333	82.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR013863.vcf	HA_nonantigenic	0.499270116413497	0	0.522826766729206	1	1006.16666666666	292.833333333334	0.000496210153798408	0	0.000519622428420614	0.00341491178144564	0.24947893872069	0.498957877441381	*
temp_vcf4_17VR013864.vcf	HA	0.2850398561973	0	0.162943415337167	1.0002740476843	1323.436343345	374.563656654997	0.000215378591974328	0	0.00012312146039856	0.00267050481249874	0.0949671269673955	0.142450690451093	*
temp_vcf4_17VR013864.vcf	HA_antigenic	0.243168086124834	0	0.141567695961995	0	319.262549485352	82.7374505146477	0.000761655529334143	0	0.000443420927979811	0	0.243052566844015	0.243052566844015	*
temp_vcf4_17VR013864.vcf	HA_nonantigenic	0.0418717700724659	0	0.0213757193751713	1.0002740476843	1006.17379385965	292.826206140351	4.16148485758581e-05	0	2.12445598420674e-05	0.00341593076954617	0.0209244070290859	0.0418488140581719	*
temp_vcf4_17VR014028.vcf	HA	0.104656544680118	0	1	1	1323.38922558923	374.444612794612	7.90822100229208e-05	0	0.000755635591301387	0.00267062194468936	0.0348796419110673	0.104638925733202	*
temp_vcf4_17VR014028.vcf	HA_antigenic	0.104656544680118	0	0	0	319.222558922559	82.6112794612795	0.000327848210456538	0	0	0	0.104638925733202	0.104638925733202	*
temp_vcf4_17VR014028.vcf	HA_nonantigenic	0	0	1	1	1006.16666666666	292.833333333334	0	0	0.000993871128043733	0.00341491178144564	0	*	*
temp_vcf4_17VR014029.vcf	HA	0	0	0	1	1323.5	374.499999999999	0	0	0	0.0026702269692924	0	*	*
temp_vcf4_17VR014029.vcf	HA_antigenic	0	0	0	0	319.333333333333	82.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014029.vcf	HA_nonantigenic	0	0	0	1	1006.16666666666	292.833333333334	0	0	0	0.00341491178144564	0	*	*
temp_vcf4_17VR014030.vcf	HA	0.441862326147149	0	0.327683615819209	1	1323.5	374.499999999999	0.000333858954399054	0	0.000247588678367366	0.0026702269692924	0.220307063742858	0.440614127485716	*
temp_vcf4_17VR014030.vcf	HA_antigenic	0.441862326147149	0	0.327683615819209	0	319.333333333333	82.6666666666667	0.0013837024827155	0	0.00102614911008103	0	0.440614127485716	0.440614127485716	*
temp_vcf4_17VR014030.vcf	HA_nonantigenic	0	0	0	1	1006.16666666666	292.833333333334	0	0	0	0.00341491178144564	0	*	*
temp_vcf4_17VR014031.vcf	HA	0.0470994102533054	0.0732713613710926	0.023819103832405	1.0380658436214	1323.4786759775	374.5213240225	3.55875852843028e-05	0.000195640025470728	1.79973461339017e-05	0.0027717135902228	0.0300739571302426	0.0235310790896949	0.0732336703415808
temp_vcf4_17VR014031.vcf	HA_antigenic	0	0	0	0	319.333333333333	82.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014031.vcf	HA_nonantigenic	0.0470994102533054	0.0732713613710926	0.023819103832405	1.0380658436214	1006.14534264416	292.854657355835	4.68117360952321e-05	0.000250197015928156	2.36736213177791e-05	0.00354464515945905	0.0300739571302426	0.0235310790896949	0.0732336703415808
temp_vcf4_17VR014077.vcf	HA	0.0913907823095267	0.0806003275462732	0.0463983863390971	1.04203152364273	1323.48230691468	374.517693085319	6.90532709293093e-05	0.000215211000800199	3.50578062862522e-05	0.00278232922738138	0.0343660126328962	0.0304334379461587	0.0805297493260049
