file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_19VR002740.vcf	NEP	0	0	0	0	288.833333333333	74.1666666666667	0	0	0	0	*	*	*
temp_vcf4_19VR002740.vcf	NS1	0.0244116413014456	0	0.0123456790123457	1	532.666666666667	157.333333333333	4.58291138325011e-05	0	2.31771195475826e-05	0.00635593220338983	0.0121932632220698	0.0243865264441396	*
temp_vcf4_19VR002744.vcf	NEP	0	0	0	0	288.833333333333	74.1666666666667	0	0	0	0	*	*	*
temp_vcf4_19VR002744.vcf	NS1	0.0816131344908766	0	0.0204918032786885	1	532.603326935381	157.333333333333	0.000153234368550571	0	3.84747939833555e-05	0.00635593220338983	0.0271595759846125	0.0407393639769188	*
temp_vcf4_19VR003000.vcf	NEP	0.0463334193696407	0	0.0236886632825719	0	288.825437112239	74.1745628877609	0.000160420148006684	0	8.20172333829668e-05	0	0.0462550210289137	0.0462550210289137	*
temp_vcf4_19VR003000.vcf	NS1	0.102445762311252	0	0.0525134969854544	1	532.66048250238	157.339517497621	0.000192328444997408	0	9.85871839764644e-05	0.00635568238611842	0.0340809821195603	0.0511214731793405	*
temp_vcf4_19VR003002.vcf	NEP	0	0	0	2	288.166666666667	74.8333333333333	0	0	0	0.0267260579064588	0	*	*
temp_vcf4_19VR003002.vcf	NS1	0	0	2	2	532	158	0	0	0.0037593984962406	0.0126582278481013	0	*	*
temp_vcf4_19VR003004.vcf	NEP	0	0	0	0	288.833333333333	74.1666666666667	0	0	0	0	*	*	*
temp_vcf4_19VR003004.vcf	NS1	0	0	0	1	532.666666666667	157.333333333333	0	0	0	0.00635593220338983	0	*	*
temp_vcf4_19VR003005.vcf	NEP	0	0	0	0	288.833333333333	74.1666666666667	0	0	0	0	*	*	*
temp_vcf4_19VR003005.vcf	NS1	0	0	0	0	532.666666666667	157.333333333333	0	0	0	0	*	*	*
temp_vcf4_19VR003124.vcf	NEP	0	0	0	0	288.833333333333	74.1666666666667	0	0	0	0	*	*	*
temp_vcf4_19VR003124.vcf	NS1	0	0	0	2	532.666666666667	157.333333333333	0	0	0	0.0127118644067797	0	*	*
temp_vcf4_19VR003216.vcf	NEP	0	0	0	0	288.833333333333	74.1666666666667	0	0	0	0	*	*	*
temp_vcf4_19VR003216.vcf	NS1	0	0	0	1	532.666666666667	157.333333333333	0	0	0	0.00635593220338983	0	*	*
temp_vcf4_19VR003219.vcf	NEP	0	0	0	0	288.833333333333	74.1666666666667	0	0	0	0	*	*	*
temp_vcf4_19VR003219.vcf	NS1	0.0258479134816828	0.500792128741766	0.0130796670630202	1.50837988826816	532.666666666667	157.333333333333	4.85254946464633e-05	0.00318300081827393	2.45550695801381e-05	0.00958716030678912	0.175225577896769	0.0258171787450816	0.499859554945226
temp_vcf4_19VR003231.vcf	NEP	0	0	0	0	288.833333333333	74.1666666666667	0	0	0	0	*	*	*
temp_vcf4_19VR003231.vcf	NS1	0	0	0	1	532.666666666667	157.333333333333	0	0	0	0.00635593220338983	0	*	*
temp_vcf4_19VR003237.vcf	NEP	0	0	0	0	288.833333333333	74.1666666666667	0	0	0	0	*	*	*
temp_vcf4_19VR003237.vcf	NS1	0	0	0	0	532.666666666667	157.333333333333	0	0	0	0	*	*	*
temp_vcf4_19VR003316.vcf	NEP	0.137095229522141	0	0.0710825867125631	0	288.869339667322	74.1306603326774	0.00047459252574201	0	0.000246071759621238	0	0.0684962479419907	0.0684962479419907	*
temp_vcf4_19VR003316.vcf	NS1	0.393539264532992	0	0.242786207533661	1	532.646623093682	157.353376906318	0.000738837434558889	0	0.000455811033070156	0.00635512258879172	0.13108808166352	0.19663212249528	*
temp_vcf4_19VR003317.vcf	NEP	0	0	0	0	288.833333333333	74.1666666666667	0	0	0	0	*	*	*
temp_vcf4_19VR003317.vcf	NS1	0	0	0	0	532.666666666667	157.333333333333	0	0	0	0	*	*	*
temp_vcf4_19VR003373.vcf	NEP	0	0.150826830174656	0	0.0817307692307692	288.833333333333	74.1666666666667	0	0.0020336201821302	0	0.00110198789974071	0.150101701183432	*	0.150101701183432
