file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_17VR013816.vcf	NEP	0.0250748371192111	0.17623941119289	0.0126782884310618	0.0973684210526316	288.162440570523	74.837559429477	8.70163268660771e-05	0.00235495936180239	4.39970192019491e-05	0.00130106355411532	0.10040536106787	0.0250350988670411	0.175775623268698
temp_vcf4_17VR013816.vcf	NS1	0	0	0	1	531.666666666667	158.333333333333	0	0	0	0.0063157894736842	0	*	*
temp_vcf4_17VR013817.vcf	NEP	0.0358197972609359	0	0.0182119205298013	0	288.166666666667	74.8333333333333	0.000124302361807759	0	6.31992615262047e-05	0	0.0357604929608351	0.0357604929608351	*
temp_vcf4_17VR013817.vcf	NS1	0.0249732589701579	0	0.0126426148627814	1	531.670880871621	158.329119128379	4.69712746525007e-05	0	2.37790244258912e-05	0.00631595757940877	0.0124827791522127	0.0249655583044255	*
temp_vcf4_17VR013818.vcf	NEP	0	0.0780233716822176	0	0.0406015037593985	288.166666666667	74.8333333333333	0	0.00104262857481805	0	0.000542559070281494	0.0779060433037482	*	0.0779060433037482
temp_vcf4_17VR013818.vcf	NS1	0	0.0317591166453348	0	1.01612903225806	531.655913978495	158.344086021506	0	0.000200570273530907	0	0.00641722124134184	0.0158688865764828	*	0.0317377731529656
temp_vcf4_17VR013863.vcf	NEP	0	0	0	0	288.166666666667	74.8333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR013863.vcf	NS1	0	0	0	0	531.666666666667	158.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR013864.vcf	NEP	0	0	0	0	288.166666666667	74.8333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR013864.vcf	NS1	0	0	0	1	531.666666666667	158.333333333333	0	0	0	0.0063157894736842	0	*	*
temp_vcf4_17VR014028.vcf	NEP	0	0	0	0	288.166666666667	74.8333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014028.vcf	NS1	0.108755558531853	0.0265814995341642	0.0562565655507669	1.01346389228886	531.639409426463	158.360590573538	0.000204566397079516	0.000167854258675681	0.0001058171470235	0.00639972286424532	0.0338156346456733	0.054348653398051	0.0265652317865912
temp_vcf4_17VR014029.vcf	NEP	0	0	0	0	288.166666666667	74.8333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014029.vcf	NS1	0	0	0	1	531.666666666667	158.333333333333	0	0	0	0.0063157894736842	0	*	*
temp_vcf4_17VR014030.vcf	NEP	0	0	0	0	288.166666666667	74.8333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014030.vcf	NS1	0.112002472401986	0	0.0575101214574899	1	531.651599190284	158.348400809717	0.000210668927870372	0	0.000108172573063034	0.00631518850134568	0.0372147603905435	0.0558221405858152	*
temp_vcf4_17VR014031.vcf	NEP	0.0597515810956258	0	0.0303146411828345	0	288.156073446328	74.8439265536723	0.000207358395681205	0	0.000105202159441838	0	0.0298540793062553	0.0298540793062553	*
temp_vcf4_17VR014031.vcf	NS1	0.0398508980006777	0.0284437284076664	0.0203320908166723	1.01442481067436	531.666666666667	158.333333333333	7.49546670859142e-05	0.000179644600469472	3.82421770846501e-05	0.00640689354110121	0.0227569549407091	0.0398373937993899	0.0284334710227374
temp_vcf4_17VR014077.vcf	NEP	0.170423936256573	0	0.0871375246694935	0	288.12714213594	74.8728578640599	0.000591488656685339	0	0.000302427338235221	0	0.0425609969305947	0.0425609969305947	*
temp_vcf4_17VR014077.vcf	NS1	0.31902657777078	0.240622016630469	0.175315298683483	0.860258481421648	531.718852157765	158.281147842236	0.000599991097694093	0.00152021905268406	0.000329714280342022	0.0054350027981797	0.111850189760053	0.0797058239181821	0.240427653127536
temp_vcf4_17VR014149.vcf	NEP	0	0	0	0	288.166666666667	74.8333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014149.vcf	NS1	0	0.0270342997678304	1	1.01369863013699	531.666666666667	158.333333333333	0	0.000170742945902087	0.00188087774294671	0.00640230713770728	0.00900731844623759	*	0.0270219553387128
temp_vcf4_17VR014170.vcf	NEP	0	0.34279343587258	0	0.219567690557452	288.166666666667	74.8333333333333	0	0.00458075860854228	0	0.00293408940611294	0.342715439641438	*	0.342715439641438
temp_vcf4_17VR014170.vcf	NS1	0.34279343587258	0.290612804225562	0.219567690557452	1.16743784906261	531.666666666667	158.333333333333	0.000644752543960966	0.00183544928984565	0.000412979982239721	0.00737329167829015	0.158310728363199	0.342715439641438	0.14526373690568
temp_vcf4_17VR014171.vcf	NEP	0.083146718717653	0	0.0434448289119569	0	288.152185057029	74.8478149429707	0.000288551408004063	0	0.000150770430227203	0	0.0831147515055353	0.0831147515055353	*
temp_vcf4_17VR014171.vcf	NS1	0.148193248144571	0	0.076548596842204	1	531.668629458953	158.331370541048	0.000278732353073715	0	0.000143978020520231	0.0063158677688623	0.0370338051097805	0.0493784068130406	*
temp_vcf4_17VR014172.vcf	NEP	0.0365375580611992	0	0.0186011904761905	0	288.160466269841	74.8395337301587	0.000126795873612255	0	6.45515004781115e-05	0	0.0365103723781179	0.0365103723781179	*
temp_vcf4_17VR014172.vcf	NS1	0.0720274453948217	0	0.0367389870171901	1	531.66464186282	158.335358137181	0.000135475334869845	0	6.9101806146946e-05	0.00631570870691818	0.0239911446350479	0.0359867169525718	*
temp_vcf4_17VR014174.vcf	NEP	0	0.0645607042385338	0	0.0333827893175074	288.172230464886	74.8277695351138	0	0.000862790707776449	0	0.000446128349473816	0.0645367573897806	*	0.0645367573897806
temp_vcf4_17VR014174.vcf	NS1	0.0871159935391635	0.0221044066367857	0.0456247871978209	1.01117318435754	531.719740243437	158.280259756564	0.000163838178171228	0.000139653590857018	8.58060811827911e-05	0.00638849838831913	0.0363943401998859	0.087086331981949	0.0220966886177085
temp_vcf4_17VR014176.vcf	NEP	0	0.0278033715045487	0	0.0140924464487035	288.166666666667	74.8333333333333	0	0.000371537258412677	0	0.00018831776991586	0.0277876988035877	*	0.0277876988035877
temp_vcf4_17VR014176.vcf	NS1	0.0215864796079659	0.10772376872922	0.0109075043630017	1.05601238408618	531.673938336242	158.326061663758	4.06009737387469e-05	0.000680391892511017	2.05154015958247e-05	0.00666985822162912	0.0323124236878796	0.0215770614231456	0.0538363166641864
temp_vcf4_17VR014177.vcf	NEP	0.0265073295002577	0	0.0134303301622832	0	288.182335385189	74.8176646148107	9.19811044796607e-05	0	4.66035856928287e-05	0	0.0264999127880303	0.0264999127880303	*
temp_vcf4_17VR014177.vcf	NS1	0	0.125909334740316	0	1.06586991064564	531.666666666667	158.333333333333	0	0.00079521685099147	0	0.00673180996197245	0.0419597515174006	*	0.0629396272761009
temp_vcf4_17VR014303.vcf	NEP	0	0	0	0	288.166666666667	74.8333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014303.vcf	NS1	0	0	0	1	531.666666666667	158.333333333333	0	0	0	0.0063157894736842	0	*	*
temp_vcf4_17VR014305.vcf	NEP	0	0	0	0	288.166666666667	74.8333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014305.vcf	NS1	0	0.053355767035504	0	1.02742279020234	531.684948526802	158.315051473199	0	0.0003370227059209	0	0.00648973537665354	0.0266707807798612	*	0.0533415615597224
