file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_17VR013816.vcf	M1	0	0	0	0	579.666666666667	176.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR013816.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR013817.vcf	M1	0	0	0	0	579.666666666667	176.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR013817.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR013818.vcf	M1	0.0539026267908832	0.0221659508088125	0.027316300720556	0.0112058465286236	579.648341374937	176.351658625063	9.2991945190467e-05	0.000125691762593166	4.71256428609133e-05	6.35426205570774e-05	0.0253489514611973	0.0269431516595954	0.0221605510644012
temp_vcf4_17VR013818.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR013863.vcf	M1	0.0965039460482837	0.0217688844422211	0.0498251597603767	0.011	579.660276610644	176.339723389356	0.000166483628328917	0.000123448557272349	8.59557947487992e-05	6.2379592008955e-05	0.0394015181411701	0.0482232772117551	0.0217579999999999
temp_vcf4_17VR013863.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR013864.vcf	M1	0.104765406869803	0.148522170859591	0.0539097070749155	0.080775215730655	579.666826948932	176.333173051068	0.000180733831917266	0.00084228150772616	9.30011940801727e-05	0.000458082925254578	0.0844147479590203	0.0523715416842094	0.148501160508642
temp_vcf4_17VR013864.vcf	M2	0	0.10519240583453	0	0.0556884181756064	227.333333333333	63.6666666666667	0	0.00165223674085649	0	0.000874687196475493	0.10517443651341	*	0.10517443651341
temp_vcf4_17VR014028.vcf	M1	0.0332175281084993	0	0.0168925367436534	0	579.677928357829	176.322071642171	5.73034205435444e-05	0	2.91412453662127e-05	0	0.0332143578920352	0.0332143578920352	*
temp_vcf4_17VR014028.vcf	M2	0	0.0294624008665412	1	0.0149532710280374	228	63.0000000000001	0	0.000467657156611765	0.00438596491228071	0.000237353508381546	0.0147296707135994	*	0.0294593414271989
temp_vcf4_17VR014029.vcf	M1	0	0	0	0	579.666666666667	176.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014029.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014030.vcf	M1	0.0507798922488703	0.029100140943387	0.0260416666666667	0.0147523709167545	579.675347222222	176.324652777778	8.7600572444913e-05	0.000165037279160628	4.49245716442094e-05	8.36659575637838e-05	0.0398982367329779	0.0507269965277777	0.0290694769381781
temp_vcf4_17VR014030.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014031.vcf	M1	0.0479102832576209	0	0.0242458487720109	0	579.690614126592	176.309385873408	8.26480230834965e-05	0	4.18254982591733e-05	0	0.0239515175191076	0.0239515175191076	*
temp_vcf4_17VR014031.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014077.vcf	M1	0	0	0	0	579.666666666667	176.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014077.vcf	M2	0	0.0405557444991063	0	0.0206980519480519	227.333333333333	63.6666666666667	0	0.000637001222499051	0	0.000325100292377779	0.0405392851872155	*	0.0405392851872155
temp_vcf4_17VR014149.vcf	M1	0.0230656516022536	0	0.0116671783850169	0	579.666666666667	176.333333333333	3.97912333563891e-05	0	2.01273922685743e-05	0	0.0230621106670981	0.0230621106670981	*
temp_vcf4_17VR014149.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014170.vcf	M1	0.147308674905783	0	0.0800539414000245	0	579.6132973724	176.3867026276	0.000254149923015203	0	0.000138116122875266	0	0.147290615732692	0.147290615732692	*
temp_vcf4_17VR014170.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014171.vcf	M1	0	0	0	0	579.666666666667	176.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014171.vcf	M2	0.045640131454325	0	0.0233589591957422	0	227.333333333333	63.6666666666667	0.00020076304158794	0	0.00010275201992262	0	0.0456266364420677	0.0456266364420677	*
temp_vcf4_17VR014172.vcf	M1	0.146920792527591	0	0.0754376716941736	0	579.666666666667	176.333333333333	0.000253457376413325	0	0.000130139744153261	0	0.0489557218763648	0.0489557218763648	*
temp_vcf4_17VR014172.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014174.vcf	M1	0	0.0500905589776309	0	0.0253609635185772	579.666666666667	176.333333333333	0	0.000284067442217188	0	0.000143823989708377	0.0250387853262732	*	0.0250387853262732
temp_vcf4_17VR014174.vcf	M2	0	0.045634172699664	0	0.0230777305727865	227.333333333333	63.6666666666667	0	0.000716767110465927	0	0.00036247744355162	0.0228107222478516	*	0.0228107222478516
temp_vcf4_17VR014176.vcf	M1	0	0	0	0	579.666666666667	176.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014176.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014177.vcf	M1	0.0532907088698605	0.0263500621701908	0.0270122880049243	0.0133514986376022	579.671943313734	176.328056686266	9.1932530950559e-05	0.000149437716636749	4.65992675969562e-05	7.57196494336578e-05	0.026539928138778	0.0266366560864347	0.0263464722434645
temp_vcf4_17VR014177.vcf	M2	0.0311728072922103	0	0.0158299412030755	0	227.338609980401	63.661390019599	0.000137120603028662	0	6.96315562254922e-05	0	0.0311587083291656	0.0311587083291656	*
temp_vcf4_17VR014303.vcf	M1	0	0	0	0	579.666666666667	176.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014303.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014305.vcf	M1	0	0	0	0	579.666666666667	176.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014305.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014310.vcf	M1	0.347518558932154	0	0.223860683940734	0	579.666666666667	176.333333333333	0.000599514477743797	0	0.000386188643946063	0	0.347494156252642	0.347494156252642	*
temp_vcf4_17VR014310.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014358.vcf	M1	0.0720293579858906	0	0.036445104763047	0	579.674468352837	176.325531647163	0.000124258289640674	0	6.28716749706207e-05	0	0.0240012328466426	0.0240012328466426	*
temp_vcf4_17VR014358.vcf	M2	0.0233250096762127	0.0275493090545865	0.0117970900511207	0.0139643134212568	227.339231878359	63.6607681216412	0.000102600019730396	0.000432751753826566	5.18920115707655e-05	0.000219355088436479	0.0254272300893762	0.023315837434893	0.0275386227438594
temp_vcf4_17VR014360.vcf	M1	0.0598410804317836	0	0.0303840125581407	0	579.666666666667	176.333333333333	0.000103233606265297	0	5.24163528892593e-05	0	0.0299143396267055	0.0299143396267055	*
temp_vcf4_17VR014360.vcf	M2	0	0	0	0	227.333333333333	63.6666666666667	0	0	0	0	*	*	*
temp_vcf4_17VR014361.vcf	M1	0.0433500266612801	0	0.0218991047237088	0	579.670232491798	176.329767508202	7.47839447869069e-05	0	3.77785566624187e-05	0	0.0216591922442653	0.0216591922442653	*
