file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_18VR001131.vcf	NP	0.214278661005234	0	2.12145748987854	3	1299	380.999999999999	0.000164956628949371	0	0.00163314664347848	0.00787401574803152	0.0355685226769821	0.213411136061893	*
temp_vcf4_18VR001132.vcf	NP	0.0504252640029588	0.0253377180410381	0.0255376403623397	4.01282916948008	1299.32839951865	380.671600481347	3.88087138106419e-05	6.6560568240445e-05	1.96544925607724e-05	0.0105414461294354	0.0108193924559155	0.0252032917051717	0.0253291637810649
temp_vcf4_18VR001736.vcf	NP	0.0257950028392959	0	2.01306076093129	3	1299	380.999999999999	1.98575849417212e-05	0	0.00154970035483548	0.00787401574803152	0.00429672581839491	0.0257803549103695	*
temp_vcf4_18VR001742.vcf	NP	0	0	0	4	1299.33333333334	380.666666666666	0	0	0	0.010507880910683	0	*	*
temp_vcf4_18VR002048.vcf	NP	0	0	0	11	1300	379.999999999999	0	0	0	0.0289473684210527	0	*	*
temp_vcf4_18VR002388.vcf	NP	0	0	0	3	1299.33333333334	380.666666666666	0	0	0	0.00788091068301228	0	*	*
temp_vcf4_18VR002752.vcf	NP	0.0560290066853467	0.0481001899810019	0.0284240169808545	11.0246350364964	1300	379.999999999999	4.30992359118051e-05	0.000126579447318426	2.18646284468111e-05	0.0290121974644642	0.00743141472669237	0.0279917516136728	0.0480563029463477
temp_vcf4_18VR002834.vcf	NP	0.0255983609607263	0.154052701216049	0.0129573170731707	1.08230225050372	1299.34774897896	380.652251021043	1.97009314718418e-05	0.000404707185634199	9.97217033188593e-06	0.00284328346305744	0.044884235478394	0.0255788500148721	0.0769790459493519
temp_vcf4_18VR002905.vcf	NP	0	0.238697498820198	0	3.86196319018405	1299.62065439673	380.379345603271	0	0.000627524868474734	0	0.0101529255855338	0.0594913244758929	*	0.237965297903572
temp_vcf4_18VR003297.vcf	NP	0.125209089689924	0	0.0635627565522989	1	1299.34916524174	380.650834758259	9.63629277174542e-05	0	4.89189189885486e-05	0.00262707948778064	0.0250120095705834	0.0312650119632292	*
temp_vcf4_18VR003323.vcf	NP	0.0892355767325216	0.158684207902561	0.0453177433160214	1.08051511970174	1299.33668352811	380.663316471894	6.86777937264259e-05	0.000416862358509603	3.487759861668e-05	0.00283850603130423	0.0247730167655318	0.0297195901345213	0.0264285662086257
temp_vcf4_18VR003908.vcf	NP	0.124979000120626	0	0.064306784660767	1	1299.33333333334	380.666666666666	9.61870190769311e-05	0	4.94921380149565e-05	0.00262697022767076	0.041490879241682	0.062236318862523	*
temp_vcf4_18VR004171.vcf	NP	0.168595969583686	0.0338169442951818	0.0858386786786394	1.01719505642128	1299.31919924163	380.680800758375	0.000129757160274466	8.88328075064812e-05	6.60643502603062e-05	0.00267204191646878	0.0289012595766177	0.0337020088248856	0.0337987729118958
temp_vcf4_18VR004742.vcf	NP	0.120983731521989	0.0330488298342853	2.06328237225528	4.01679731243001	1299.00378787879	380.996212121211	9.31357803964139e-05	8.67431979186478e-05	0.00158835747170878	0.0105428799149113	0.0171050772472072	0.0604576848872925	0.0330303254502795
temp_vcf4_18VR005254.vcf	NP	0.0222088137506101	0	0.0112249877989263	2	1299.32959167074	380.670408329265	1.70925174743792e-05	0	8.63906115190736e-06	0.00525388881362713	0.00739932496522688	0.0221979748956806	*
