file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_17VR013816.vcf	NA	0.0208747382321164	0.0289417000445038	0.0105374077976818	3.01466666666667	1087.5	319.5	1.91951615927508e-05	9.05843506870228e-05	9.6895703886729e-06	0.00943557642149191	0.00995117055605705	0.0208527416691742	0.0289031111111111
temp_vcf4_17VR013817.vcf	NA	0.0570618956056628	0	0.0289537627214142	3	1087.49869235013	319.501307649869	5.2470771695688e-05	0	2.66241816427788e-05	0.00938963293160477	0.0114039400822685	0.0285098502056713	*
temp_vcf4_17VR013818.vcf	NA	0.0211313363404368	0.0374141551733924	0.0106692531522793	3.01904761904762	1087.49466537342	319.505334626576	1.94312091941901e-05	0.000117100251916358	9.81085562255678e-06	0.00944913055231503	0.0116960909782751	0.0211108403789038	0.0373696145124718
temp_vcf4_17VR013863.vcf	NA	0.150600031317168	0.0383420335507413	0.0776089851170468	3.0195394277739	1087.50339922386	319.496600776134	0.000138482354560591	0.000120007641576152	7.13643609504441e-05	0.00945092818026456	0.026970263222278	0.0501588551612024	0.0383152770723389
temp_vcf4_17VR013864.vcf	NA	0	0.0523220617486811	0	3.02680965147453	1087.5	319.5	0	0.000163762321592116	0	0.0094735826337231	0.0130454470311725	*	0.05218178812469
temp_vcf4_17VR014028.vcf	NA	0.919984633387811	0	0.30718954248366	3	1085.96854030501	319.704793028323	0.000847155879054674	0	0.000282871493125742	0.00938365662767599	0.183794342346961	0.459485855867401	*
temp_vcf4_17VR014029.vcf	NA	0	0	0	3	1087.5	319.5	0	0	0	0.00938967136150234	0	*	*
temp_vcf4_17VR014030.vcf	NA	0	0	0	3	1087.5	319.5	0	0	0	0.00938967136150234	0	*	*
temp_vcf4_17VR014031.vcf	NA	0.134962319463928	0.0272471738178531	0.0692538375392113	3.01380368098159	1087.48003733354	319.519962666454	0.000124105560406286	8.52753411413494e-05	6.36828586840259e-05	0.00943228603255595	0.0231575916292009	0.0449589542194997	0.027226278745907
temp_vcf4_17VR014077.vcf	NA	0.608440672491483	0	0.361466938618724	3	1087.3547008547	319.645299145299	0.00055956043783434	0	0.000332427806983865	0.00938540315788066	0.101189850783825	0.20237970156765	*
