file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_18VR002051.vcf	HA	0.288884230984912	0	0.137445943996127	4	1304.96241217272	393.002688498419	0.000221373603017369	0	0.000105325596135205	0.0101780474207013	0.0288744863055507	0.0481241438425844	*
temp_vcf4_18VR002051.vcf	HA_antigenic	0	0	0	0	69.5	20.5	0	0	0	0	*	*	*
temp_vcf4_18VR002051.vcf	HA_nonantigenic	0.288884230984912	0	0.137445943996127	4	1235.46241217272	372.50268849842	0.000233826806982231	0	0.000111250607579725	0.0107381775313468	0.0288744863055507	0.0481241438425844	*
temp_vcf4_18VR002899.vcf	HA	0	0.147553263039139	5	13.0801874511846	1306	391.999999999999	0	0.000376411385303927	0.00382848392036753	0.033367825130573	0.00776393935337967	*	0.147514847714214
temp_vcf4_18VR002899.vcf	HA_antigenic	0	0	0	0	69.5	20.5	0	0	0	0	*	*	*
temp_vcf4_18VR002899.vcf	HA_nonantigenic	0	0.147553263039139	5	13.0801874511846	1236.5	371.499999999999	0	0.000397182403873861	0.00404367165386171	0.035209118307361	0.00776393935337967	*	0.147514847714214
temp_vcf4_18VR003450.vcf	HA	0.0239348256154748	0	5.012109375	13	1306.00807291667	391.991927083332	1.83267057163145e-05	0	0.0038377323072794	0.033163948290283	0.00125923558285362	0.0239254760742187	*
temp_vcf4_18VR003450.vcf	HA_antigenic	0	0	0	0	69.5	20.5	0	0	0	0	*	*	*
temp_vcf4_18VR003450.vcf	HA_nonantigenic	0.0239348256154748	0	5.012109375	13	1236.50807291667	371.491927083332	1.93567887988127e-05	0	0.00405343845687758	0.0349940309660723	0.00125923558285362	0.0239254760742187	*
temp_vcf4_18VR003775.vcf	HA	0.184520050927714	0.0422166035315317	0.094706168474294	2.02156812991627	1305.00466868181	392.995331318189	0.000141394169197952	0.000107422659169839	7.25715169815883e-05	0.0051440003705273	0.032380337919207	0.0461141185145222	0.0422058913763601
temp_vcf4_18VR003775.vcf	HA_antigenic	0	0	0	0	69.5	20.5	0	0	0	0	*	*	*
temp_vcf4_18VR003775.vcf	HA_nonantigenic	0.184520050927714	0.0422166035315317	0.094706168474294	2.02156812991627	1235.50466868181	372.49533131819	0.00014934791879385	0.000113334584307769	7.66538329436977e-05	0.00542709655651877	0.032380337919207	0.0461141185145222	0.0422058913763601
temp_vcf4_18VR003821.vcf	HA	0.0354026852449565	0	0.018018018018018	3	1305.01201201201	392.987987987987	2.71282447357509e-05	0	1.38067832726218e-05	0.00763382111336112	0.0088466845223602	0.0353867380894408	*
temp_vcf4_18VR003821.vcf	HA_antigenic	0	0	0	0	69.5	20.5	0	0	0	0	*	*	*
temp_vcf4_18VR003821.vcf	HA_nonantigenic	0.0354026852449565	0	0.018018018018018	3	1235.51201201201	372.487987987987	2.86542622821642e-05	0	1.45834422027803e-05	0.00805395099102297	0.0088466845223602	0.0353867380894408	*
temp_vcf4_18VR003996.vcf	HA	0.0255783181887647	0.0224472094639445	0.0129509713228492	3.01134681795757	1305.00863398088	392.991366019117	1.96001141469378e-05	5.71188362007236e-05	9.92405029792235e-06	0.00766262844006371	0.00960052453778175	0.0255664873292878	0.022436135359621
temp_vcf4_18VR003996.vcf	HA_antigenic	0	0	0	0	69.5	20.5	0	0	0	0	*	*	*
temp_vcf4_18VR003996.vcf	HA_nonantigenic	0.0255783181887647	0.0224472094639445	0.0129509713228492	3.01134681795757	1235.50863398088	372.491366019117	2.07026624381813e-05	6.02623617933536e-05	1.04822993272984e-05	0.00808433991407743	0.00960052453778175	0.0255664873292878	0.022436135359621
temp_vcf4_18VR003998.vcf	HA	0.0315838119759688	0.0218401181011328	0.0160427807486631	3.01103974307507	1305.01069518717	392.989304812833	2.42019564226169e-05	5.55743320076724e-05	1.22932178317222e-05	0.00766188724781994	0.010681310832968	0.0315708198690268	0.0218357342958134
temp_vcf4_18VR003998.vcf	HA_antigenic	0	0	0	0	69.5	20.5	0	0	0	0	*	*	*
temp_vcf4_18VR003998.vcf	HA_nonantigenic	0.0315838119759688	0.0218401181011328	0.0160427807486631	3.01103974307507	1235.51069518717	372.489304812833	2.55633659012432e-05	5.86328729951237e-05	1.29847364423121e-05	0.00808356026379883	0.010681310832968	0.0315708198690268	0.0218357342958134
temp_vcf4_18VR004000.vcf	HA	0.0320697053684744	0.103358037856572	0.0162966461974492	3.05465209277526	1305	392.999999999999	2.45744868723941e-05	0.000262997551797893	1.24878514922982e-05	0.00777265163556048	0.0270785228202834	0.0320621310403286	0.103330483061089
temp_vcf4_18VR004000.vcf	HA_antigenic	0	0	0	0	69.5	20.5	0	0	0	0	*	*	*
temp_vcf4_18VR004000.vcf	HA_nonantigenic	0.0320697053684744	0.103358037856572	0.0162966461974492	3.05465209277526	1235.5	372.499999999999	2.59568639162075e-05	0.000277471242567978	1.31903247247667e-05	0.0082004083027524	0.0270785228202834	0.0320621310403286	0.103330483061089
temp_vcf4_18VR004002.vcf	HA	0.110863893860804	0.0592678018053538	0.0292709965638855	3.03007349441196	1304.94658179151	392.971369476515	8.49566529448302e-05	0.000150819643385994	2.24308005954547e-05	0.00771067240457843	0.0212564296722573	0.0369368821990539	0.0296203953904485
temp_vcf4_18VR004002.vcf	HA_antigenic	0	0	0	0	69.5	20.5	0	0	0	0	*	*	*
temp_vcf4_18VR004002.vcf	HA_nonantigenic	0.110863893860804	0.0592678018053538	0.0292709965638855	3.03007349441196	1235.44658179151	372.471369476515	8.97358861927006e-05	0.000159120422835857	2.36926444212909e-05	0.00813505075214381	0.0212564296722573	0.0369368821990539	0.0296203953904485
temp_vcf4_18VR004172.vcf	HA	0.10529280295436	0.142577232776287	0.053592735672468	2.07263509631354	1305.0059487302	392.994051269796	8.06837724048786e-05	0.000362797432469037	4.10670431997761e-05	0.00527396048265027	0.0275284598741586	0.0350802997571449	0.0356288098989981
temp_vcf4_18VR004172.vcf	HA_antigenic	0	0	0	0	69.5	20.5	0	0	0	0	*	*	*
temp_vcf4_18VR004172.vcf	HA_nonantigenic	0.10529280295436	0.142577232776287	0.053592735672468	2.07263509631354	1235.5059487302	372.494051269796	8.52224168265443e-05	0.00038276378452288	4.33771571294725e-05	0.00556420992294541	0.0275284598741586	0.0350802997571449	0.0356288098989981
temp_vcf4_18VR004174.vcf	HA	0.484867260147478	0	0.265723048615062	2	1305.04560687057	392.954393129427	0.000371532808964556	0	0.00020361207854816	0.00508964916786479	0.0691040594633841	0.0967456832487378	*
temp_vcf4_18VR004174.vcf	HA_antigenic	0	0	0	0	69.5	20.5	0	0	0	0	*	*	*
temp_vcf4_18VR004174.vcf	HA_nonantigenic	0.484867260147478	0	0.265723048615062	2	1235.54560687057	372.454393129427	0.000392431697746524	0	0.00021506535018816	0.00536978496399425	0.0691040594633841	0.0967456832487378	*
temp_vcf4_18VR004175.vcf	HA	0	0	0	3	1305	392.999999999999	0	0	0	0.00763358778625957	0	*	*
