file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_17VR013816.vcf	PA	0	0	0	0	1688	459.999999999999	0	0	0	0	*	*	*
temp_vcf4_17VR013816.vcf	PA-X	0	0	0	0	595.666666666667	160.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR013817.vcf	PA	0	0	0	0	1688	459.999999999999	0	0	0	0	*	*	*
temp_vcf4_17VR013817.vcf	PA-X	0	0	0	0	595.666666666667	160.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR013818.vcf	PA	0.069618608683378	0.114761474176721	0.0354060753409021	0.058156190720685	1687.99122255044	460.008777449567	4.12434660520268e-05	0.000249476705233745	2.09752721861942e-05	0.000126424089216561	0.0306882723288498	0.0347689886909954	0.028647914147777
temp_vcf4_17VR013818.vcf	PA-X	0.0647684010047989	0.0891942143987408	0.0160213618157543	0.0452450790386104	595.719323824344	160.331259833244	0.000108723015041723	0.000556312065978332	2.68941449018338e-05	0.000282197489657778	0.0307473752151611	0.0315293555626459	0.0296845611823338
temp_vcf4_17VR013863.vcf	PA	0	0	0	0	1688	459.999999999999	0	0	0	0	*	*	*
temp_vcf4_17VR013863.vcf	PA-X	0	0	0	0	595.666666666667	160.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR013864.vcf	PA	0.12489246125369	0.143069719175867	0.0632212380508617	0.0743023418999892	1687.98639744158	460.013602558422	7.39890211455407e-05	0.000311011931778031	3.74536418934915e-05	0.00016152205388438	0.0382624104534014	0.0249619693190965	0.0715135132891636
temp_vcf4_17VR013864.vcf	PA-X	0.0782263699328377	0.111225515688309	0.0396184623930571	0.0569850207054935	595.654812971482	160.345187028518	0.000131328360367975	0.000693662951470615	6.65124523974155e-05	0.00035538965504065	0.0315575980203354	0.0260560773118168	0.037059118728854
temp_vcf4_17VR014028.vcf	PA	0	0	0	0	1688	459.999999999999	0	0	0	0	*	*	*
temp_vcf4_17VR014028.vcf	PA-X	0	0	0	0	595.666666666667	160.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014029.vcf	PA	0	0	0	0	1688	459.999999999999	0	0	0	0	*	*	*
temp_vcf4_17VR014029.vcf	PA-X	0	0	0	0	595.666666666667	160.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014030.vcf	PA	0.373160892263882	0.0532984244237692	0.247093023255814	0.0273037542662116	1688.01820250285	459.981797497155	0.000221064495460174	0.00011587072513255	0.000146380544291196	5.93583363836924e-05	0.212596320383298	0.372076122228231	0.0531165185383637
temp_vcf4_17VR014030.vcf	PA-X	0	0	0	0	595.666666666667	160.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014031.vcf	PA	0.285779628152357	0.0737914083684488	0.146711683647279	0.0376500607253581	1688.0342181626	459.965781837403	0.000169297295681259	0.000160428038959067	8.69127426853778e-05	8.18540470009731e-05	0.044920623848551	0.0475998985919718	0.0368827996182884
temp_vcf4_17VR014031.vcf	PA-X	0.0969368388318985	0	0.0497324902723735	0	595.668571660182	160.331428339818	0.000162736198355617	0	8.34902035099227e-05	0	0.0484143253257052	0.0484143253257052	*
temp_vcf4_17VR014077.vcf	PA	0.279627537411401	0.225628551657615	0.144183479640425	0.129449838187702	1687.91837304475	460.08162695525	0.000165664135112763	0.000490409828253283	8.54208840563417e-05	0.000281362763917311	0.0721124347932097	0.0465669813984514	0.22538515516176
temp_vcf4_17VR014077.vcf	PA-X	0	0	0	0	595.666666666667	160.333333333333	0	0	0	0	*	*	*
temp_vcf4_17VR014149.vcf	PA	0.0638514818032629	0.210593631857339	0.0329861111111111	0.11501421585352	1687.97800925926	460.02199074074	3.78272000304571e-05	0.00045779035806144	1.95417896028079e-05	0.000250018951633858	0.0914275127773486	0.0637960551697532	0.105243241581146
temp_vcf4_17VR014149.vcf	PA-X	0.0638514818032629	0	0.0329861111111111	0	595.644675925926	160.355324074074	0.000107197267740211	0	5.5378839842452e-05	0	0.0637960551697532	0.0637960551697532	*
temp_vcf4_17VR014170.vcf	PA	0.355140220859313	0.0301525492522879	0.218501639709921	0.0153038915609969	1688.00556043313	459.99443956687	0.000210390433055319	6.55498124731236e-05	0.000129443672954404	3.32697316415543e-05	0.128374404437417	0.17749192419204	0.0301393649281725
temp_vcf4_17VR014170.vcf	PA-X	0.0328348950996079	0	0.0166812993854258	0	595.672227099795	160.327772900205	5.51224206968222e-05	0	2.80041583718677e-05	0	0.0328060672724793	0.0328060672724793	*
temp_vcf4_17VR014171.vcf	PA	0.045657408757199	0.90194768556585	0.0230898424481829	0.726141244799861	1687.91715285927	460.08284714073	2.70495555305288e-05	0.00196040276478719	1.36794880063098e-05	0.00157828367067497	0.189485433842637	0.0228232718813403	0.300593541816834
temp_vcf4_17VR014171.vcf	PA-X	0.0228130137874105	0	0.0115361262902247	0	595.674357417527	160.325642582473	3.82977939260531e-05	0	1.93664980648791e-05	0	0.0228060881608811	0.0228060881608811	*
temp_vcf4_17VR014172.vcf	PA	0.189275376296978	0.0262539502471437	0.0969143734553272	0.0132890365448505	1687.98719909117	460.012800908836	0.000112130812602659	5.70722166758716e-05	5.74141637492909e-05	2.88884059717375e-05	0.0430328412175171	0.0472348324956163	0.0262248761051203
temp_vcf4_17VR014172.vcf	PA-X	0.107281432858866	0	0.0550396046798925	0	595.693767410314	160.306232589686	0.000180094939259235	0	9.23958041716108e-05	0	0.0535217646548543	0.0535217646548543	*
