file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_19VR001353.vcf	NA	0	0.198830409356725	8	6.89473684210526	1096.16666666666	310.833333333333	0	0.000639668877287052	0.00729816025543562	0.0221814590094539	0.0125577100646353	*	0.188365650969529
temp_vcf4_19VR001544.vcf	NA	0.0237292052306453	0	4.00020362106387	5.01179856115108	1096.66666666666	310.333333333333	2.16375731586432e-05	0	0.00364760208607648	0.0161497268350733	0.00237162596740548	0.0237162596740548	*
temp_vcf4_19VR001555.vcf	NA	0	0	3.98774710014703	5.01225289985297	1096.66666666666	310.333333333333	0	0	0.00363624355636508	0.0161511908695584	0	*	*
temp_vcf4_19VR001605.vcf	NA	0.0415451200821194	0.131383873251903	4.00626803332559	5.08534924369167	1096.67004252572	310.329957474277	3.78829716059696e-05	0.00042336832164453	0.00365312069991337	0.016386910516408	0.0144013634377755	0.0207650855892708	0.131286190074764
temp_vcf4_19VR001607.vcf	NA	0.190729881276065	0	4.09430851858813	5.00545454545455	1096.64677191631	310.353228083686	0.000173920979991377	0	0.00373347975249462	0.0161282503048585	0.0158910383806863	0.0635641535227451	*
temp_vcf4_19VR001934.vcf	NA	0	0	3.99461676493207	5.00538323506793	1096.66666666666	310.333333333333	0	0	0.00364250768838791	0.016129054463162	0	*	*
temp_vcf4_19VR003003.vcf	NA	0.164053517603764	0	3.08467001637169	5	1097.50162066201	309.498379337992	0.000149479066376966	0	0.00281062912190602	0.016155173447741	0.0149015984835699	0.0546391944397562	*
temp_vcf4_19VR003071.vcf	NA	0.0333414171898718	0.0303633284037472	3.01694915254237	6.01541353383459	1097.50564971751	309.494350282486	3.03792670210432e-05	9.81062445115189e-05	0.00274891446191544	0.0194362628214186	0.00578869737814267	0.0333237575409364	0.030351913618633
temp_vcf4_19VR003123.vcf	NA	0.0498690218837727	0.0202487062654647	2.99695619483512	6.01051314142678	1097.50841423948	309.491585760518	4.54383959491823e-05	6.54257084751021e-05	0.00273069085936063	0.0194206027496905	0.00584040126834873	0.0249229835684666	0.0202388480832516
temp_vcf4_19VR003217.vcf	NA	0	0.076554469505403	3	7.96132325161355	1096.6646884273	310.3353115727	0	0.000246683076822436	0.00273556724462628	0.0256539393189502	0.00693869077589797	*	0.0254418661782925
