file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_19VR002740.vcf	NA	0	0	0	2	1087.83333333333	319.166666666667	0	0	0	0.00626631853785901	0	*	*
temp_vcf4_19VR002744.vcf	NA	0	0	0	2	1087.83333333333	319.166666666667	0	0	0	0.00626631853785901	0	*	*
temp_vcf4_19VR003000.vcf	NA	0	0.0402381647306053	1	2.02051835853132	1087.83333333333	319.166666666667	0	0.000126072578790408	0.000919258464838365	0.00633060582307462	0.0100486777472489	*	0.0401947109889955
temp_vcf4_19VR003002.vcf	NA	0	0	5	6	1087.5	319.5	0	0	0.00459770114942529	0.0187793427230047	0	*	*
temp_vcf4_19VR003004.vcf	NA	0	0	0	2	1087.83333333333	319.166666666667	0	0	0	0.00626631853785901	0	*	*
temp_vcf4_19VR003005.vcf	NA	0.275644833384525	0.022802289796374	1.14416664911984	2.01152073732719	1087.81932765118	319.180672348817	0.000253392108761017	7.1440070692797e-05	0.00105179841912748	0.00630213829216105	0.0331184416756608	0.0550579910407386	0.0227760198772538
temp_vcf4_19VR003124.vcf	NA	0	0.0550039361080779	1	2.02826379542396	1088.16666666667	318.833333333333	0	0.000172516265890469	0.000918976872415379	0.00636151739286134	0.0137324766460948	*	0.0549299065843794
temp_vcf4_19VR003216.vcf	NA	0	0.497520436424378	1	2.46375519904932	1088.24395919984	318.756040800159	0	0.00156081884809297	0.000918911602077972	0.00772928159373754	0.124343157202023	*	0.497372628808091
temp_vcf4_19VR003219.vcf	NA	0.0654848153869022	0.0576087295656546	0.966125290023202	2.02967465141223	1088.16032087191	318.83967912809	6.01793817793606e-05	0.000180682434893905	0.000887851975018788	0.0063658157509211	0.0307606402382881	0.0654544280015719	0.0575881329515804
temp_vcf4_19VR003231.vcf	NA	0.483503364445409	0.482871464561203	0.404411764705882	2.40287769784173	1087.83333333333	319.166666666667	0.000444464560544271	0.0015129132048915	0.000371758937986103	0.00752859853109679	0.240715073848417	0.481725778546713	0.481134516846954
temp_vcf4_19VR003237.vcf	NA	0	0.0256373256373256	0	2.01296296296296	1087.83333333333	319.166666666667	0	8.03258244511508e-05	0	0.0063069335654192	0.00852994970278923	*	0.0255898491083677
temp_vcf4_19VR003316.vcf	NA	0.187462189756563	0.119037394927139	0.102036736973793	2.06123006067442	1087.76913426368	319.230865736317	0.000172336375294798	0.000372888112346452	9.38036700617197e-05	0.00645686329835345	0.0437731458582347	0.093703833230914	0.0396681181819383
temp_vcf4_19VR003317.vcf	NA	0.0244786417903672	0	0.0123809523809524	2	1087.81682539682	319.183174603175	2.25025401509465e-05	0	1.13814679934151e-05	0.00626599444813	0.00815177626606197	0.0244553287981859	*
temp_vcf4_19VR003373.vcf	NA	0	0.156232750224167	1	2.91462891462891	1088.3191048191	318.680895180895	0	0.000490248247029314	0.000918848153608602	0.00914591667936185	0.0390414315768241	*	0.156165726307296
temp_vcf4_19VR003464.vcf	NA	0.0860857876479237	0.0225959805488489	10.0441120105925	12.0114258509879	1086.84803733686	320.151962663136	7.92068299252417e-05	7.05789224619698e-05	0.0092415054041997	0.037517889164485	0.00434427967565531	0.0430081950286281	0.0225906018341266
temp_vcf4_19VR003468.vcf	NA	0.643414992129837	0.0832680295445242	10.3357385562374	12.0189276883971	1086.78975396848	320.117109629645	0.000592032626163769	0.000260117397788765	0.00951033860826884	0.0375454086234323	0.0220112453810253	0.0714587447943687	0.0416211972122583
temp_vcf4_19VR003542.vcf	NA	0	0	2	2	1088.16666666667	318.833333333333	0	0	0.00183795374483076	0.00627286983795086	0	*	*
temp_vcf4_19VR003675.vcf	NA	0.11215303968068	0.0282778504140266	0.0576741005680623	2.01431492842536	1087.8537414966	319.146258503401	0.000103095696969693	8.86046746925132e-05	5.30164105412903e-05	0.00631157306330724	0.028045863299038	0.0560046469980602	0.0282200224990694
temp_vcf4_19VR003676.vcf	NA	0	0	10	12	1086.83333333333	320.166666666667	0	0	0.00920104278484896	0.0374804789172306	0	*	*
temp_vcf4_19VR003677.vcf	NA	0.0484656261075173	0.0759165415360225	2.02452887480048	2.03842596520078	1088.16269545793	318.83730454207	4.45389520425727e-05	0.000238104326107817	0.00186050200328592	0.0063933107455179	0.0138095905805535	0.0242148105010765	0.0252855647409428
temp_vcf4_19VR003678.vcf	NA	0	0	10	12	1086.83333333333	320.166666666667	0	0	0.00920104278484896	0.0374804789172306	0	*	*
temp_vcf4_19VR003752.vcf	NA	0.0233750365234946	0	4.01182033096927	6	1087.82742316785	319.172576832151	2.14878169327856e-05	0	0.00368791983501069	0.0187986075105548	0.00212374740818984	0.0233612214900882	*
temp_vcf4_19VR003890.vcf	NA	0	0	10	12	1086.83333333333	320.166666666667	0	0	0.00920104278484896	0.0374804789172306	0	*	*
temp_vcf4_19VR003891.vcf	NA	0.131179915693796	0	10.0682825682826	12	1086.85309118642	320.146908813576	0.000120697007495832	0	0.00926370146060118	0.0374827920234198	0.00545261619133109	0.0654313942959731	*
temp_vcf4_19VR003895.vcf	NA	0	0	0	2	1087.83333333333	319.166666666667	0	0	0	0.00626631853785901	0	*	*
temp_vcf4_19VR003909.vcf	NA	0	0	2	2	1088.16666666667	318.833333333333	0	0	0.00183795374483076	0.00627286983795086	0	*	*
temp_vcf4_19VR003913.vcf	NA	0.374818777951233	0.0554423884544768	1.02052259761081	2.02852614896989	1088.26823714787	318.731762852124	0.000344417640023709	0.000173946857251875	0.000937749134611694	0.00636436773924858	0.0430100860568238	0.053525149282652	0.0554248155896735
temp_vcf4_19VR003920.vcf	NA	0.22640878186549	0.0368310131754383	2.11753478752152	2.01871657754011	1088.22231742017	318.777682579827	0.000208053794009879	0.000115538242443353	0.00194586598126522	0.00633267850246885	0.0327964709906045	0.0752130777980839	0.0367325345305842
temp_vcf4_19VR004002.vcf	NA	0	0	10	12	1086.83333333333	320.166666666667	0	0	0.00920104278484896	0.0374804789172306	0	*	*
temp_vcf4_19VR004328.vcf	NA	0	0	4	5	1087.83333333333	319.166666666667	0	0	0.00367703385935346	0.0156657963446475	0	*	*
temp_vcf4_19VR004453.vcf	NA	0	0	1	0	1087.16666666667	319.833333333333	0	0	0.000919822167714243	0	0	*	*
temp_vcf4_19VR004454.vcf	NA	0.355417805135883	0.131907941056751	1.19271221532091	0.0683850983876196	1087.11309523809	319.886904761905	0.000326937286187359	0.000412358052465233	0.00109713719809409	0.00021377898679072	0.0810252138386961	0.118121338161394	0.065893634273998
