file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_19VR002740.vcf	M1	0.0299970251500115	0	0.0152292401410709	1	579.5	176.5	5.17636327006238e-05	0	2.62799657309247e-05	0.00566572237960339	0.0149973103857964	0.0299946207715929	*
temp_vcf4_19VR002740.vcf	M2	0	0	0	0	228.166666666666	62.8333333333334	0	0	0	0	*	*	*
temp_vcf4_19VR002744.vcf	M1	0	0	0	1	579.5	176.5	0	0	0	0.00566572237960339	0	*	*
temp_vcf4_19VR002744.vcf	M2	0	0	0	0	228.166666666666	62.8333333333334	0	0	0	0	*	*	*
temp_vcf4_19VR003000.vcf	M1	0	0	0	1	579.5	176.5	0	0	0	0.00566572237960339	0	*	*
temp_vcf4_19VR003000.vcf	M2	0	0	0	0	228.166666666666	62.8333333333334	0	0	0	0	*	*	*
temp_vcf4_19VR003002.vcf	M1	0	0	0	1	579.5	176.5	0	0	0	0.00566572237960339	0	*	*
temp_vcf4_19VR003002.vcf	M2	0	0	0	0	228.166666666666	62.8333333333334	0	0	0	0	*	*	*
temp_vcf4_19VR003004.vcf	M1	0	0	0	1	579.5	176.5	0	0	0	0.00566572237960339	0	*	*
temp_vcf4_19VR003004.vcf	M2	0	0	0	0	228.166666666666	62.8333333333334	0	0	0	0	*	*	*
temp_vcf4_19VR003005.vcf	M1	0.111613443918854	0.0207592174996133	0.056940060836343	1.0104772991851	579.499971805847	176.500028194153	0.00019260301872154	0.000117615944382614	9.82572279665615e-05	0.00572508293354806	0.0264572067657319	0.0371836610182965	0.0207350507737698
temp_vcf4_19VR003005.vcf	M2	0.026007298152113	0	0.0131675201170446	0	228.175445013411	62.8245549865887	0.000113979390510598	0	5.77078752548097e-05	0	0.0259882730620236	0.0259882730620236	*
temp_vcf4_19VR003124.vcf	M1	0	0	0	1	579.5	176.5	0	0	0	0.00566572237960339	0	*	*
temp_vcf4_19VR003124.vcf	M2	0	0	0	0	228.166666666666	62.8333333333334	0	0	0	0	*	*	*
temp_vcf4_19VR003216.vcf	M1	0	0	0	1	579.5	176.5	0	0	0	0.00566572237960339	0	*	*
temp_vcf4_19VR003216.vcf	M2	0	0	0	0	228.166666666666	62.8333333333334	0	0	0	0	*	*	*
temp_vcf4_19VR003219.vcf	M1	0	0	0	1	579.5	176.5	0	0	0	0.00566572237960339	0	*	*
temp_vcf4_19VR003219.vcf	M2	0	0	0	0	228.166666666666	62.8333333333334	0	0	0	0	*	*	*
temp_vcf4_19VR003231.vcf	M1	0.27638747806815	0.254396060964217	0.165158371040724	1.14927768860353	579.555052790347	176.444947209653	0.000476895985527941	0.00144178716924062	0.000284974430376453	0.00651351997763898	0.176583295869745	0.275762167031797	0.253987720577437
temp_vcf4_19VR003231.vcf	M2	0	0	0	0	228.166666666666	62.8333333333334	0	0	0	0	*	*	*
temp_vcf4_19VR003237.vcf	M1	0	0.0284640649862911	0	1.01443174984967	579.5	176.5	0	0.000161269490007315	0	0.0057474886677035	0.0142234744459457	*	0.0284469488918915
temp_vcf4_19VR003237.vcf	M2	0	0	0	0	228.166666666666	62.8333333333334	0	0	0	0	*	*	*
temp_vcf4_19VR003316.vcf	M1	0.080139999174165	0.0670990623367515	0.0411179749611984	1.03475403306114	579.482963897663	176.517036102337	0.000138295694898664	0.000380127968486002	7.09563136845898e-05	0.0058620632654473	0.0368057149797505	0.0400652397123729	0.0670923804942565
temp_vcf4_19VR003316.vcf	M2	0	0	0	0	228.166666666666	62.8333333333334	0	0	0	0	*	*	*
temp_vcf4_19VR003317.vcf	M1	0.106251665147156	0.0264854143355344	0.0562740300594198	1.01341831600134	579.46248397996	176.53751602004	0.000183362457595841	0.000150027115667176	9.7114190504464e-05	0.00574052665319197	0.0442303522648808	0.106214527200583	0.0264765295940599
temp_vcf4_19VR003317.vcf	M2	0	0	0	0	228.166666666666	62.8333333333334	0	0	0	0	*	*	*
temp_vcf4_19VR003373.vcf	M1	0	0	0	1	579.5	176.5	0	0	0	0.00566572237960339	0	*	*
temp_vcf4_19VR003373.vcf	M2	0	0	0	0	228.166666666666	62.8333333333334	0	0	0	0	*	*	*
temp_vcf4_19VR003464.vcf	M1	0	0.0432582328342216	0	9.02186555494056	581.333333333333	174.666666666667	0	0.000247661638363864	0	0.0516519020321024	0.00393207041443724	*	0.0216263872794048
temp_vcf4_19VR003464.vcf	M2	0.0253498428663037	0	4.01283761253751	5	227.666666666666	63.3333333333334	0.00011134630834394	0	0.0176259338764459	0.0789473684210526	0.00253456164836983	0.0253456164836983	*
temp_vcf4_19VR003468.vcf	M1	0.0641134061964946	0.0666269432110142	0.0326189765119294	9.03395705432398	581.336868231047	174.663131768953	0.000110286151971723	0.000381459684915928	5.61102835455557e-05	0.0517221749251251	0.0100536243058241	0.0320492959533166	0.0332992620345401
temp_vcf4_19VR003468.vcf	M2	0	0	3	5	227.333333333333	63.6666666666667	0	0	0.0131964809384164	0.0785340314136125	0	*	*
temp_vcf4_19VR003542.vcf	M1	0	0	0	1	579.5	176.5	0	0	0	0.00566572237960339	0	*	*
