file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_19VR002740.vcf	NP	0	0	0	1	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*
temp_vcf4_19VR002744.vcf	NP	0	0.0201700238784671	0	1.01018573996405	1154.16666666667	339.833333333333	0	5.93526941004426e-05	0	0.00297259168209137	0.0100819906654351	*	0.0201639813308703
temp_vcf4_19VR003000.vcf	NP	0	0	0	1	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*
temp_vcf4_19VR003002.vcf	NP	0	0.120673662823264	0	7.06444759206799	1153.33333333333	340.666666666666	0	0.00035422797306242	0	0.0207371260041135	0.0150735249861567	*	0.120588199889254
temp_vcf4_19VR003004.vcf	NP	0.0321346041165124	0	0.0163240628778718	1	1154.18843208384	339.811567916163	2.78417312314374e-05	0	1.41433256685821e-05	0.00294280740980165	0.0160575878490311	0.0321151756980622	*
temp_vcf4_19VR003005.vcf	NP	0.141406614025683	0.108117400559504	0.0719808893313336	1.05553319733367	1154.15712780976	339.842872190244	0.000122519378530401	0.000318139379715988	6.2366628942397e-05	0.00310594478716264	0.0356032475515017	0.0353100793827529	0.0539912076647501
temp_vcf4_19VR003124.vcf	NP	0	0	0	1	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*
temp_vcf4_19VR003216.vcf	NP	0	0	0	1	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*
temp_vcf4_19VR003219.vcf	NP	0	0	0	1	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*
temp_vcf4_19VR003231.vcf	NP	0	0	0	1	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*
temp_vcf4_19VR003237.vcf	NP	0.0642450111108667	0	0.033112582781457	1	1154.16666666667	339.833333333333	5.56635475328809e-05	0	2.86896024099266e-05	0.00294261893084846	0.0320161396429981	0.0640322792859962	*
temp_vcf4_19VR003316.vcf	NP	0.270846772178538	0.0238443359525388	0.148319982994191	1.01206496519722	1154.16666666667	339.833333333333	0.00023466868347599	7.01647943674511e-05	0.000128508288514822	0.00297812152583781	0.0736587637751657	0.135398125738326	0.0238388036240116
temp_vcf4_19VR003317.vcf	NP	0.356749290159288	0.0674071267795059	0.189517271812878	1.03434872676385	1154.0777838097	339.922216190295	0.000309120663411118	0.000198301621868016	0.00016421533667104	0.00304289827936637	0.0605353432277703	0.0890934601739286	0.0336867809493391
temp_vcf4_19VR003373.vcf	NP	0	0.0198104265402844	0	1.01	1154.16666666667	339.833333333333	0	5.82945361656235e-05	0	0.00297204512015694	0.00990000000000002	*	0.0198
temp_vcf4_19VR003464.vcf	NP	0.0210934463925975	0.0199802485425255	3	14.0100896860987	1155.30668640513	338.661337281026	1.82578761473563e-05	5.89977252878605e-05	0.00259671309384943	0.0413690260558821	0.00216137328509552	0.0210903237506443	0.0199757686661706
temp_vcf4_19VR003468.vcf	NP	0.199813395449954	0.0318433713260619	3.10247895286924	14.9734050089411	1155.37698874947	338.623011250526	0.000172942162943909	9.40378245662195e-05	0.00268525250466276	0.0442185099992016	0.0092624616365597	0.0332899378975533	0.0318219135286724
temp_vcf4_19VR003542.vcf	NP	0	0	0	1	1154.16666666667	339.833333333333	0	0	0	0.00294261893084846	0	*	*
