file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_19VR001353.vcf	M1	0.0473205189255793	0	0.0242435632399925	7	575.833333333333	180.166666666667	8.21774568895734e-05	0	4.21017017192344e-05	0.0388529139685476	0.00591395322035523	0.0473116257628419	*
temp_vcf4_19VR001353.vcf	M2	0.07724620807998	0	2.01855072463768	1	225.598743961352	65.3387560386474	0.000342405310967569	0	0.00894752643207748	0.0153048521371987	0.0154423603234615	0.0386059008086537	*
temp_vcf4_19VR001544.vcf	M1	0	0	0	2	575.666666666667	180.333333333333	0	0	0	0.011090573012939	0	*	*
temp_vcf4_19VR001544.vcf	M2	0	0	0	0	227	64.0000000000001	0	0	0	0	*	*	*
temp_vcf4_19VR001555.vcf	M1	0	0	0	2	575.666666666667	180.333333333333	0	0	0	0.011090573012939	0	*	*
temp_vcf4_19VR001555.vcf	M2	0	0	0	0	227	64.0000000000001	0	0	0	0	*	*	*
temp_vcf4_19VR001605.vcf	M1	0	0	0	2	575.666666666667	180.333333333333	0	0	0	0.011090573012939	0	*	*
temp_vcf4_19VR001605.vcf	M2	0	0	0	0	227	64.0000000000001	0	0	0	0	*	*	*
temp_vcf4_19VR001607.vcf	M1	0.0429592817681682	0	0.0217131021983186	2	575.672237076649	180.327762923351	7.46245502237905e-05	0	3.77178206622939e-05	0.0110909156059908	0.0107386055886029	0.0214772111772058	*
temp_vcf4_19VR001607.vcf	M2	0.0354788540112599	0	0.0180635838150289	0	226.993978805395	64.0060211946051	0.000156298656898192	0	7.95773698936529e-05	0	0.0354745815095727	0.0354745815095727	*
temp_vcf4_19VR001934.vcf	M1	0	0.0265454767622745	0	2.01345132743363	575.666666666667	180.333333333333	0	0.00014720227409764	0	0.0111651644774508	0.00884692614926778	*	0.0265407784478033
temp_vcf4_19VR001934.vcf	M2	0	0.464594798748246	0	0.633333333333333	227	64.0000000000001	0	0.00725929373044134	0	0.00989583333333332	0.464444444444444	*	0.464444444444444
temp_vcf4_19VR003003.vcf	M1	0	0.0392015968063872	0	0.0199600798403194	575.666666666667	180.333333333333	0	0.000217384085802517	0	0.000110684361406577	0.0391233501061747	*	0.0391233501061747
temp_vcf4_19VR003003.vcf	M2	0	0.0392015968063872	0	0.0199600798403194	227	64.0000000000001	0	0.0006125249500998	0	0.00031187624750499	0.0391233501061747	*	0.0391233501061747
temp_vcf4_19VR003071.vcf	M1	0.0214689329415945	0	0.0108504866762406	0	575.666666666667	180.333333333333	3.72940352199094e-05	0	1.884855821003e-05	0	0.0214655072302588	0.0214655072302588	*
